item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
0,Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions,paired,-90.77655029296875,-93.36279296875,True,-1.5707273483276367,-2.2582273483276367,-1.7738628387451172,-1.8676128387451172,True,True,True,False,False,True,meta-llama/Llama-2-70b-hf,
1,Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing,paired,-98.1185531616211,-101.97404479980469,True,-1.2826576232910156,-3.1107826232910156,-2.5447864532470703,-1.4197864532470703,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
2,Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site,paired,-85.6094970703125,-91.18594360351562,True,-1.3709907531738281,-2.714740753173828,-1.8890953063964844,-1.6859703063964844,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
3,Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand,paired,-91.11477661132812,-96.99125671386719,True,-1.6746463775634766,-2.2371463775634766,-2.298055648803711,-1.532430648803711,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
4,Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information,paired,-82.44168090820312,-84.94850158691406,True,-1.2218170166015625,-3.2686920166015625,-2.310832977294922,-1.5452079772949219,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
5,Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game,paired,-95.77452087402344,-99.77098846435547,True,-1.2907962799072266,-2.7751712799072266,-2.5597972869873047,-1.3722972869873047,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
6,Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded,paired,-89.30878448486328,-93.23938751220703,True,-1.1806621551513672,-3.477537155151367,-2.390279769897461,-1.468404769897461,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
7,Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen,paired,-93.76415252685547,-94.98311614990234,True,-1.5224876403808594,-2.6318626403808594,-2.5521163940429688,-1.5521163940429688,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
8,Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in,paired,-95.24146270751953,-100.62191009521484,True,-1.4263324737548828,-3.113832473754883,-2.0717220306396484,-1.9154720306396484,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
9,Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools,paired,-88.8697738647461,-93.0638198852539,True,-1.2873363494873047,-2.8498363494873047,-1.9824600219726562,-1.5918350219726562,True,True,True,True,True,True,meta-llama/Llama-2-70b-hf,
