item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
0,Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions,paired,-90.22905731201172,-92.63912200927734,True,-1.4139814376831055,-2.06643009185791,-1.6426877975463867,-1.8308439254760742,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
1,Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing,paired,-101.3817138671875,-104.73652648925781,True,-1.6273508071899414,-1.9930505752563477,-1.8945112228393555,-1.7475090026855469,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
2,Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site,paired,-86.38175964355469,-91.25859832763672,True,-1.4959707260131836,-2.234675407409668,-1.8367109298706055,-1.8279056549072266,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
3,Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand,paired,-98.16395568847656,-101.95647430419922,True,-1.553816795349121,-2.19594669342041,-1.9242372512817383,-1.7683401107788086,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
4,Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information,paired,-82.21381378173828,-86.2289810180664,True,-1.5853824615478516,-2.234257698059082,-2.079899787902832,-1.667205810546875,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
5,Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game,paired,-97.56037139892578,-101.7261734008789,True,-1.566880226135254,-2.136305809020996,-2.210134506225586,-1.525796890258789,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
6,Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded,paired,-88.13079071044922,-93.438720703125,True,-1.4836196899414062,-2.3550796508789062,-1.8606386184692383,-1.7120332717895508,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
7,Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen,paired,-98.3616943359375,-96.80756378173828,False,-1.5408754348754883,-1.8522748947143555,-1.6553096771240234,-1.718367576599121,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
8,Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in,paired,-93.438232421875,-96.30512237548828,True,-1.551203727722168,-2.085000991821289,-1.7917289733886719,-1.7599067687988281,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
9,Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools,paired,-91.14421844482422,-96.0860366821289,True,-1.4716167449951172,-2.137843132019043,-1.8512506484985352,-1.616602897644043,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
10,Center Embedding,TS 1,grammatical,The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page,The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page,paired,-119.63160705566406,-106.7926025390625,False,-2.0012073516845703,-1.683420181274414,-1.985377311706543,-1.7162046432495117,False,False,False,True,False,True,mistralai/Mistral-7B-v0.1,
11,Center Embedding,TS 2,grammatical,The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago,The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago,paired,-107.4598388671875,-97.38152313232422,False,-1.930964469909668,-1.635758399963379,-1.8315114974975586,-1.8674898147583008,False,False,False,False,False,False,mistralai/Mistral-7B-v0.1,
12,Center Embedding,TS 3,grammatical,The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours,The game that the child who the lawnmower had startled in the yard lasted for hours,paired,-101.22354125976562,-92.16927337646484,False,-1.9903497695922852,-1.4573192596435547,-1.7788724899291992,-1.7674989700317383,False,False,False,True,False,True,mistralai/Mistral-7B-v0.1,
13,Center Embedding,TS 4,grammatical,The crime that the gangster who the story had profiled had planned for weeks was quickly solved,The crime that the gangster who the story had profiled was quickly solved,paired,-95.73162078857422,-77.72311401367188,False,-1.9353361129760742,-1.5058784484863281,-1.7790937423706055,-1.6491289138793945,False,False,False,True,False,True,mistralai/Mistral-7B-v0.1,
14,Center Embedding,TS 5,grammatical,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,paired,-109.37140655517578,-109.37140655517578,False,-1.8435630798339844,-1.9248123168945312,-1.8435630798339844,-1.9248123168945312,False,False,True,False,False,True,mistralai/Mistral-7B-v0.1,
15,Center Embedding,TS 6,ungrammatical,The trophy that the athlete who the restaurant had hired as a spokesman cherished was stolen later,The trophy that the athlete who the restaurant had hired as a spokesman was stolen later,paired,-98.97522735595703,-93.9254150390625,False,-1.9204158782958984,-1.7326850891113281,-1.9086856842041016,-1.693603515625,False,True,False,True,False,True,mistralai/Mistral-7B-v0.1,
16,Center Embedding,TS 7,ungrammatical,The apartment that the maid who the service had sent over cleaned was well decorated,The apartment that the maid who the service had sent over was well decorated,paired,-75.50916290283203,-72.69019317626953,False,-1.987894058227539,-1.591181755065918,-1.9008846282958984,-1.7130365371704102,False,False,False,True,False,True,mistralai/Mistral-7B-v0.1,
17,Center Embedding,TS 8,ungrammatical,The shirt that the seamstress who the immigration officer had investigated last week wore needed to be dry cleaned,The shirt that the seamstress who the immigration officer had investigated last week needed to be dry cleaned,paired,-98.88844299316406,-96.80702209472656,False,-2.1290645599365234,-1.5764837265014648,-1.7958745956420898,-1.8086423873901367,False,False,False,False,False,False,mistralai/Mistral-7B-v0.1,
18,Center Embedding,TS 9,ungrammatical,The lecture that the professor who the newspaper story had just profiled in detail delivered was not well attended,The lecture that the professor who the newspaper story had just profiled in detail was not well attended,paired,-93.66913604736328,-90.33781433105469,False,-2.2787370681762695,-1.584610939025879,-1.9298086166381836,-1.7538976669311523,False,False,False,True,False,True,mistralai/Mistral-7B-v0.1,
19,Center Embedding,TS 10,ungrammatical,The novel that the horror author who the publishing company had recently fired wrote last year was banned by the local library,The novel that the horror author who the publishing company had recently fired was banned by the local library,paired,-98.26177978515625,-89.37884521484375,False,-2.122908592224121,-1.5965681076049805,-1.854872703552246,-1.6862211227416992,False,False,False,True,False,True,mistralai/Mistral-7B-v0.1,
20,Comparative Sentences,TS 1,grammatical,More gym instructors won a marathon yesterday than lawyers did,More gym instructors won a marathon yesterday than Nikhil did,paired,-68.85928344726562,-79.58132934570312,True,-1.751143455505371,-2.132333755493164,-1.7918977737426758,-2.114861488342285,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
21,Comparative Sentences,TS 2,grammatical,More Americans began law school this week than Canadians did,More Americans began law school this week than Jason did,paired,-54.562103271484375,-64.95775604248047,True,-1.6772260665893555,-2.116957664489746,-1.7119436264038086,-2.0433969497680664,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
22,Comparative Sentences,TS 3,grammatical,This month more one-year-olds took their first steps than 10-month-olds did,This month more one-year-olds took their first steps than Marie's daughter did,paired,-59.278377532958984,-72.20375061035156,True,-1.9240760803222656,-2.191211700439453,-1.801910400390625,-1.9552688598632812,False,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
23,Comparative Sentences,TS 4,grammatical,Today more Brazilians immigrated to Japan than Chileans did,Today more Brazilians immigrated to Japan than Wolfgang did,paired,-56.452091217041016,-68.07301330566406,True,-1.5054759979248047,-1.9214353561401367,-1.5816373825073242,-1.8428783416748047,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
24,Comparative Sentences,TS 5,grammatical,More 18-year-olds voted in this election than 40-year-olds did,More 18-year-olds voted in this election than he did,paired,-45.979034423828125,-47.446990966796875,True,-1.7602176666259766,-2.102741241455078,-1.752462387084961,-2.1768064498901367,False,False,True,False,False,True,mistralai/Mistral-7B-v0.1,
25,Comparative Sentences,TS 6,ungrammatical,More photographers won their third Pulitzer this year than the writers did,More photographers won their third Pulitzer this year than the professor did,paired,-64.63441467285156,-74.23808288574219,True,-1.6487722396850586,-2.0529136657714844,-1.675583839416504,-1.9599409103393555,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
26,Comparative Sentences,TS 7,ungrammatical,More girls graduated from high school last year than boys did,More girls graduated from high school last year than John did,paired,-36.021060943603516,-51.97323989868164,True,-1.6285028457641602,-2.0526647567749023,-1.6897087097167969,-1.9211654663085938,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
27,Comparative Sentences,TS 8,ungrammatical,This semester more foreign applicants got into Stanford than Americans did,This semester more foreign applicants got into Stanford than Marie did,paired,-57.43779754638672,-74.39007568359375,True,-1.6988210678100586,-2.1183700561523438,-1.7316179275512695,-2.04654598236084,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
28,Comparative Sentences,TS 9,ungrammatical,More boys got an A on the exam yesterday than the girls did,More boys got an A on the exam yesterday than she did,paired,-56.587852478027344,-61.90629577636719,True,-1.691483497619629,-2.075821876525879,-1.7415847778320312,-2.0069828033447266,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
29,Comparative Sentences,TS 10,ungrammatical,Last month more couples had their second child than single parents did,Last month more couples had their second child than Sandra's sister did,paired,-57.55197525024414,-79.01191711425781,True,-1.7638139724731445,-2.1201295852661133,-1.6786117553710938,-1.9642620086669922,False,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
30,Intrusive Resumption,TS 1,grammatical,This is the boy that the cop who was leading the operation beat up,This is the boy that the cop who was leading the operation beat him up,paired,-62.590450286865234,-67.6241683959961,True,-1.7029247283935547,-1.862813949584961,-2.0380496978759766,-1.5412263870239258,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
31,Intrusive Resumption,TS 2,grammatical,This is the girl that the child who was playing with the doll loved,This is the girl that the child who was playing with the doll loved her,paired,-59.15570831298828,-65.94673156738281,True,-1.7129392623901367,-1.957244873046875,-1.9473886489868164,-1.562849998474121,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
32,Intrusive Resumption,TS 3,grammatical,This is the boy that the teachers who were teaching mathematics praised,This is the boy that the teachers who were teaching mathematics praised him,paired,-61.13103103637695,-64.09984588623047,True,-1.6732025146484375,-1.972764015197754,-1.9658126831054688,-1.5593881607055664,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
33,Intrusive Resumption,TS 4,grammatical,These are the flowers that the gardener who was working on John's flowerbed planted,These are the flowers that the gardener who was working on John's flowerbed planted them,paired,-63.213584899902344,-70.4686508178711,True,-1.6367979049682617,-2.4146223068237305,-1.909433364868164,-1.9120960235595703,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
34,Intrusive Resumption,TS 5,grammatical,These are the cakes that the pastry chefs who were participating in the competition baked,These are the cakes that the pastry chefs who were participating in the competition baked them,paired,-53.21334457397461,-60.30875015258789,True,-1.4449939727783203,-2.4829463958740234,-1.9395332336425781,-1.703688621520996,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
35,Intrusive Resumption,TS 6,ungrammatical,This is the girl that the boy who was working with the gardener courted,This is the girl that the boy who was working with the gardener courted her,paired,-64.22804260253906,-70.28309631347656,True,-1.708888053894043,-1.8840341567993164,-1.781198501586914,-1.6399755477905273,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
36,Intrusive Resumption,TS 7,ungrammatical,This is the actress that the judge who was working at Cannes admired,This is the actress that the judge who was working at Cannes admired her,paired,-71.66841125488281,-76.30902862548828,True,-1.739511489868164,-1.8507776260375977,-1.967350959777832,-1.5589094161987305,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
37,Intrusive Resumption,TS 8,ungrammatical,This is the mug that the artisans who were working with ceramics crafted,This is the mug that the artisans who were working with ceramics crafted it,paired,-63.78301239013672,-67.97855377197266,True,-1.6626338958740234,-1.964181900024414,-1.859567642211914,-1.7419328689575195,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
38,Intrusive Resumption,TS 9,ungrammatical,This is the dictionary entry that the students who were doing the exam looked up,This is the dictionary entry that the students who were doing the exam looked it up,paired,-59.41563034057617,-66.03665161132812,True,-1.5613374710083008,-2.161264419555664,-2.255155563354492,-1.613626480102539,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
39,Intrusive Resumption,TS 10,ungrammatical,This is the competition that the athletes who were feeling tired gave up,This is the competition that the athletes who were feeling tired gave it up,paired,-64.82125091552734,-70.98741149902344,True,-1.8340950012207031,-1.7473030090332031,-2.319915771484375,-1.521484375,True,True,False,True,False,True,mistralai/Mistral-7B-v0.1,
