item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
0,Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions,paired,-82.43260955810547,-83.12962341308594,True,-3.5636234283447266,-4.174762725830078,-3.54022216796875,-4.144748687744141,False,True,True,False,False,True,allenai/OLMo-1B,
1,Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing,paired,-92.0777587890625,-95.57218933105469,True,-3.9148311614990234,-4.4180450439453125,-3.887683868408203,-4.388422012329102,False,True,True,False,False,True,allenai/OLMo-1B,
2,Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site,paired,-80.90856170654297,-83.93567657470703,True,-3.622173309326172,-4.419582366943359,-3.641389846801758,-4.406185150146484,True,True,True,False,False,True,allenai/OLMo-1B,
3,Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand,paired,-93.95347595214844,-95.97954559326172,True,-3.9674816131591797,-4.677712440490723,-3.9430885314941406,-4.644636154174805,False,True,True,False,False,True,allenai/OLMo-1B,
4,Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information,paired,-76.73136901855469,-80.18907165527344,True,-3.883432388305664,-4.462308883666992,-3.877370834350586,-4.435050964355469,False,True,True,False,False,True,allenai/OLMo-1B,
5,Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game,paired,-90.1037826538086,-94.58192443847656,True,-3.531778335571289,-4.0716552734375,-3.5292587280273438,-4.04841423034668,False,True,True,False,False,True,allenai/OLMo-1B,
6,Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded,paired,-86.35610961914062,-88.07022094726562,True,-3.6550331115722656,-4.141143798828125,-3.594768524169922,-4.078685760498047,False,True,True,False,False,True,allenai/OLMo-1B,
7,Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen,paired,-93.05409240722656,-94.86978149414062,True,-3.4896812438964844,-4.037143707275391,-3.4363574981689453,-3.9629039764404297,False,True,True,False,False,True,allenai/OLMo-1B,
8,Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in,paired,-91.69294738769531,-95.02952575683594,True,-3.689075469970703,-4.315576553344727,-3.6723766326904297,-4.299821853637695,False,True,True,False,False,True,allenai/OLMo-1B,
9,Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools,paired,-88.8750228881836,-91.19566345214844,True,-3.7417030334472656,-4.512123107910156,-3.7416858673095703,-4.487445831298828,False,True,True,False,False,True,allenai/OLMo-1B,
10,Center Embedding,TS 1,grammatical,The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page,The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page,paired,-127.94116973876953,-111.97168731689453,False,-3.7475318908691406,-4.207927703857422,-3.6551036834716797,-4.354562759399414,False,False,True,False,False,True,allenai/OLMo-1B,
11,Center Embedding,TS 2,grammatical,The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago,The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago,paired,-110.70646667480469,-96.93049621582031,False,-3.939847946166992,-5.005858421325684,-3.895681381225586,-5.087136268615723,False,False,True,False,False,True,allenai/OLMo-1B,
12,Center Embedding,TS 3,grammatical,The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours,The game that the child who the lawnmower had startled in the yard lasted for hours,paired,-106.96629333496094,-90.58267211914062,False,-3.759857177734375,-4.517086029052734,-3.686290740966797,-4.668674468994141,False,False,True,False,False,True,allenai/OLMo-1B,
