item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-1.0,-11.6171875,0.0001189112663269043,0.5502679166037927,0.0,0.469802846248,8.170316537130893e-07,EleutherAI/pythia-12b-deduped,
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-0.4375,-2.75,4.756450653076172e-05,0.7008738799641311,0.0,0.405834151772248,2.8010682449801038e-05,EleutherAI/pythia-12b-deduped,
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.46875,-2.2734375,5.501508712768555e-05,0.6265392479039983,0.0,0.08637559761633805,0.39283081494537453,EleutherAI/pythia-12b-deduped,
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-0.078125,-2.671875,4.398822784423828e-05,0.6910398973846137,0.0,0.531521828052544,1.2708577284482926e-08,EleutherAI/pythia-12b-deduped,
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-0.46875,-9.21875,0.0001430511474609375,0.5376992684450024,0.0,0.15920090533204292,0.11362637102712357,EleutherAI/pythia-12b-deduped,
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-1.3359375,-3.078125,5.060434341430664e-05,0.7362680828715187,0.0,0.26634341886914664,0.007394967196353124,EleutherAI/pythia-12b-deduped,
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-0.125,-3.015625,5.424022674560547e-05,0.701900931616058,0.0,0.27242449238850797,0.006105496258369111,EleutherAI/pythia-12b-deduped,
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.28125,-3.3359375,5.0067901611328125e-05,0.7069752212907034,0.0,0.4707063203577364,7.731305238516199e-07,EleutherAI/pythia-12b-deduped,
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-1.0,-4.65625,6.639957427978516e-05,0.6883762457435137,0.0,0.5961424800631544,5.997985630745338e-11,EleutherAI/pythia-12b-deduped,
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-2.9375,-7.96875,5.453824996948242e-05,0.6566185458039845,0.0,0.19331861137721984,0.053966961897537684,EleutherAI/pythia-12b-deduped,
10,"Escorting drunk humans out of the bar is different from going up against a tiger-wildcat who eats raw steak for breakfast and is dying for a fight.""

""I bet he could win with just his breath,"" Ronan said. Sean chuckled.

""Take it seriously, Ronan. These guys are seasoned. If Marquez has a champion, it means he's won a good share of the",fights,-1.2265625,-6.796875,8.07046890258789e-05,0.6754798913071958,0.0,0.08347510916044439,0.4089750691710987,EleutherAI/pythia-12b-deduped,
11,"Instead, I stare straight ahead like I'm deeply interested in what's going on at the front of the room.

Eventually, we make it through to the part where everyone stands up and says their little piece. Some have a longer, more in depth story to tell, which terrifies me. I don't want anyone to ask me for my",story,-0.84375,-3.484375,6.490945816040039e-05,0.6413996783922201,0.0,0.3420375172562847,0.0004957468514083274,EleutherAI/pythia-12b-deduped,
12,"Recall our encounter with the warbirds at the Federation border. Confirm my memory with yours.”
She turned Seren to face her. They placed their foreheads together as when they meditated together. They held hands beneath the surface of the water. They closed their eyes.
“There were five warbirds at the",border,-0.78125,-10.46875,0.0001322031021118164,0.6800266396829631,0.0,0.0509720026707188,0.6145149635415299,EleutherAI/pythia-12b-deduped,
13,"I was so happy to see him that I almost sobbed his name.
Eli stiffened and let out a hiss. “Mohiri!” Fear crept into his voice, and my dazed mind wondered what on earth scared a vampire.
Nikolas chuckled, and I felt a tremor run through my captor. “I see there is no need for",introductions,-1.5,-13.484375,0.00010401010513305664,0.5901431374142259,0.0,0.22519600488964997,0.024280213928078314,EleutherAI/pythia-12b-deduped,
14,"""Come on, baby girl,"" Mary Jo said, scooping up the toy, then bending to retrieve her daughter. ""Let me change your diaper and put you down for a couple of hours.""

""She sleeps that long?""

""Almost every afternoon. She still takes a morning nap, too, but she'll outgrow those pretty soon.""

Lori knew she had a lot to learn about",babies,-1.7265625,-4.75,5.1856040954589844e-05,0.6286122560235233,0.0,0.5786531691250363,2.870473640581591e-10,EleutherAI/pythia-12b-deduped,
15,"I would really like to have some time with my mom.""

Lucien groaned inwardly. How could he say no to that? Julia was grieving for her mate and at a loss on how to deal with her daughter. Now Jaeden actually wanted to speak to her mom... he would be an ogre if he said no. He gave a quick nod and ignored the grateful smile she threw him before her and her mother ambled out of the room",together,-6.5,-12.6796875,0.00019848346710205078,0.4881665048773242,0.0,0.2977541745174557,0.002624017008186875,EleutherAI/pythia-12b-deduped,
16,"If Demerzel has the ability to change minds, he has to do so without bringing about side effects he does not wish-and since he is the Emperor's First Minister, the side effects he must worry about are numerous, indeed.""

""And the application to the present case?""

""Think about it! You can't tell anyone-except me, of course-that Demerzel is a robot, because he has adjusted you so that you can't. But how much adjustment did that take? Do you want to tell people that he is a",robot,-0.5234375,-4.8203125,7.343292236328125e-05,0.6571984295951286,0.0,0.35197482012939696,0.0003292522147486944,EleutherAI/pythia-12b-deduped,
17,"I leaned out the window and pointed at Floyd’s hearing aid.
Floyd dug the hearing aid out of his ear and made an adjustment. “Sorry,” he said, screwing it back in. “Blasted thing was turned off.”
“What happened to Chester?”
“Shot in the head’s what happened to",Chester,-0.640625,-2.109375,6.341934204101562e-05,0.7231330785062717,0.0,0.25224133178976116,0.011348502784701738,EleutherAI/pythia-12b-deduped,
18,"‘Well I don’t know why, Nellie showed it to me many times. It has heaps of her poems and short stories in it; mostly girlie stuff though, which is why she obviously didn’t bother showing you. Strange that she left it to you though, I can’t imagine you would enjoy it very much.
‘Are you sure it is the same",book,-0.9921875,-3.984375,6.961822509765625e-05,0.7617288129446645,0.0,0.2755222976601359,0.005528679715334675,EleutherAI/pythia-12b-deduped,
19,"""We'll wait for you, Daddy,"" Izzy said, snuggling up to Annie.

Nick pressed the book into Izzy's hands and hurried out of the room. He came back a few minutes later, looking solemn.

Annie felt a prickling of fear. She sat up straighter, leaning forward. ""Nick?""

He eased back into the bed, on the other side of",Izzy,-1.0625,-2.453125,3.987550735473633e-05,0.6893939623488395,0.0,0.4571925847474836,1.737636072006709e-06,EleutherAI/pythia-12b-deduped,
20,"""Michael wanted nothing to do with the business for a very long time,"" the older woman answered. ""He had his heart set on being a race-car driver.""

Maggie's mouth fell open. ""What?""

""Si. He was very good, though my heart stopped every time he went out on the track. No matter how many times his papa and I tried to discourage him, he found a way back on the",track,-0.578125,-7.89453125,0.0001277923583984375,0.6178095727261822,0.0,0.12533830224295736,0.2140405663857821,EleutherAI/pythia-12b-deduped,
21,"A cowboy behind her said to break up a cheese slice and mush it down in the mixture.  Sarah took a slice of cheese to do just that.
Sarah and Tess sat at one of the large tables with other guests.  Everyone talked and laughed, while eating lunch.  It seemed a happy group. Dale watched from the back to make sure all was well and to get another look at",Sarah,-0.828125,-2.5703125,3.796815872192383e-05,0.6951785794599274,0.0,0.5734551943985066,4.491517103965898e-10,EleutherAI/pythia-12b-deduped,
22,"Brayden's face was a mix of incredulity and disappointment when I told him I had to leave.

""But you just... I mean..."" It was a rare moment of speechlessness for him.

""I'm sorry,"" I said earnestly. ""Especially after being late and ruining the museum. But it's a family emergency.""

""Your family has an awful lot of",emergencies,-0.1875,-5.90625,9.679794311523438e-05,0.5870912593874775,0.0,0.3181589057055739,0.0012560176437977,EleutherAI/pythia-12b-deduped,
23,"""Thank you,"" Liz says, her sweaty face going into my neck. ""I'm so tired.""

""As soon as this is over, you can sleep. I promise.""

""Okay."" She says softly. The doctor walks in and sits down at the end of the bed.

""Are you ready for this,",Liz,-0.515625,-3.34375,6.085634231567383e-05,0.7518250637283883,0.0,0.08410547555892058,0.4054337502602954,EleutherAI/pythia-12b-deduped,
24,Olaf slapped the boy real hard. Bob was momentarily stunned. Olaf then started yelling at him about calling him without permission unless it was emergency. The boy mumbled something crying at the same time. Bob got closer through the woods and stepped on a branch that cracked. Both Olaf and the boy heard it and walked towards,Bob,-1.828125,-2.328125,7.015466690063477e-05,0.7376190960829291,0.0,0.2357928973870174,0.018191980113351283,EleutherAI/pythia-12b-deduped,
