item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-3.078080177307129,-10.780031204223633,1.5423882359755225e-05,0.8111461488469696,0.0,0.3994359435943594,3.8405414819266836e-05,google/gemma-2b,
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-2.3921899795532227,-3.5687618255615234,1.4326522432384081e-05,0.800266270262388,0.0,0.20054005400540054,0.04543986122973397,google/gemma-2b,
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.6926546096801758,-7.743268013000488,2.6353136490797624e-05,0.7880965277068873,0.0,0.15096309630963095,0.13380678359439066,google/gemma-2b,
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-0.9730739593505859,-1.396561622619629,5.523781965166563e-06,0.8355335143848064,0.0,0.45764176417641755,1.6924221578305754e-06,google/gemma-2b,
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-1.1401891708374023,-5.075190544128418,1.1895909665327054e-05,0.8254814431520762,0.0,0.38095409540954095,9.223537417666405e-05,google/gemma-2b,
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-2.6249008178710938,-3.738006114959717,1.0761276826087851e-05,0.8189138844309858,0.0,0.40936093609360935,2.3472727287102475e-05,google/gemma-2b,
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-1.1052846908569336,-6.0507402420043945,1.767126377671957e-05,0.729231105862377,0.0,0.3137593759375937,0.0014787467521181947,google/gemma-2b,
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.6272563934326172,-3.648146629333496,1.0608455340843648e-05,0.8252907443946167,0.0,0.4325352535253525,6.985100571113103e-06,google/gemma-2b,
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-1.0849227905273438,-4.064267158508301,1.3057603609922808e-05,0.7582817915095813,0.0,0.40738073807380737,2.5927979518567908e-05,google/gemma-2b,
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-3.0766754150390625,-5.95430850982666,1.08536914922297e-05,0.7772061150616736,0.0,0.18775877587758774,0.061392876372283876,google/gemma-2b,
