item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision,instruct
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-1.8910913467407227,-10.29842758178711,9.702534589450806e-05,0.6873059545973719,0.0,0.3395259525952595,0.0005486061642453587,allenai/OLMo-7B,step541000-tokens2393B,False
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-1.2190208435058594,-3.132284164428711,4.9530815886100754e-05,0.7582521078345453,0.0,0.14328232823282328,0.15498022506954515,allenai/OLMo-7B,step541000-tokens2393B,False
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.7104396820068359,-3.0273561477661133,8.733267895877361e-05,0.624261995148324,0.0,0.1157995799579958,0.25125707606667486,allenai/OLMo-7B,step541000-tokens2393B,False
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-0.4148273468017578,-5.126662254333496,7.25054123904556e-05,0.7355099798199624,0.0,0.6722832283228322,1.880030953873374e-14,allenai/OLMo-7B,step541000-tokens2393B,False
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-0.8115272521972656,-4.659768104553223,7.239157275762409e-05,0.6677686948831327,0.0,0.23645964596459645,0.0178574287964414,allenai/OLMo-7B,step541000-tokens2393B,False
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-1.13031005859375,-3.731156349182129,4.1950857848860323e-05,0.7695042891698931,0.0,0.3059705970597059,0.001962550927278949,allenai/OLMo-7B,step541000-tokens2393B,False
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-0.9952287673950195,-5.349982261657715,7.341508171521127e-05,0.7308573979044459,0.0,0.43395139513951386,6.467450565536753e-06,allenai/OLMo-7B,step541000-tokens2393B,False
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.23735427856445312,-4.586944580078125,6.84934202581644e-05,0.6307786810024177,0.0,0.4158415841584159,1.6874996949453687e-05,allenai/OLMo-7B,step541000-tokens2393B,False
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-1.180368423461914,-8.223417282104492,9.778855019249022e-05,0.6243644791689602,0.0,0.5536393639363936,2.309019689563447e-09,allenai/OLMo-7B,step541000-tokens2393B,False
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-2.937419891357422,-5.160730361938477,4.1388462705072016e-05,0.7996870945360168,0.0,0.3526792679267927,0.0003196735274859133,allenai/OLMo-7B,step541000-tokens2393B,False
10,"Escorting drunk humans out of the bar is different from going up against a tiger-wildcat who eats raw steak for breakfast and is dying for a fight.""

""I bet he could win with just his breath,"" Ronan said. Sean chuckled.

""Take it seriously, Ronan. These guys are seasoned. If Marquez has a champion, it means he's won a good share of the",fights,-1.309199333190918,-9.13165283203125,9.689427679404616e-05,0.7833412102374252,0.0,-0.010585058505850585,0.9167545583947792,allenai/OLMo-7B,step541000-tokens2393B,False
11,"Instead, I stare straight ahead like I'm deeply interested in what's going on at the front of the room.

Eventually, we make it through to the part where everyone stands up and says their little piece. Some have a longer, more in depth story to tell, which terrifies me. I don't want anyone to ask me for my",story,-0.5737247467041016,-7.866270542144775,0.00012648706615436822,0.760287061196457,0.0,0.06455445544554454,0.5234121520859236,allenai/OLMo-7B,step541000-tokens2393B,False
12,"Recall our encounter with the warbirds at the Federation border. Confirm my memory with yours.”
She turned Seren to face her. They placed their foreheads together as when they meditated together. They held hands beneath the surface of the water. They closed their eyes.
“There were five warbirds at the",border,-0.5123825073242188,-5.272683143615723,7.929921412141994e-05,0.7578612311129057,0.0,0.439087908790879,4.877272800464069e-06,allenai/OLMo-7B,step541000-tokens2393B,False
13,"I was so happy to see him that I almost sobbed his name.
Eli stiffened and let out a hiss. “Mohiri!” Fear crept into his voice, and my dazed mind wondered what on earth scared a vampire.
Nikolas chuckled, and I felt a tremor run through my captor. “I see there is no need for",introductions,-5.236109733581543,-15.337185859680176,8.017100481083617e-05,0.7003948446496976,0.0,0.32619261926192616,0.0009263328196199179,allenai/OLMo-7B,step541000-tokens2393B,False
14,"""Come on, baby girl,"" Mary Jo said, scooping up the toy, then bending to retrieve her daughter. ""Let me change your diaper and put you down for a couple of hours.""

""She sleeps that long?""

""Almost every afternoon. She still takes a morning nap, too, but she'll outgrow those pretty soon.""

Lori knew she had a lot to learn about",babies,-2.075244903564453,-7.2522711753845215,5.9664802392944694e-05,0.7326431140274297,0.0,0.40336033603360333,3.167034505798275e-05,allenai/OLMo-7B,step541000-tokens2393B,False
