item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision,instruct
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-1.6236438751220703,-12.806235313415527,0.00010976364137604833,0.5508685805256404,0.0,0.33456945694569457,0.0006683773412396752,allenai/OLMo-7B,step91000-tokens403B,False
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-3.6994380950927734,-2.9518136978149414,6.0757600294891745e-05,0.7281496251070089,0.0,-0.06445844584458446,0.5240313598946913,allenai/OLMo-7B,step91000-tokens403B,False
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.4934101104736328,-4.785195350646973,9.742672409629449e-05,0.6168077773058568,0.0,0.07896789678967894,0.43481930749933306,allenai/OLMo-7B,step91000-tokens403B,False
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-0.6820621490478516,-1.2760133743286133,2.492235398676712e-05,0.6857914521169237,0.0,0.2868406840684068,0.0038108859085740705,allenai/OLMo-7B,step91000-tokens403B,False
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-2.740036964416504,-7.4086432456970215,8.350369898835197e-05,0.5855694912791118,0.0,0.2553375337533753,0.010349653675300175,allenai/OLMo-7B,step91000-tokens403B,False
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-2.916553497314453,-3.66326904296875,9.307500295108184e-05,0.7247483983843039,0.0,0.15293129312931295,0.1287533733067214,allenai/OLMo-7B,step91000-tokens403B,False
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-0.9374361038208008,-5.607118606567383,9.58775490289554e-05,0.6377988894438911,0.0,0.37539753975397533,0.00011883262128803597,allenai/OLMo-7B,step91000-tokens403B,False
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.241851806640625,-2.712265968322754,4.1518145735608414e-05,0.6496181845493243,0.0,0.4341674167416741,6.39173800314687e-06,allenai/OLMo-7B,step91000-tokens403B,False
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-0.7080726623535156,-5.705108642578125,7.18225201126188e-05,0.6473914561942457,0.0,0.426006600660066,9.917627455775146e-06,allenai/OLMo-7B,step91000-tokens403B,False
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-3.3705244064331055,-8.879300117492676,8.036806684685871e-05,0.6739965104742798,0.0,0.34286228622862286,0.0004794356567368766,allenai/OLMo-7B,step91000-tokens403B,False
