item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-3.203190803527832,-12.516277313232422,9.576059528626502e-05,0.523182455272648,0.0,0.41461746174617453,1.796975917547132e-05,EleutherAI/pythia-1b-deduped,
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-3.2048768997192383,-4.049822807312012,6.427925109164789e-05,0.728533791825211,0.0,0.22486648664866482,0.024494518135613427,EleutherAI/pythia-1b-deduped,
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.3436317443847656,-9.125419616699219,0.00016243256686720997,0.4519445576904536,0.0,0.1776057605760576,0.07709246266273637,EleutherAI/pythia-1b-deduped,
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-1.421640396118164,-2.8259029388427734,3.7056342989671975e-05,0.6218269255378251,0.0,0.3466546654665466,0.0004105891707358272,EleutherAI/pythia-1b-deduped,
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-2.50701904296875,-11.550453186035156,0.00011596777767408639,0.5509240125438655,0.0,0.02186618661866186,0.8290356475430358,EleutherAI/pythia-1b-deduped,
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-3.3662109375,-3.796419143676758,8.375559991691262e-05,0.6051141511483548,0.0,0.241032103210321,0.015702934155403993,EleutherAI/pythia-1b-deduped,
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-0.6285076141357422,-9.034109115600586,0.00015014420205261558,0.5061017074382441,0.0,0.06547854785478546,0.5174712374491974,EleutherAI/pythia-1b-deduped,
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.19397544860839844,-2.83132266998291,4.633482967619784e-05,0.6680207757837714,0.0,0.44224422442244216,4.09141082276528e-06,EleutherAI/pythia-1b-deduped,
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-1.4365434646606445,-4.815825462341309,5.165988841326907e-05,0.6766674690294953,0.0,0.5433423342334233,5.187056670666383e-09,EleutherAI/pythia-1b-deduped,
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-5.695568084716797,-10.201640129089355,0.00012033420352963731,0.43596256123334715,0.0,0.23149114911491148,0.020483063638871653,EleutherAI/pythia-1b-deduped,
