item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision,instruct
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-3.178593635559082,-12.8471040725708,8.265067299362272e-05,0.6286844254104869,0.0,0.4348287873670557,6.1650942086862075e-06,allenai/OLMo-7B,step151000-tokens668B,False
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-3.994283676147461,-2.879854202270508,7.032728899503127e-05,0.7899450414580462,0.0,0.13375337533753376,0.1846121122237518,allenai/OLMo-7B,step151000-tokens668B,False
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.37380218505859375,-6.050504684448242,0.0001067161574610509,0.6673158724345768,0.0,0.2730993099309931,0.005975485561613851,allenai/OLMo-7B,step151000-tokens668B,False
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-1.265157699584961,-1.9343271255493164,3.886102786054835e-05,0.7215881114706157,0.0,0.4638343834383438,1.1721436734631317e-06,allenai/OLMo-7B,step151000-tokens668B,False
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-0.8360395431518555,-5.931341171264648,8.645597699796781e-05,0.5656288437882893,0.0,0.28405640564056406,0.004181993048998203,allenai/OLMo-7B,step151000-tokens668B,False
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-2.4119482040405273,-3.4335670471191406,5.032661647419445e-05,0.7910928811696527,0.0,0.21096909690969096,0.03512255365401989,allenai/OLMo-7B,step151000-tokens668B,False
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-1.172419548034668,-6.389756202697754,9.920539741870016e-05,0.6015926615351109,0.0,0.2437563756375637,0.014529410361628957,allenai/OLMo-7B,step151000-tokens668B,False
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.29738807678222656,-3.3195667266845703,4.335065386840142e-05,0.689255692530849,0.0,0.5344854485448545,1.0184155568244077e-08,allenai/OLMo-7B,step151000-tokens668B,False
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-0.6748313903808594,-3.4995412826538086,4.3218355131102726e-05,0.7266122874257834,0.0,0.5705850585058505,5.732048557328121e-10,allenai/OLMo-7B,step151000-tokens668B,False
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-2.648036003112793,-7.469725608825684,6.337116792565212e-05,0.6182967946148412,0.0,0.42259825982598254,1.187515900729026e-05,allenai/OLMo-7B,step151000-tokens668B,False
10,"Escorting drunk humans out of the bar is different from going up against a tiger-wildcat who eats raw steak for breakfast and is dying for a fight.""

""I bet he could win with just his breath,"" Ronan said. Sean chuckled.

""Take it seriously, Ronan. These guys are seasoned. If Marquez has a champion, it means he's won a good share of the",fights,-1.7991914749145508,-9.14962100982666,0.00011254377022851259,0.568084601696067,0.0,0.018637863786378637,0.8539731575068759,allenai/OLMo-7B,step151000-tokens668B,False
