item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision,instruct
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-1.9530210494995117,-10.936834335327148,9.36439901124686e-05,0.6389867607539194,0.0,0.385022502250225,7.639550231479926e-05,allenai/OLMo-7B,step391000-tokens1730B,False
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-2.06890869140625,-3.5429630279541016,7.513728633057326e-05,0.7292232786192339,0.0,0.1097989798979898,0.2768259693808298,allenai/OLMo-7B,step391000-tokens1730B,False
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.5368709564208984,-3.1374311447143555,7.973188621690497e-05,0.5541803705956246,0.0,0.09520552055205518,0.3460759301172268,allenai/OLMo-7B,step391000-tokens1730B,False
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-0.8981876373291016,-2.3554697036743164,3.0916959076421335e-05,0.6519666685117443,0.0,0.6857365736573656,3.502603333230578e-15,allenai/OLMo-7B,step391000-tokens1730B,False
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-1.1212892532348633,-4.180951118469238,6.326007132884115e-05,0.6831104901362023,0.0,0.3091509150915091,0.001749944014121992,allenai/OLMo-7B,step391000-tokens1730B,False
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-1.594050407409668,-3.501206398010254,4.135775088798255e-05,0.7679172886878565,0.0,0.33959795979597956,0.0005470213591435045,allenai/OLMo-7B,step391000-tokens1730B,False
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-0.8053140640258789,-5.236766815185547,7.523940439568833e-05,0.652238869853747,0.0,0.25749774977497747,0.009699194435075323,allenai/OLMo-7B,step391000-tokens1730B,False
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.26490211486816406,-4.261521339416504,6.275391933741048e-05,0.6055849963404529,0.0,0.3572277227722772,0.0002637538114403148,allenai/OLMo-7B,step391000-tokens1730B,False
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-1.1771793365478516,-8.166955947875977,9.604759543435648e-05,0.5662171525401952,0.0,0.5461626162616261,4.167036392001004e-09,allenai/OLMo-7B,step391000-tokens1730B,False
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-2.438821792602539,-5.336069107055664,4.0111292037181556e-05,0.6585884556999076,0.0,0.28574857485748567,0.003952785189274056,allenai/OLMo-7B,step391000-tokens1730B,False
10,"Escorting drunk humans out of the bar is different from going up against a tiger-wildcat who eats raw steak for breakfast and is dying for a fight.""

""I bet he could win with just his breath,"" Ronan said. Sean chuckled.

""Take it seriously, Ronan. These guys are seasoned. If Marquez has a champion, it means he's won a good share of the",fights,-1.7189693450927734,-10.924419403076172,0.00011537704995134845,0.6973286705591725,0.0,-0.06915091509150914,0.4942062044178903,allenai/OLMo-7B,step391000-tokens1730B,False
