condition,item_id,question,correct,intuitive,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,model,revision
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours," It takes 4 people 4 hours to tailor 4 jackets.

Question: How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?
Answer: It takes 4 people 4 hours to tailor 4 jackets.

Question: How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?
Answer: It takes 4 people 4 hours to tailor 4 jack",It takes 4 people 4 hours to tailor 4 jackets.,intuitive,intuitive,"[-1.90234375, -2.25]","['correct', 'intuitive']",-1.90234375,-2.25,0,correct,7 hours,-1.90234375,TRUE,EleutherAI/pythia-12b-deduped,
crt2,2,"How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",8 hours,4 hours,"

Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer:

Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer:

Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8",,,,"[-1.91015625, -2.51171875]","['correct', 'intuitive']",-1.91015625,-2.51171875,0,correct,8 hours,-1.91015625,TRUE,EleutherAI/pythia-12b-deduped,
crt2,3,"How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",60 minutes,50 minutes," It takes 50 bees 50 minutes to pollinate 50 flowers.

Question: How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?
Answer: It takes 50 bees 50 minutes to pollinate 50 flowers.

Question: How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?
Answer: It takes 50 bees",It takes 50 bees 50 minutes to pollinate 50 flowers.,intuitive,intuitive,"[-2.55859375, -3.39453125]","['correct', 'intuitive']",-2.55859375,-3.39453125,0,correct,60 minutes,-2.55859375,TRUE,EleutherAI/pythia-12b-deduped,
crt2,4,"How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",5 days,1 day," 5 days

Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?
Answer: 5 days

Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?
Answer: 5 days

Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days",5 days,correct,correct,"[-1.64453125, -2.73828125]","['correct', 'intuitive']",-1.64453125,-2.73828125,0,correct,5 days,-1.64453125,TRUE,EleutherAI/pythia-12b-deduped,
crt2,5,"How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",60 minutes,10 minutes," It takes 60 ovens 60 minutes to bake 60 lasagnas.

Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
Answer: It takes 60 ovens 60 minutes to bake 60 lasagnas.

Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
",It takes 60 ovens 60 minutes to bake 60 lasagnas.,correct,,"[-2.09375, -2.73046875]","['correct', 'intuitive']",-2.09375,-2.73046875,0,correct,60 minutes,-2.09375,TRUE,EleutherAI/pythia-12b-deduped,
crt2,6,"How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",6 years,1 year," 6 years.

Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 months to publish 6 papers?
Answer: 6 months.

Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 weeks to publish 6 papers?
Answer: 6 weeks.

Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 days to publish 6 papers?
",6 years.,correct,correct,"[-1.63671875, -1.7734375]","['correct', 'intuitive']",-1.63671875,-1.7734375,0,correct,6 years,-1.63671875,TRUE,EleutherAI/pythia-12b-deduped,
crt2,7,"How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?",50 hours,30 hours," It takes 30 cleaners 30 hours to clean 30 rooms.

Question: How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?
Answer: It takes 30 cleaners 30 hours to clean 30 rooms.

Question: How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?
Answer: It takes 30 cleaners 30 hours to clean 30",It takes 30 cleaners 30 hours to clean 30 rooms.,intuitive,intuitive,"[-2.80078125, -3.36328125]","['correct', 'intuitive']",-2.80078125,-3.36328125,0,correct,50 hours,-2.80078125,TRUE,EleutherAI/pythia-12b-deduped,
crt2,8,"How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?",70 minutes,40 minutes," 40 students will change 40 light bulbs in 40 minutes.

Question: How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?
Answer: 40 students will change 40 light bulbs in 40 minutes.

Question: How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?
Answer: 40 students will change 40 light bulbs in 40 minutes.
",40 students will change 40 light bulbs in 40 minutes.,intuitive,intuitive,"[-2.30859375, -1.71484375]","['correct', 'intuitive']",-2.30859375,-1.71484375,1,intuitive,40 minutes,-1.71484375,FALSE,EleutherAI/pythia-12b-deduped,
crt2,9,"How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",50 weeks,40 weeks," It takes 40 builders 40 weeks to build 40 houses.

Question: How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?
Answer: It takes 40 builders 40 weeks to build 40 houses.

Question: How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?
Answer: It takes 40 builders 40 weeks to build 40 houses.

Question: How",It takes 40 builders 40 weeks to build 40 houses.,intuitive,intuitive,"[-1.79296875, -1.39453125]","['correct', 'intuitive']",-1.79296875,-1.39453125,1,intuitive,40 weeks,-1.39453125,FALSE,EleutherAI/pythia-12b-deduped,
crt2,10,"How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?",6 minutes,5 minutes," It takes 5 people 5 minutes to plant 5 trees.

Question: How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?
Answer: It takes 5 people 5 minutes to plant 5 trees.

Question: How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?
Answer: It takes 5 people 5 minutes to plant 5 trees.

Question: How",It takes 5 people 5 minutes to plant 5 trees.,intuitive,intuitive,"[-2.05859375, -2.01953125]","['correct', 'intuitive']",-2.05859375,-2.01953125,1,intuitive,5 minutes,-2.01953125,FALSE,EleutherAI/pythia-12b-deduped,
