condition,item_id,question,correct,intuitive,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,model,revision
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours," It depends on the number of jackets you want to make.

Question: How long does it take 4 people to make a jacket?
Answer: It depends on the number of jackets you want to make.

Question: How long does it take 4 people to make a jacket?
Answer: It depends on the number of jackets you want to make.

Question: How long does it take 4 people to make a jacket?
Answer: It depends on the",It depends on the number of jackets you want to make.,,,"[-2.136281967163086, -2.2147483825683594]","['correct', 'intuitive']",-2.136281967,-2.214748383,0,correct,7 hours,-2.136281967,TRUE,EleutherAI/pythia-1b-deduped,
crt2,2,"How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",8 hours,4 hours," It depends on the size of the load.

Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer: It depends on the size of the load.

Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer: It depends on the size of the load",It depends on the size of the load.,,,"[-2.316767692565918, -2.621274948120117]","['correct', 'intuitive']",-2.316767693,-2.621274948,0,correct,8 hours,-2.316767693,TRUE,EleutherAI/pythia-1b-deduped,
crt2,3,"How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",60 minutes,50 minutes," It depends on the number of flowers and the time it takes to pollinate them.
Question: How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?
Answer: It depends on the number of flowers and the time it takes to pollinate them.
Question: How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers",It depends on the number of flowers and the time it takes to pollinate them.,,,"[-2.3365492820739746, -3.8191967010498047]","['correct', 'intuitive']",-2.336549282,-3.819196701,0,correct,60 minutes,-2.336549282,TRUE,EleutherAI/pythia-1b-deduped,
crt2,4,"How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",5 days,1 day," It depends on the size of the chair.

Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?
Answer: It depends on the size of the chair.

Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?
Answer: It depends on the size of the chair.

Question: How",It depends on the size of the chair.,,,"[-2.0483436584472656, -2.9282517433166504]","['correct', 'intuitive']",-2.048343658,-2.928251743,0,correct,5 days,-2.048343658,TRUE,EleutherAI/pythia-1b-deduped,
crt2,5,"How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",60 minutes,10 minutes," It depends on the oven.
Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
Answer: It depends on the oven.
Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
Answer: It depends on the oven.
Question: How long does it take 10 ov",It depends on the oven.,,,"[-2.72017240524292, -2.6294188499450684]","['correct', 'intuitive']",-2.720172405,-2.62941885,1,intuitive,10 minutes,-2.62941885,FALSE,EleutherAI/pythia-1b-deduped,
crt2,6,"How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",6 years,1 year," It depends on the quality of the research.

Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?
Answer: It depends on the quality of the research.

Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?
Answer: It depends on the quality of the research.

Question: How long does it take 1 researcher",It depends on the quality of the research.,,,"[-2.350766181945801, -2.6295504570007324]","['correct', 'intuitive']",-2.350766182,-2.629550457,0,correct,6 years,-2.350766182,TRUE,EleutherAI/pythia-1b-deduped,
crt2,7,"How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?",50 hours,30 hours," It depends on the size of the room.
Question: How many cleaners do you need to clean a room?
Answer: It depends on the size of the room.
Question: How many cleaners do you need to clean a room?
Answer: It depends on the size of the room.
Question: How many cleaners do you need to clean a room?
Answer: It depends on the size of the room.
Question: How many cleaners do you need",It depends on the size of the room.,,,"[-2.1974024772644043, -2.8679251670837402]","['correct', 'intuitive']",-2.197402477,-2.867925167,0,correct,50 hours,-2.197402477,TRUE,EleutherAI/pythia-1b-deduped,
crt2,8,"How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?",70 minutes,40 minutes," It depends on the bulb. If it is a bulb that is not replaceable, it will take about 40 minutes. If it is a bulb that is replaceable, it will take about 70 minutes.

Question: How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?
Answer: It depends on the bulb. If it is a bulb that is not replaceable, it will take about 40 minutes. If it",It depends on the bulb.,,,"[-2.4639406204223633, -2.306766986846924]","['correct', 'intuitive']",-2.46394062,-2.306766987,1,intuitive,40 minutes,-2.306766987,FALSE,EleutherAI/pythia-1b-deduped,
crt2,9,"How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",50 weeks,40 weeks," It depends on the size of the house.
Question: How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?
Answer: It depends on the size of the house.
Question: How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?
Answer: It depends on the size of the house.
Question: How long does it take 40 builders to build 40",It depends on the size of the house.,,,"[-2.158092498779297, -2.696639060974121]","['correct', 'intuitive']",-2.158092499,-2.696639061,0,correct,50 weeks,-2.158092499,TRUE,EleutherAI/pythia-1b-deduped,
crt2,10,"How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?",6 minutes,5 minutes," It depends on the size of the trees.
Question: How many trees can be planted in a day?
Answer: It depends on the size of the trees.
Question: How many trees can be planted in a day?
Answer: It depends on the size of the trees.
Question: How many trees can be planted in a day?
Answer: It depends on the size of the trees.
Question: How many trees can be planted in a day?
Answer:",It depends on the size of the trees.,,,"[-1.652646541595459, -1.9665756225585938]","['correct', 'intuitive']",-1.652646542,-1.966575623,0,correct,6 minutes,-1.652646542,TRUE,EleutherAI/pythia-1b-deduped,
