condition,item_id,question,correct,intuitive,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,model,revision
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours," It takes 7 people 7 hours to tailor 7 jackets.

Question: How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?
Answer: It takes 7 people 7 hours to tailor 7 jackets.

Question: How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?
Answer: It takes 7 people 7 hours to tailor 7 jack",It takes 7 people 7 hours to tailor 7 jackets.,correct,,"[-1.9634513854980469, -2.962742805480957]","['correct', 'intuitive']",-1.963451385,-2.962742805,0,correct,7 hours,-1.963451385,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,2,"How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",8 hours,4 hours," It takes 8 hours to wash 8 loads of laundry.

Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer: It takes 8 hours to wash 8 loads of laundry.

Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer: It takes 8 hours",It takes 8 hours to wash 8 loads of laundry.,correct,,"[-1.5959911346435547, -2.297790050506592]","['correct', 'intuitive']",-1.595991135,-2.297790051,0,correct,8 hours,-1.595991135,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,3,"How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",60 minutes,50 minutes," It takes 60 bees 60 minutes to pollinate 60 flowers.

Question: How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?
Answer: It takes 60 bees 60 minutes to pollinate 60 flowers.

Question: How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?
Answer: It takes 60 bees",It takes 60 bees 60 minutes to pollinate 60 flowers.,correct,,"[-2.0373706817626953, -3.9760212898254395]","['correct', 'intuitive']",-2.037370682,-3.97602129,0,correct,60 minutes,-2.037370682,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,4,"How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",5 days,1 day," It takes 5 carpenters 5 days to make 5 chairs.

Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?
Answer: It takes 5 carpenters 5 days to make 5 chairs.

Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?
Answer: It takes 5 carpenters",It takes 5 carpenters 5 days to make 5 chairs.,correct,,"[-1.9392428398132324, -3.345092296600342]","['correct', 'intuitive']",-1.93924284,-3.345092297,0,correct,5 days,-1.93924284,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,5,"How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",60 minutes,10 minutes," It takes 60 minutes to bake 60 lasagnas.

Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
Answer: It takes 60 minutes to bake 60 lasagnas.

Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
Answer: It takes 60 minutes",It takes 60 minutes to bake 60 lasagnas.,correct,,"[-2.6266989707946777, -3.157083034515381]","['correct', 'intuitive']",-2.626698971,-3.157083035,0,correct,60 minutes,-2.626698971,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,6,"How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",6 years,1 year," It takes 6 years to publish 6 papers.

Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?
Answer: It takes 6 years to publish 6 papers.

Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?
Answer: It takes 6 years to publish 6 papers.

Question: How long does it take 1 researcher",It takes 6 years to publish 6 papers.,correct,,"[-2.2912912368774414, -2.6140952110290527]","['correct', 'intuitive']",-2.291291237,-2.614095211,0,correct,6 years,-2.291291237,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,7,"How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?",50 hours,30 hours," It takes 50 cleaners 50 hours to clean 50 rooms.

Question: How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?
Answer: It takes 50 cleaners 50 hours to clean 50 rooms.

Question: How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?
Answer: It takes 50 cleaners 50 hours to clean 50",It takes 50 cleaners 50 hours to clean 50 rooms.,correct,,"[-2.315047264099121, -3.0132484436035156]","['correct', 'intuitive']",-2.315047264,-3.013248444,0,correct,50 hours,-2.315047264,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,8,"How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?",70 minutes,40 minutes," It takes 70 students 70 minutes to change 70 light bulbs.

Question: How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?
Answer: It takes 70 students 70 minutes to change 70 light bulbs.

Question: How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?
Answer: It takes 70 students 70 minutes to change 70 light",It takes 70 students 70 minutes to change 70 light bulbs.,correct,,"[-2.3035268783569336, -3.594935417175293]","['correct', 'intuitive']",-2.303526878,-3.594935417,0,correct,70 minutes,-2.303526878,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,9,"How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",50 weeks,40 weeks," It takes 50 weeks to build 50 houses.

Question: How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?
Answer: It takes 50 weeks to build 50 houses.

Question: How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?
Answer: It takes 50 weeks to build 50 houses.

Question: How long does it take 40 builders",It takes 50 weeks to build 50 houses.,correct,,"[-1.9067530632019043, -2.2592291831970215]","['correct', 'intuitive']",-1.906753063,-2.259229183,0,correct,50 weeks,-1.906753063,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,10,"How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?",6 minutes,5 minutes," It takes 6 people 6 minutes to plant 6 trees.

Question: How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?
Answer: It takes 6 people 6 minutes to plant 6 trees.

Question: How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?
Answer: It takes 6 people 6 minutes to plant 6 trees.

Question: How",It takes 6 people 6 minutes to plant 6 trees.,correct,,"[-1.772481918334961, -2.514927387237549]","['correct', 'intuitive']",-1.772481918,-2.514927387,0,correct,6 minutes,-1.772481918,TRUE,EleutherAI/pythia-2.8b-deduped,
crt2,11,"How long does it take 30 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?",40 minutes,30 minutes," It takes 40 coffee machines 40 minutes to make 40 coffees.

Question: How long does it take 30 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?
Answer: It takes 40 coffee machines 40 minutes to make 40 coffees.

Question: How long does it take 30 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?
",It takes 40 coffee machines 40 minutes to make 40 coffees.,correct,,"[-1.8514070510864258, -2.215327739715576]","['correct', 'intuitive']",-1.851407051,-2.21532774,0,correct,40 minutes,-1.851407051,TRUE,EleutherAI/pythia-2.8b-deduped,
