condition,item_id,question,correct,intuitive,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,model,revision
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours,"12 hours
Question: What do you call a dog with no legs?
Answer: It doesn't matter, he won't come.
Question: What do you call a dog with no legs and no tail?
Answer: A dog.
Question: What's the difference between a piano and a fish?
Answer: One is a piano, the other is a fish.
Question: What's the difference between a piano and a fish? Answer:",12 hours.,,,"[-1.4722236394882202, -1.4542837142944336]","['correct', 'intuitive']",-1.472223639,-1.454283714,1,intuitive,4 hours,-1.454283714,FALSE,meta-llama/Llama-2-7b-hf,
crt2,2,"How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",8 hours,4 hours,"The answer is 128 hours.
Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer: The answer is 128 hours. The solution is based on the assumption that the washing machines operate at the same speed.",The answer is 128 hours.,correct,,"[-1.398691177368164, -1.3859440088272095]","['correct', 'intuitive']",-1.398691177,-1.385944009,1,intuitive,4 hours,-1.385944009,FALSE,meta-llama/Llama-2-7b-hf,
crt2,3,"How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",60 minutes,50 minutes,"120 minutes.
Why? Because it takes 60 bees 60 minutes to pollinate 60 flowers.
If it takes 60 bees 60 minutes to pollinate 60 flowers, it takes 60 bees 60 minutes to pollinate 60 flowers.
If it takes 60 bees 60 minutes to pollinate 60 flowers, then it takes 60",120 minutes.,,,"[-1.2024896144866943, -1.1447222232818604]","['correct', 'intuitive']",-1.202489614,-1.144722223,1,intuitive,50 minutes,-1.144722223,FALSE,meta-llama/Llama-2-7b-hf,
crt2,4,"How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",5 days,1 day,"It takes 1 carpenter 1 day to make 1 chair.
Question: How many carpenters does it take to make 5 chairs?
Answer: None, because they are already made.
Question: How many carpenters does it take to make 1 chair?
Answer: 1.
Question: How many carpenters does it take to make 5 chairs?
Answer: 5.
Question: How many carpenters",It takes 1 carpenter 1 day to make 1 chair.,intuitive,intuitive,"[-1.079790472984314, -0.9799464344978333]","['correct', 'intuitive']",-1.079790473,-0.9799464345,1,intuitive,1 day,-0.9799464345,FALSE,meta-llama/Llama-2-7b-hf,
crt2,5,"How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",60 minutes,10 minutes,"100 minutes.
Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
Answer: 100 minutes.
Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 6",100 minutes.,,,"[-1.0855345726013184, -0.9696812629699707]","['correct', 'intuitive']",-1.085534573,-0.969681263,1,intuitive,10 minutes,-0.969681263,FALSE,meta-llama/Llama-2-7b-hf,
crt2,6,"How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",6 years,1 year,"It depends on how much time the researcher spends on it.
I’m sure you’ve heard this joke before, but it’s a good one.
The joke is a simple one: If it takes 6 researchers 6 years to publish 6 papers, how long does it take 1 researcher to publish 1 paper?
The answer is that it depends on how much time the researcher spends on it.
If the researcher",It depends on how much time the researcher spends on it.,,,"[-1.245749831199646, -1.426801085472107]","['correct', 'intuitive']",-1.245749831,-1.426801085,0,correct,6 years,-1.245749831,TRUE,meta-llama/Llama-2-7b-hf,
crt2,7,"How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?",50 hours,30 hours,"30 cleaners clean 30 rooms in 50 hours.
Question: How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms? Answer: 30 cleaners clean 30 rooms in 50 hours.
How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners ",30 cleaners clean 30 rooms in 50 hours.,correct,correct,"[-1.091503381729126, -1.1254591941833496]","['correct', 'intuitive']",-1.091503382,-1.125459194,0,correct,50 hours,-1.091503382,TRUE,meta-llama/Llama-2-7b-hf,
crt2,8,"How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?",70 minutes,40 minutes,"1 minute.
One minute is all it takes for 40 students to change 40 light bulbs.
The 40 students did it in 1 minute.
40 students took 1 minute to change 40 light bulbs.
40 students took 1 minute to change 40 light bulbs.
It took 40 students 1 minute to change 40 light bulbs.
It took 40 students 1",1 minute.,,,"[-0.9035284519195557, -0.8553268909454346]","['correct', 'intuitive']",-0.9035284519,-0.8553268909,1,intuitive,40 minutes,-0.8553268909,FALSE,meta-llama/Llama-2-7b-hf,
crt2,9,"How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",50 weeks,40 weeks,"It depends on the builders.
How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?
The answer to the question “How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?” is Show answer
Tags: 40, 50",It depends on the builders.,,,"[-0.976123571395874, -0.9938135147094727]","['correct', 'intuitive']",-0.9761235714,-0.9938135147,0,correct,50 weeks,-0.9761235714,TRUE,meta-llama/Llama-2-7b-hf,
crt2,10,"How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?",6 minutes,5 minutes,"15 minutes.
You’ll notice that I’m not actually asking how long it takes to plant five trees. I’m asking how long it takes to plant six trees.
This is a classic trick question. The question doesn’t ask how long it takes to plant five trees, but how long it takes to plant six trees. If you don’t understand this, you’ll never be a mathematician.
I’m not sure what the answer to",15 minutes.,intuitive,,"[-1.38876473903656, -1.185132384300232]","['correct', 'intuitive']",-1.388764739,-1.185132384,1,intuitive,5 minutes,-1.185132384,FALSE,meta-llama/Llama-2-7b-hf,
