good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-28.011756896972656,-36.900299072265625,True,-2.100597858428955,-3.13485050201416,-2.2264516353607178,-3.284665822982788,True,False,True,False,False,True,google/gemma-2b,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-64.6177978515625,-71.32330322265625,True,-2.3730762004852295,-3.8757829666137695,-2.406676769256592,-3.762030839920044,True,True,True,False,False,True,google/gemma-2b,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-54.88231658935547,-60.676082611083984,True,-2.2908573150634766,-3.6110353469848633,-2.292424440383911,-3.546637773513794,True,True,True,False,False,True,google/gemma-2b,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-61.51283264160156,-69.99897003173828,True,-2.2628281116485596,-3.4150938987731934,-2.2766506671905518,-3.44659686088562,True,False,True,False,False,True,google/gemma-2b,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-65.23661804199219,-73.45234680175781,True,-2.279790163040161,-3.515648126602173,-2.2319681644439697,-3.462574005126953,False,True,True,False,False,True,google/gemma-2b,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-48.4661750793457,-53.20000457763672,True,-2.370926856994629,-3.737783908843994,-2.355372905731201,-3.616741180419922,False,True,True,False,False,True,google/gemma-2b,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-32.46723175048828,-39.384864807128906,True,-2.1762290000915527,-3.106581211090088,-2.1548855304718018,-3.13295578956604,False,False,True,False,False,True,google/gemma-2b,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-29.295122146606445,-35.18866729736328,True,-2.137644052505493,-3.2697792053222656,-2.219526767730713,-3.4011311531066895,True,False,True,False,False,True,google/gemma-2b,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-35.2480583190918,-39.488746643066406,True,-2.406224012374878,-3.6566293239593506,-2.303354263305664,-3.4960997104644775,False,True,True,False,False,True,google/gemma-2b,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-56.56587219238281,-67.94963836669922,True,-2.2069754600524902,-3.240464448928833,-2.1768288612365723,-3.2211499214172363,False,True,True,False,False,True,google/gemma-2b,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-33.36809539794922,-36.319007873535156,True,-2.220735788345337,-3.099586009979248,-2.128035545349121,-3.013686180114746,False,True,True,False,False,True,google/gemma-2b,
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12,paired,-34.033016204833984,-34.748714447021484,True,-2.1575303077697754,-3.4259369373321533,-2.25606107711792,-3.5316734313964844,True,False,True,False,False,True,google/gemma-2b,
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13,paired,-30.7479248046875,-44.1730842590332,True,-2.1025543212890625,-3.0105626583099365,-2.1381988525390625,-3.1213200092315674,True,False,True,False,False,True,google/gemma-2b,
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14,paired,-52.70795440673828,-50.58145523071289,False,-2.223977565765381,-3.489053726196289,-2.288029432296753,-3.6992263793945312,True,False,True,False,False,True,google/gemma-2b,
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15,paired,-47.85197067260742,-50.13524627685547,True,-2.288686990737915,-3.4082818031311035,-2.2299163341522217,-3.2698628902435303,False,True,True,False,False,True,google/gemma-2b,
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16,paired,-51.88215637207031,-50.993141174316406,False,-2.2052597999572754,-3.379080057144165,-2.1823434829711914,-3.3695757389068604,False,True,True,False,False,True,google/gemma-2b,
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17,paired,-47.12495422363281,-61.82478332519531,True,-2.190969705581665,-3.340629816055298,-2.1306216716766357,-3.4014086723327637,False,False,True,False,False,True,google/gemma-2b,
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18,paired,-33.827606201171875,-39.74052047729492,True,-2.042858839035034,-3.0720067024230957,-2.025613784790039,-2.9949541091918945,False,True,True,False,False,True,google/gemma-2b,
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19,paired,-52.91169357299805,-55.616355895996094,True,-2.177870750427246,-3.304241418838501,-2.213106632232666,-3.3403897285461426,True,False,True,False,False,True,google/gemma-2b,
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20,paired,-29.838180541992188,-33.75355529785156,True,-2.240666389465332,-3.5608227252960205,-2.2722761631011963,-3.5709919929504395,True,False,True,False,False,True,google/gemma-2b,
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21,paired,-38.78266143798828,-47.00120544433594,True,-2.2727885246276855,-3.4659616947174072,-2.3082211017608643,-3.5675885677337646,True,False,True,False,False,True,google/gemma-2b,
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22,paired,-33.95149612426758,-36.380828857421875,True,-2.3535661697387695,-3.833519458770752,-2.391460657119751,-3.7735562324523926,True,True,True,False,False,True,google/gemma-2b,
Rachelle isn't respected.,Rachelle isn't lied.,syntax,argument_structure,passive_2,871,23,paired,-38.1494140625,-38.911163330078125,True,-2.2411279678344727,-3.4101383686065674,-2.2089593410491943,-3.3547935485839844,False,True,True,False,False,True,google/gemma-2b,
The friend of Karen was bothered.,The friend of Karen was waved.,syntax,argument_structure,passive_2,348,24,paired,-44.38745880126953,-49.004600524902344,True,-2.4106292724609375,-3.9102277755737305,-2.363889217376709,-3.879697799682617,False,True,True,False,False,True,google/gemma-2b,
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,11,25,paired,-47.425811767578125,-56.273963928222656,True,-2.231879711151123,-3.5773308277130127,-2.249199151992798,-3.576740026473999,True,True,True,False,False,True,google/gemma-2b,
