good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-15.203125,-22.5390625,True,-1.515625,-2.796875,-1.515625,-3.078125,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-55.6015625,-61.765625,True,-1.6640625,-2.65625,-1.578125,-2.7421875,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-45.578125,-52.71875,True,-1.8046875,-2.921875,-1.8359375,-2.9609375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-61.90625,-66.6640625,True,-1.4609375,-2.9609375,-1.375,-2.890625,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-60.3828125,-70.9375,True,-1.3984375,-2.7421875,-1.40625,-2.796875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-40.3046875,-44.515625,True,-1.640625,-3.171875,-1.46875,-3.0703125,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-22.671875,-26.8125,True,-1.3828125,-2.6328125,-1.4609375,-2.765625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-17.25,-25.234375,True,-1.2578125,-2.625,-1.3125,-2.8125,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-29.5234375,-33.9921875,True,-1.328125,-2.8125,-1.4921875,-3.0,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-53.63671875,-62.38671875,True,-1.4765625,-2.828125,-1.484375,-2.8828125,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-27.15625,-30.6953125,True,-1.3984375,-2.6875,-1.3515625,-2.734375,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12,paired,-20.265625,-22.7578125,True,-1.234375,-2.6796875,-1.2109375,-2.6640625,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13,paired,-25.7421875,-32.6875,True,-1.171875,-2.5078125,-1.1875,-2.5625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14,paired,-36.7578125,-40.30078125,True,-1.5625,-2.90625,-1.5390625,-2.953125,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15,paired,-41.3828125,-43.8828125,True,-1.296875,-2.75,-1.34375,-2.8046875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16,paired,-49.421875,-49.28125,False,-1.703125,-2.8359375,-1.78125,-2.890625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17,paired,-44.75,-54.75,True,-1.5859375,-3.0625,-1.6640625,-3.0859375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18,paired,-27.6796875,-34.7890625,True,-1.46875,-2.6953125,-1.4375,-2.5546875,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19,paired,-48.50390625,-48.48828125,False,-1.484375,-2.75,-1.5390625,-2.90625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20,paired,-19.546875,-19.8671875,True,-1.296875,-2.8046875,-1.34375,-2.8984375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21,paired,-32.046875,-34.3359375,True,-1.2734375,-2.7734375,-1.3125,-2.78125,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22,paired,-28.5390625,-30.1953125,True,-1.5546875,-2.703125,-1.6875,-2.90625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Rachelle isn't respected.,Rachelle isn't lied.,syntax,argument_structure,passive_2,871,23,paired,-33.49609375,-37.36328125,True,-1.6171875,-2.7734375,-1.5078125,-2.875,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
The friend of Karen was bothered.,The friend of Karen was waved.,syntax,argument_structure,passive_2,348,24,paired,-37.78125,-42.8515625,True,-1.78125,-3.09375,-1.75,-3.0,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,11,25,paired,-35.78125,-47.4921875,True,-1.5703125,-2.7109375,-1.625,-2.8984375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
An eye opens.,An eye admires.,syntax,argument_structure,inchoative,974,26,paired,-17.6171875,-25.984375,True,-1.2578125,-2.5078125,-1.25,-2.6015625,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Kirsten isn't described by the mother of Rodney.,Kirsten isn't argued by the mother of Rodney.,syntax,argument_structure,passive_1,493,27,paired,-61.41015625,-63.34765625,True,-1.328125,-3.0625,-1.28125,-3.015625,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Lissa shuts a gate.,Lissa falls a gate.,syntax,argument_structure,causative,852,28,paired,-38.609375,-44.859375,True,-1.28125,-2.828125,-1.3046875,-2.78125,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Tonya washed Teresa.,Tonya negotiates Teresa.,syntax,argument_structure,causative,274,29,paired,-30.06640625,-39.36328125,True,-1.1875,-2.8359375,-1.28125,-3.03125,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Liam should shock Joseph's supervisors.,Liam should shrug Joseph's supervisors.,syntax,argument_structure,transitive,165,30,paired,-57.828125,-63.8515625,True,-1.484375,-3.0390625,-1.5546875,-3.1328125,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
These waiters' plumbers were referenced.,These waiters' plumbers were left.,syntax,argument_structure,passive_2,906,31,paired,-50.4921875,-48.69140625,False,-1.375,-2.7421875,-1.484375,-2.7265625,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
That glass wasn't dropping.,That glass wasn't looking like.,syntax,argument_structure,inchoative,619,32,paired,-29.640625,-38.3125,True,-1.46875,-2.796875,-1.46875,-2.890625,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Some ladies were accelerating many bikes.,Some ladies were vanishing many bikes.,syntax,argument_structure,causative,771,33,paired,-49.21875,-47.609375,False,-1.53125,-2.6796875,-1.6640625,-2.90625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Claire wouldn't close many doors.,Claire wouldn't fall many doors.,syntax,argument_structure,causative,692,34,paired,-35.2109375,-45.0703125,True,-1.6328125,-2.8046875,-1.6015625,-2.7578125,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Nicole wasn't descending.,Nicole wasn't returning to.,syntax,argument_structure,drop_argument,315,35,paired,-26.0234375,-29.6875,True,-1.40625,-2.8515625,-1.28125,-2.7421875,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Margaret was watched by Carol.,Margaret was died by Carol.,syntax,argument_structure,passive_1,745,36,paired,-29.75,-33.5,True,-1.4296875,-2.7109375,-1.5078125,-2.875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Benjamin would wrinkle every scarf.,Benjamin would fall every scarf.,syntax,argument_structure,causative,4,37,paired,-44.921875,-45.1015625,True,-1.4609375,-2.8125,-1.3828125,-2.75,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
A lot of grandsons of Tara have helped.,A lot of grandsons of Tara have resembled.,syntax,argument_structure,drop_argument,439,38,paired,-49.625,-57.5625,True,-1.3125,-2.671875,-1.4609375,-2.8671875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Vincent hated William.,Vincent grinned William.,syntax,argument_structure,transitive,197,39,paired,-27.16796875,-34.70703125,True,-1.375,-3.21875,-1.34375,-3.2421875,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Some pants folded.,Some pants admire.,syntax,argument_structure,inchoative,632,40,paired,-24.2734375,-31.3828125,True,-1.3046875,-2.5703125,-1.3359375,-2.6171875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Some dress dries.,Some dress messed up.,syntax,argument_structure,inchoative,403,41,paired,-29.0546875,-26.7109375,False,-1.328125,-2.6328125,-1.2265625,-2.6328125,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Many women joke around.,Many women care for.,syntax,argument_structure,intransitive,872,42,paired,-24.9296875,-26.1171875,True,-1.359375,-2.8671875,-1.4375,-2.96875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
An adult wouldn't fold this sock.,An adult wouldn't disappear this sock.,syntax,argument_structure,causative,897,43,paired,-44.59375,-50.296875,True,-1.28125,-2.7578125,-1.3515625,-2.765625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Katherine is helped.,Katherine is trained.,syntax,argument_structure,passive_2,545,44,paired,-28.1640625,-30.3046875,True,-1.3671875,-2.8203125,-1.359375,-2.8671875,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Claire's ex-boyfriend wasn't referenced by Brian.,Claire's ex-boyfriend wasn't disagreed by Brian.,syntax,argument_structure,passive_1,328,45,paired,-52.28125,-57.13671875,True,-1.4453125,-3.0390625,-1.4921875,-3.0,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Mouths haven't closed.,Mouths haven't bought.,syntax,argument_structure,inchoative,89,46,paired,-29.4140625,-36.484375,True,-1.4296875,-2.9296875,-1.4453125,-3.046875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Some waiter's tutors were impressed.,Some waiter's tutors were competed.,syntax,argument_structure,passive_2,453,47,paired,-45.203125,-51.4375,True,-1.3984375,-2.6875,-1.421875,-2.6328125,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Those blouses had flattened.,Those blouses had looked like.,syntax,argument_structure,intransitive,462,48,paired,-32.671875,-35.765625,True,-1.4765625,-2.828125,-1.4296875,-2.921875,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Erin wouldn't disgust Matt.,Erin wouldn't fall Matt.,syntax,argument_structure,transitive,185,49,paired,-41.421875,-44.125,True,-1.296875,-2.7890625,-1.34375,-2.71875,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
The child hadn't hidden Alice.,The child hadn't donated Alice.,syntax,argument_structure,causative,831,50,paired,-41.14453125,-48.60546875,True,-1.6015625,-3.046875,-1.5703125,-3.0390625,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Dawn hates this determined patient.,Dawn hates these determined patient.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,110,51,paired,-41.8046875,-48.7734375,True,-1.3828125,-2.6875,-1.4609375,-2.9609375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Marie cares for that nice child.,Marie cares for that nice children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,119,52,paired,-36.37890625,-39.66796875,True,-1.3125,-2.421875,-1.359375,-2.65625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Some children were healing these students.,Some children were healing these student.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,688,53,paired,-41.87109375,-48.27734375,True,-1.453125,-2.6015625,-1.4609375,-2.6171875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
A box alarms these actresses.,A box alarms these actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,624,54,paired,-44.59375,-48.234375,True,-1.2578125,-2.6328125,-1.3125,-2.5078125,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Timothy explores this restaurant.,Timothy explores this restaurants.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,314,55,paired,-33.328125,-38.7421875,True,-1.0859375,-2.5234375,-1.140625,-2.6484375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
This rug worries that child.,This rug worries those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,946,56,paired,-39.65234375,-49.71875,True,-1.2421875,-2.5546875,-1.1875,-2.625,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Jill discovered this content girl.,Jill discovered these content girl.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,350,57,paired,-44.58203125,-50.48046875,True,-1.171875,-2.75,-1.25,-2.9140625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
That adult has brought that purple octopus.,That adult has brought those purple octopus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,8,58,paired,-52.90234375,-56.8046875,True,-1.6171875,-2.8359375,-1.65625,-2.921875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Most senators run around those hospitals.,Most senators run around those hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,981,59,paired,-45.5859375,-50.390625,True,-1.4375,-2.7109375,-1.453125,-2.6640625,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Claire conceals those small stimuli.,Claire conceals that small stimuli.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,192,60,paired,-50.53125,-55.3203125,True,-1.4375,-2.796875,-1.4609375,-2.828125,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
These muffins haven't bored those standing guys.,These muffins haven't bored that standing guys.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,569,61,paired,-67.640625,-67.8984375,True,-1.453125,-2.953125,-1.5234375,-2.9765625,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Many teenagers break this orange foot.,Many teenagers break this orange feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,891,62,paired,-48.1171875,-50.4140625,True,-1.3828125,-2.5,-1.4375,-2.5,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
That broccoli scares that fast woman.,That broccoli scares that fast women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,964,63,paired,-50.0078125,-54.1796875,True,-1.7578125,-2.90625,-1.640625,-2.921875,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
Most girls passed those smooth high schools.,Most girls passed those smooth high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adjective_1,217,64,paired,-48.8046875,-52.1484375,True,-1.2890625,-2.671875,-1.28125,-2.6015625,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
Candice appreciates that patient.,Candice appreciates that patients.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,980,65,paired,-31.2109375,-36.3984375,True,-1.1953125,-2.5546875,-1.265625,-2.6796875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
