good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-25.39742088317871,-38.17800521850586,True,-1.4337635040283203,-1.9016427993774414,-1.8157377243041992,-1.634964942932129,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-67.44966888427734,-70.69915771484375,True,-1.873464584350586,-2.0980777740478516,-2.0072336196899414,-1.901320457458496,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-56.24226760864258,-63.10858154296875,True,-1.6310195922851562,-2.0935592651367188,-1.9513425827026367,-1.7265262603759766,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-67.43277740478516,-70.90704345703125,True,-1.481576919555664,-1.972391128540039,-1.7245721817016602,-1.7277593612670898,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-65.91287231445312,-74.71876525878906,True,-1.7597723007202148,-1.9090309143066406,-1.9440078735351562,-1.6420478820800781,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-48.668949127197266,-53.99565887451172,True,-1.4961729049682617,-2.2778968811035156,-1.9836883544921875,-1.689291000366211,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-35.3192138671875,-37.373416900634766,True,-1.7023258209228516,-1.9868955612182617,-1.9100971221923828,-1.8284244537353516,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-29.87468719482422,-35.23869705200195,True,-1.735976219177246,-2.0093393325805664,-1.8661880493164062,-1.8664112091064453,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-37.52556228637695,-41.19009017944336,True,-1.5824308395385742,-2.2907609939575195,-2.096560478210449,-1.6633577346801758,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-58.00341033935547,-71.92385864257812,True,-1.5307855606079102,-2.264455795288086,-1.9255027770996094,-1.7315568923950195,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-35.67402648925781,-41.292503356933594,True,-1.7445850372314453,-1.9347763061523438,-2.1850357055664062,-1.5781917572021484,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12,paired,-31.92267608642578,-33.166194915771484,True,-1.8205928802490234,-1.8703851699829102,-1.919011116027832,-1.932082176208496,True,False,True,False,False,True,mistralai/Mistral-7B-v0.1,
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13,paired,-32.987648010253906,-41.79654312133789,True,-1.6889362335205078,-1.847188949584961,-1.8691644668579102,-1.730240821838379,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14,paired,-48.54963684082031,-53.57527542114258,True,-1.696549415588379,-2.180232048034668,-2.112680435180664,-1.7955198287963867,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15,paired,-46.67344665527344,-50.69727325439453,True,-1.730656623840332,-2.018191337585449,-1.8898630142211914,-1.8719635009765625,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16,paired,-54.28450012207031,-55.20708084106445,True,-1.9230642318725586,-1.5941314697265625,-1.7870635986328125,-1.7196130752563477,False,False,False,True,False,True,mistralai/Mistral-7B-v0.1,
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17,paired,-46.40049362182617,-57.31653594970703,True,-1.6866207122802734,-2.057596206665039,-1.7369976043701172,-1.8488779067993164,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18,paired,-33.1981086730957,-37.01143264770508,True,-1.5746450424194336,-1.8889398574829102,-1.632608413696289,-1.787369728088379,True,True,True,False,False,True,mistralai/Mistral-7B-v0.1,
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19,paired,-51.146297454833984,-54.65970993041992,True,-1.9659147262573242,-1.7553272247314453,-1.9084291458129883,-1.9151487350463867,False,False,False,False,False,False,mistralai/Mistral-7B-v0.1,
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20,paired,-31.246389389038086,-30.60034942626953,False,-1.8274250030517578,-1.8974180221557617,-1.8103246688842773,-1.9249038696289062,False,False,True,False,False,True,mistralai/Mistral-7B-v0.1,
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21,paired,-41.389991760253906,-43.673858642578125,True,-1.6678180694580078,-1.994980812072754,-1.9107284545898438,-1.7643232345581055,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22,paired,-36.888099670410156,-39.88311004638672,True,-1.726095199584961,-2.0819597244262695,-2.1789379119873047,-1.7515077590942383,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
Rachelle isn't respected.,Rachelle isn't lied.,syntax,argument_structure,passive_2,871,23,paired,-40.58225631713867,-43.938411712646484,True,-1.8385257720947266,-2.2889347076416016,-2.1623687744140625,-1.7487459182739258,True,True,True,True,True,True,mistralai/Mistral-7B-v0.1,
