good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-14.941413879394531,-23.355297088623047,True,-1.7125797271728516,-2.2247190475463867,-1.5638084411621094,-2.0689401626586914,False,True,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-54.62932205200195,-59.64472961425781,True,-1.2532367706298828,-1.6598358154296875,-1.232229232788086,-1.6121292114257812,False,True,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-45.81211853027344,-50.349639892578125,True,-1.2379961013793945,-1.785832405090332,-1.3584880828857422,-1.8677291870117188,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-63.954715728759766,-67.12068176269531,True,-1.4646005630493164,-1.9276065826416016,-1.4744739532470703,-2.023252487182617,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-62.96013259887695,-67.6510009765625,True,-1.4939804077148438,-2.0502681732177734,-1.586435317993164,-2.054719924926758,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-38.185752868652344,-43.108638763427734,True,-1.3198919296264648,-1.7845878601074219,-1.3645753860473633,-1.8397750854492188,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-23.65458869934082,-27.2662296295166,True,-1.4430427551269531,-1.7464580535888672,-1.4906997680664062,-1.835618019104004,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-16.758941650390625,-19.493579864501953,True,-1.3138513565063477,-1.5975046157836914,-1.5434207916259766,-1.868037223815918,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-28.24687957763672,-33.952152252197266,True,-1.417318344116211,-1.6759881973266602,-1.4673328399658203,-1.7259845733642578,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-50.09451675415039,-62.921180725097656,True,-1.4117355346679688,-1.8561782836914062,-1.359391212463379,-1.8983020782470703,False,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-27.08167266845703,-29.80208396911621,True,-1.580343246459961,-1.977217674255371,-1.4398307800292969,-1.968968391418457,False,True,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12,paired,-20.80917739868164,-21.298978805541992,True,-1.234023094177246,-1.4546031951904297,-1.3083829879760742,-1.7103090286254883,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13,paired,-24.624828338623047,-33.404117584228516,True,-1.440394401550293,-1.7019691467285156,-1.4522733688354492,-1.7998590469360352,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14,paired,-38.297401428222656,-42.283363342285156,True,-1.1004753112792969,-1.4675025939941406,-1.14447021484375,-1.5384035110473633,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15,paired,-41.758934020996094,-41.357337951660156,False,-1.2460222244262695,-1.5377616882324219,-1.1967601776123047,-1.5521764755249023,False,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16,paired,-45.76337432861328,-45.293212890625,False,-1.389291763305664,-1.6984272003173828,-1.4156064987182617,-1.7224664688110352,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17,paired,-42.10259246826172,-55.049827575683594,True,-1.3728885650634766,-1.6305303573608398,-1.6050281524658203,-1.9095048904418945,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18,paired,-27.842971801757812,-35.309024810791016,True,-1.495992660522461,-1.9312448501586914,-1.4304122924804688,-1.8167953491210938,False,True,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19,paired,-48.64995574951172,-45.7982292175293,False,-1.3489103317260742,-1.7819185256958008,-1.3135747909545898,-1.7481565475463867,False,True,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20,paired,-21.26801109313965,-23.68898582458496,True,-1.4479179382324219,-1.981461524963379,-1.460371971130371,-1.9672651290893555,True,True,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21,paired,-31.606210708618164,-33.482582092285156,True,-1.3052663803100586,-1.75830078125,-1.2609233856201172,-1.6436309814453125,False,True,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22,paired,-27.817834854125977,-30.657100677490234,True,-1.347757339477539,-1.6830625534057617,-1.4005908966064453,-1.8570585250854492,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
Rachelle isn't respected.,Rachelle isn't lied.,syntax,argument_structure,passive_2,871,23,paired,-33.338619232177734,-35.614070892333984,True,-1.3551568984985352,-1.728719711303711,-1.4688920974731445,-1.8441534042358398,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
