good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-15.185580253601074,-24.414321899414062,True,-3.8792905807495117,-4.728204727172852,-3.935636520385742,-4.889677047729492,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-52.842872619628906,-60.760467529296875,True,-4.331203460693359,-5.050074577331543,-4.592031478881836,-5.195168495178223,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-45.437644958496094,-52.50235366821289,True,-3.2768707275390625,-4.211400985717773,-3.359922409057617,-4.247913360595703,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-62.271331787109375,-65.59465026855469,True,-3.9831409454345703,-5.126359939575195,-4.080121994018555,-5.196145057678223,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-64.01207733154297,-69.2369384765625,True,-3.649594306945801,-4.568906784057617,-3.26981258392334,-4.140913963317871,False,True,True,False,False,True,EleutherAI/pythia-1b-deduped,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-42.681884765625,-45.34502029418945,True,-3.6840333938598633,-4.68494987487793,-3.8259239196777344,-4.786517143249512,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-21.430082321166992,-25.907896041870117,True,-4.931565284729004,-5.194565773010254,-4.658561706542969,-5.057202339172363,False,True,True,False,False,True,EleutherAI/pythia-1b-deduped,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-19.02574920654297,-23.15117073059082,True,-4.88690185546875,-5.482924461364746,-4.840926170349121,-5.443626403808594,False,True,True,False,False,True,EleutherAI/pythia-1b-deduped,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-29.56501579284668,-33.843467712402344,True,-3.783186912536621,-4.221391677856445,-3.946467399597168,-4.418867111206055,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-50.08442687988281,-61.317230224609375,True,-3.406137466430664,-3.9749374389648438,-3.358377456665039,-3.9067583084106445,False,True,True,False,False,True,EleutherAI/pythia-1b-deduped,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-27.592998504638672,-30.76688003540039,True,-4.478979110717773,-5.021429061889648,-4.668874740600586,-5.209844589233398,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12,paired,-21.69887924194336,-23.685884475708008,True,-3.662904739379883,-4.389344215393066,-3.654123306274414,-4.480315208435059,False,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13,paired,-27.541107177734375,-35.89714431762695,True,-4.629203796386719,-5.026715278625488,-4.3774003982543945,-4.82181453704834,False,True,True,False,False,True,EleutherAI/pythia-1b-deduped,
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14,paired,-37.40178298950195,-39.951839447021484,True,-4.632335662841797,-5.442324638366699,-4.782744407653809,-5.609854698181152,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15,paired,-37.57075500488281,-40.68711471557617,True,-4.016921043395996,-4.4160003662109375,-4.205927848815918,-4.631372451782227,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16,paired,-44.77851104736328,-45.4417724609375,True,-4.447705268859863,-5.037411689758301,-4.513802528381348,-5.125313758850098,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17,paired,-41.73955535888672,-51.0604248046875,True,-4.833072662353516,-5.537278175354004,-4.951253890991211,-5.786396026611328,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18,paired,-30.008319854736328,-36.509098052978516,True,-4.008719444274902,-4.768261909484863,-4.216228485107422,-4.761482238769531,True,True,True,False,False,True,EleutherAI/pythia-1b-deduped,
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19,paired,-50.621891021728516,-50.80621337890625,True,-3.3220996856689453,-3.9506044387817383,-3.614598274230957,-4.196684837341309,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20,paired,-18.958553314208984,-23.62298011779785,True,-4.440707206726074,-5.385525703430176,-4.441027641296387,-5.483826637268066,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21,paired,-30.490808486938477,-33.1596565246582,True,-4.64707088470459,-5.2409210205078125,-4.499428749084473,-5.168069839477539,False,True,True,False,False,True,EleutherAI/pythia-1b-deduped,
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22,paired,-28.195037841796875,-28.949451446533203,True,-3.825468063354492,-4.749505996704102,-4.2681989669799805,-5.194856643676758,True,False,True,False,False,True,EleutherAI/pythia-1b-deduped,
