good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-26.1218204498291,-36.758399963378906,True,-2.6187210083007812,-2.6229419708251953,-2.775890350341797,-2.7328548431396484,True,False,True,True,True,True,meta-llama/Llama-2-7b-hf,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-63.350379943847656,-69.7325210571289,True,-2.748443603515625,-2.7026920318603516,-2.967428207397461,-2.6620616912841797,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-54.334739685058594,-61.052181243896484,True,-2.766805648803711,-2.639101028442383,-2.988037109375,-2.627382278442383,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-69.47549438476562,-74.25813293457031,True,-2.6426563262939453,-2.5198211669921875,-2.741365432739258,-2.569599151611328,True,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-61.12761306762695,-70.2763442993164,True,-2.7063827514648438,-2.605165481567383,-2.800771713256836,-2.6414833068847656,True,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-46.80377197265625,-52.73523712158203,True,-2.53143310546875,-2.670459747314453,-2.5513973236083984,-2.5792064666748047,True,True,True,False,False,True,meta-llama/Llama-2-7b-hf,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-32.0332145690918,-36.53493881225586,True,-2.7321548461914062,-2.6147308349609375,-2.854978561401367,-2.624774932861328,True,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-28.80340576171875,-32.936824798583984,True,-2.4783668518066406,-2.5091991424560547,-2.64215087890625,-2.669431686401367,True,False,True,False,False,True,meta-llama/Llama-2-7b-hf,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-33.845375061035156,-40.164756774902344,True,-2.546215057373047,-2.7148475646972656,-2.7543392181396484,-2.6561508178710938,True,True,True,True,True,True,meta-llama/Llama-2-7b-hf,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-56.861045837402344,-70.95465850830078,True,-2.593852996826172,-2.330625534057617,-2.685792922973633,-2.2983951568603516,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-32.710205078125,-36.82025909423828,True,-2.5333080291748047,-2.6189823150634766,-2.6721248626708984,-2.654388427734375,True,False,True,True,True,True,meta-llama/Llama-2-7b-hf,
