good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-14.86661148071289,-21.965118408203125,True,-3.5269956588745117,-4.25739860534668,-3.4401330947875977,-4.209287643432617,False,True,True,False,False,True,allenai/OLMo-7B,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-52.59696578979492,-58.1201171875,True,-2.948902130126953,-3.540426254272461,-3.011368751525879,-3.5379810333251953,True,True,True,False,False,True,allenai/OLMo-7B,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-48.49449920654297,-54.013458251953125,True,-3.187345504760742,-3.8582935333251953,-3.175358772277832,-3.851712226867676,False,True,True,False,False,True,allenai/OLMo-7B,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-62.36704635620117,-66.28816223144531,True,-2.8956069946289062,-3.6780357360839844,-2.9496889114379883,-3.7988529205322266,True,False,True,False,False,True,allenai/OLMo-7B,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-54.82405471801758,-66.04147338867188,True,-3.414273262023926,-4.1083879470825195,-3.4450483322143555,-4.115241050720215,True,False,True,False,False,True,allenai/OLMo-7B,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-38.225738525390625,-45.66054916381836,True,-2.9530715942382812,-3.803046226501465,-3.0050134658813477,-3.833454132080078,True,False,True,False,False,True,allenai/OLMo-7B,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-25.091724395751953,-30.251672744750977,True,-3.121790885925293,-3.8066329956054688,-3.205209732055664,-4.011585235595703,True,False,True,False,False,True,allenai/OLMo-7B,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-17.799060821533203,-22.07750701904297,True,-3.2821054458618164,-4.145811080932617,-3.299856185913086,-4.123029708862305,True,True,True,False,False,True,allenai/OLMo-7B,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-29.068662643432617,-33.99664306640625,True,-3.322774887084961,-4.256368637084961,-3.301100730895996,-4.308468818664551,False,False,True,False,False,True,allenai/OLMo-7B,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-52.02364730834961,-59.0689697265625,True,-3.13175106048584,-3.933405876159668,-3.089813232421875,-3.9520702362060547,False,False,True,False,False,True,allenai/OLMo-7B,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-26.550537109375,-29.04779815673828,True,-3.3980579376220703,-4.172062873840332,-3.409086227416992,-4.232171058654785,True,False,True,False,False,True,allenai/OLMo-7B,
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12,paired,-21.752037048339844,-22.0817928314209,True,-3.1544313430786133,-4.242271423339844,-3.2079925537109375,-4.249717712402344,True,False,True,False,False,True,allenai/OLMo-7B,
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13,paired,-23.978561401367188,-30.12641143798828,True,-3.1637449264526367,-3.8721017837524414,-3.236851692199707,-4.012835502624512,True,False,True,False,False,True,allenai/OLMo-7B,
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14,paired,-37.56721496582031,-40.19774627685547,True,-3.269855499267578,-4.080013275146484,-3.3243560791015625,-4.1092729568481445,True,False,True,False,False,True,allenai/OLMo-7B,
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15,paired,-41.55268096923828,-40.13837432861328,False,-3.361752510070801,-4.027593612670898,-3.4296388626098633,-4.166895866394043,True,False,True,False,False,True,allenai/OLMo-7B,
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16,paired,-47.3734130859375,-45.526756286621094,False,-3.3327760696411133,-3.85208797454834,-3.3248462677001953,-3.899229049682617,False,False,True,False,False,True,allenai/OLMo-7B,
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17,paired,-42.39488220214844,-51.40962219238281,True,-2.9731321334838867,-3.5299196243286133,-2.9572134017944336,-3.6584510803222656,False,False,True,False,False,True,allenai/OLMo-7B,
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18,paired,-28.255939483642578,-33.5540771484375,True,-3.22744083404541,-4.009382247924805,-3.213667869567871,-4.004202842712402,False,True,True,False,False,True,allenai/OLMo-7B,
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19,paired,-44.433937072753906,-44.83628845214844,True,-2.9842348098754883,-3.529963493347168,-3.015819549560547,-3.7481584548950195,True,False,True,False,False,True,allenai/OLMo-7B,
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20,paired,-22.35617446899414,-25.67230224609375,True,-3.228184700012207,-4.2076568603515625,-3.2267494201660156,-3.987767219543457,False,True,True,False,False,True,allenai/OLMo-7B,
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21,paired,-35.32175827026367,-34.04353332519531,False,-3.2070817947387695,-3.992070198059082,-3.375861167907715,-4.068747520446777,True,False,True,False,False,True,allenai/OLMo-7B,
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22,paired,-30.084251403808594,-32.28857421875,True,-3.3576717376708984,-4.109694480895996,-3.384425163269043,-4.258581161499023,True,False,True,False,False,True,allenai/OLMo-7B,
Rachelle isn't respected.,Rachelle isn't lied.,syntax,argument_structure,passive_2,871,23,paired,-33.48515319824219,-34.76429748535156,True,-3.037433624267578,-3.808595657348633,-3.001378059387207,-3.7622976303100586,False,True,True,False,False,True,allenai/OLMo-7B,
The friend of Karen was bothered.,The friend of Karen was waved.,syntax,argument_structure,passive_2,348,24,paired,-38.38127136230469,-43.09388732910156,True,-3.2495765686035156,-4.085847854614258,-3.289091110229492,-4.118003845214844,True,False,True,False,False,True,allenai/OLMo-7B,
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,11,25,paired,-41.36445617675781,-48.83367156982422,True,-2.9655237197875977,-3.9008827209472656,-3.0984888076782227,-3.9272031784057617,True,False,True,False,False,True,allenai/OLMo-7B,
An eye opens.,An eye admires.,syntax,argument_structure,inchoative,974,26,paired,-17.52351188659668,-25.709482192993164,True,-3.2909650802612305,-3.9731321334838867,-3.273505210876465,-4.032865524291992,False,False,True,False,False,True,allenai/OLMo-7B,
Kirsten isn't described by the mother of Rodney.,Kirsten isn't argued by the mother of Rodney.,syntax,argument_structure,passive_1,493,27,paired,-58.27104568481445,-61.031551361083984,True,-2.876047134399414,-3.475801467895508,-2.9553747177124023,-3.666349411010742,True,False,True,False,False,True,allenai/OLMo-7B,
Lissa shuts a gate.,Lissa falls a gate.,syntax,argument_structure,causative,852,28,paired,-36.99452209472656,-40.628143310546875,True,-3.147702217102051,-3.916851043701172,-3.2156591415405273,-3.99600887298584,True,False,True,False,False,True,allenai/OLMo-7B,
