problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct
row_constant,0,row_constant_0,False,[3],"3]
[2] [2] [",-1.6410980224609375,[3],True,"[-7.062950134277344, -6.805177688598633, -5.882415771484375, -0.05583381652832031, -4.778051376342773, -4.977624893188477, -3.7607650756835938, -5.804988861083984]",3,3],-0.05583381652832031,True,allenai/OLMo-7B,step91000-tokens403B,False
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.2117767333984375,[6],True,"[-4.94923210144043, -5.86448860168457, -5.366188049316406, -5.436666488647461, -6.00810432434082, -4.923254013061523, -0.06357765197753906, -3.9657859802246094]",6,6],-0.06357765197753906,True,allenai/OLMo-7B,step91000-tokens403B,False
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[2] [5] [",-2.8543548583984375,[2],True,"[-1.0220813751220703, -2.3596935272216797, -2.4449100494384766, -2.439350128173828, -3.761138916015625, -3.1227550506591797, -3.713092803955078, -3.971651077270508]",0,2],-1.0220813751220703,True,allenai/OLMo-7B,step91000-tokens403B,False
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[1] [9] [",-1.734933853149414,[9],True,"[-4.517822265625, -4.255176544189453, -3.4280261993408203, -4.564809799194336, -2.8727188110351562, -0.3490161895751953, -3.3283634185791016, -3.678194046020508]",5,9],-0.3490161895751953,True,allenai/OLMo-7B,step91000-tokens403B,False
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.5568656921386719,[4],True,"[-2.222841262817383, -4.197853088378906, -4.9161529541015625, -3.7950191497802734, -0.24691390991210938, -7.062320709228516, -5.97361946105957, -7.610047340393066]",4,4],-0.24691390991210938,True,allenai/OLMo-7B,step91000-tokens403B,False
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.4071807861328125,[8],True,"[-3.4557762145996094, -3.964925765991211, -4.890375137329102, -3.407072067260742, -3.950582504272461, -4.23393440246582, -0.2505970001220703, -3.630779266357422]",6,8],-0.2505970001220703,True,allenai/OLMo-7B,step91000-tokens403B,False
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.24801254272460938,"[6, 9]",True,"[-9.079017639160156, -6.2733612060546875, -7.807924270629883, -7.9915313720703125, -9.643369674682617, -10.161687850952148, -0.06371116638183594, -8.746170043945312]",6,6 9],-0.06371116638183594,True,allenai/OLMo-7B,step91000-tokens403B,False
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[1 0] [5",-4.491264343261719,"[1, 2]",True,"[-0.49544715881347656, -9.137929916381836, -8.612972259521484, -5.021486282348633, -10.305183410644531, -7.922222137451172, -7.923759460449219, -8.62997055053711]",0,1 2],-0.49544715881347656,True,allenai/OLMo-7B,step91000-tokens403B,False
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 4] [1",-2.5111637115478516,"[1, 0]",True,"[-6.040004730224609, -5.426252365112305, -8.172447204589844, -8.78207015991211, -5.742151260375977, -6.625434875488281, -10.342470169067383, -0.13530540466308594]",7,1 0],-0.13530540466308594,True,allenai/OLMo-7B,step91000-tokens403B,False
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"0 1]
[8 1] [9",-5.168949127197266,"[0, 1]",False,"[-5.797151565551758, -6.377828598022461, -2.1928043365478516, -4.556455612182617, -2.854419708251953, -6.926586151123047, -5.189914703369141, -5.854501724243164]",2,9 1],-2.1928043365478516,True,allenai/OLMo-7B,step91000-tokens403B,False
