problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[4] [4] [",-1.6039714813232422,[3],True,"[-7.576299667358398, -6.581323623657227, -6.344308853149414, -0.043170928955078125, -4.589134216308594, -6.221713066101074, -5.058950424194336, -5.621831893920898]",3,3],-0.043170928955078125,True,meta-llama/Llama-2-7b-hf,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.519373893737793,[6],True,"[-5.363811492919922, -5.645761489868164, -5.866334915161133, -4.823476791381836, -6.098377227783203, -4.830900192260742, -0.05452156066894531, -4.343801498413086]",6,6],-0.05452156066894531,True,meta-llama/Llama-2-7b-hf,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.577342987060547,[2],True,"[-0.5228557586669922, -2.717256546020508, -3.0539722442626953, -2.6157073974609375, -5.033139228820801, -4.801995277404785, -6.286023139953613, -2.140584945678711]",0,2],-0.5228557586669922,True,meta-llama/Llama-2-7b-hf,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-2.379793167114258,[9],True,"[-5.069478988647461, -5.202029228210449, -6.549286842346191, -5.941891670227051, -2.648130416870117, -0.17311859130859375, -4.715787887573242, -4.734606742858887]",5,9],-0.17311859130859375,True,meta-llama/Llama-2-7b-hf,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.34294891357421875,[4],True,"[-6.4116716384887695, -8.508148193359375, -6.352642059326172, -6.77088737487793, -0.01328277587890625, -8.513620376586914, -7.764326095581055, -9.23857307434082]",4,4],-0.01328277587890625,True,meta-llama/Llama-2-7b-hf,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.6654214859008789,[8],True,"[-3.352376937866211, -5.631342887878418, -6.318621635437012, -5.26052188873291, -5.02900505065918, -6.315378189086914, -0.09552764892578125, -5.306875228881836]",6,8],-0.09552764892578125,True,meta-llama/Llama-2-7b-hf,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6]",-0.4284219741821289,"[6, 9]",True,"[-10.54069995880127, -6.413036346435547, -8.517897605895996, -7.790083885192871, -10.894536018371582, -11.657360076904297, -0.04362297058105469, -11.093916893005371]",6,6 9],-0.04362297058105469,True,meta-llama/Llama-2-7b-hf,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[5 0]",-4.878942489624023,"[1, 2]",True,"[-0.6424198150634766, -9.41211223602295, -7.25837516784668, -6.724193572998047, -9.529483795166016, -9.385547637939453, -9.601302146911621, -9.388344764709473]",0,1 2],-0.6424198150634766,True,meta-llama/Llama-2-7b-hf,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
\end{code}",-2.1057662963867188,"[1, 0]",True,"[-7.521327972412109, -7.650476455688477, -9.499517440795898, -10.394222259521484, -4.863513946533203, -6.583087921142578, -13.472923278808594, -0.08230972290039062]",7,1 0],-0.08230972290039062,True,meta-llama/Llama-2-7b-hf,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[0 2]",-3.8670654296875,"[9, 1]",True,"[-7.76054573059082, -10.331554412841797, -0.6697235107421875, -7.473818778991699, -6.218066215515137, -10.341203689575195, -7.579023361206055, -9.312110900878906]",2,9 1],-0.6697235107421875,True,meta-llama/Llama-2-7b-hf,
