problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[5] [5] [",-0.78125,[3],True,"[-7.7578125, -6.6171875, -7.390625, -0.03125, -5.1328125, -5.75, -5.03125, -5.421875]",3,3],-0.03125,True,EleutherAI/pythia-12b-deduped,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.34375,[6],True,"[-5.890625, -5.765625, -6.09375, -5.6640625, -6.3125, -5.03125, -0.03125, -4.625]",6,6],-0.03125,True,EleutherAI/pythia-12b-deduped,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.203125,[2],True,"[-0.75, -2.171875, -2.765625, -2.609375, -3.703125, -4.15625, -3.21875, -2.328125]",0,2],-0.75,True,EleutherAI/pythia-12b-deduped,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-1.5,[9],True,"[-4.8515625, -4.84375, -4.0546875, -4.2734375, -3.40625, -0.1875, -4.078125, -4.2578125]",5,9],-0.1875,True,EleutherAI/pythia-12b-deduped,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.5625,[4],True,"[-3.734375, -6.0625, -4.609375, -3.671875, -0.140625, -6.7265625, -5.765625, -7.359375]",4,4],-0.140625,True,EleutherAI/pythia-12b-deduped,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.734375,[8],True,"[-4.25, -3.671875, -6.0546875, -4.8671875, -5.5234375, -5.25, -0.109375, -4.7734375]",6,8],-0.109375,True,EleutherAI/pythia-12b-deduped,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.265625,"[6, 9]",True,"[-9.0, -6.65625, -8.46875, -8.1796875, -10.34375, -10.1796875, -0.03125, -10.734375]",6,6 9],-0.03125,True,EleutherAI/pythia-12b-deduped,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[1 3] [5",-3.2421875,"[1, 2]",True,"[-0.578125, -9.96875, -7.203125, -4.328125, -7.796875, -9.6015625, -9.828125, -9.078125]",0,1 2],-0.578125,True,EleutherAI/pythia-12b-deduped,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 1] [1",-2.75,"[1, 0]",True,"[-8.984375, -5.8125, -8.5546875, -8.71875, -4.8203125, -7.078125, -11.3984375, -0.09375]",7,1 0],-0.09375,True,EleutherAI/pythia-12b-deduped,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 2]
[8 2] [9",-3.40625,"[9, 2]",False,"[-8.046875, -6.984375, -1.40625, -3.75, -3.9375, -8.390625, -6.265625, -6.78125]",2,9 1],-1.40625,True,EleutherAI/pythia-12b-deduped,
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"7 6]
[7 6] [3",-4.15625,"[7, 6]",False,"[-3.65625, -5.8125, -8.2578125, -6.9609375, -2.828125, -8.3203125, -7.5078125, -5.203125]",4,1 6],-2.828125,True,EleutherAI/pythia-12b-deduped,
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1] [2",-0.28125,"[2, 0]",True,"[-0.140625, -8.2890625, -11.390625, -9.671875, -9.734375, -8.2578125, -12.8046875, -5.40625]",0,2 0],-0.140625,True,EleutherAI/pythia-12b-deduped,
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 9]",-1.5390625,"[1, 8, 8]",True,"[-8.859375, -7.078125, -11.234375, -5.0, -9.3671875, -0.078125, -8.859375, -10.7734375]",5,1 8 8],-0.078125,True,EleutherAI/pythia-12b-deduped,
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 0]
[3 2 0]",-1.078125,"[6, 9, 0]",True,"[-14.65625, -12.25, -12.671875, -10.4375, -11.890625, -0.234375, -13.796875, -12.8359375]",5,6 9 0],-0.234375,True,EleutherAI/pythia-12b-deduped,
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 1]
[6 6 3]",-1.4375,"[0, 0, 1]",True,"[-11.4296875, -0.46875, -4.890625, -12.203125, -16.15625, -11.046875, -8.6875, -13.078125]",1,0 0 1],-0.46875,True,EleutherAI/pythia-12b-deduped,
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 1 5]
[9 7 5]",-3.875,"[5, 1, 5]",False,"[-10.59375, -10.671875, -9.984375, -9.1875, -3.59375, -7.328125, -7.921875, -1.984375]",7,5 1 7],-1.984375,True,EleutherAI/pythia-12b-deduped,
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 8 7]
[7 2 7]",-4.109375,"[8, 8, 7]",False,"[-8.515625, -10.59375, -7.59375, -4.125, -8.578125, -8.140625, -8.921875, -8.96875]",3,8 7 0],-4.125,True,EleutherAI/pythia-12b-deduped,
