problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct
row_constant,0,row_constant_0,False,[3],"3]
[4] [3] [",-4.088890075683594,[3],True,"[-4.731109619140625, -4.50523567199707, -4.045063018798828, -0.76861572265625, -2.1911144256591797, -3.0942516326904297, -1.5220928192138672, -3.9969482421875]",3,3],-0.76861572265625,True,allenai/OLMo-7B,step10000-tokens44B,False
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-1.016489028930664,[6],True,"[-4.4046630859375, -3.9267749786376953, -4.240825653076172, -3.510629653930664, -3.9969120025634766, -1.55841064453125, -0.5961780548095703, -3.1298904418945312]",6,6],-0.5961780548095703,True,allenai/OLMo-7B,step10000-tokens44B,False
dist3_diag1,0,dist3_diag1_0,False,[2],"7]
[6] [8] [",-3.7410621643066406,[7],False,"[-1.5060806274414062, -3.0748424530029297, -2.398174285888672, -3.1988601684570312, -2.7717342376708984, -3.116912841796875, -4.93617057800293, -2.732358932495117]",0,2],-1.5060806274414062,True,allenai/OLMo-7B,step10000-tokens44B,False
dist3_diag2,0,dist3_diag2_0,False,[9],"1]
[1] [9] [",-4.635889053344727,[1],False,"[-2.9787845611572266, -2.6155872344970703, -3.56557559967041, -2.696157455444336, -1.668172836303711, -2.363048553466797, -3.6223344802856445, -3.2538299560546875]",4,1],-1.668172836303711,False,allenai/OLMo-7B,step10000-tokens44B,False
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [5] [",-1.5413665771484375,[4],True,"[-2.576253890991211, -3.7656402587890625, -5.55903434753418, -2.737396240234375, -0.25922393798828125, -7.535525321960449, -6.2513837814331055, -7.95793342590332]",4,4],-0.25922393798828125,True,allenai/OLMo-7B,step10000-tokens44B,False
prog_size2,0,prog_size2_0,False,[8],"7]
[6] [8] [",-4.153099060058594,[7],False,"[-1.4069938659667969, -3.436692237854004, -2.706231117248535, -2.2365055084228516, -3.365994453430176, -3.0955162048339844, -2.053974151611328, -3.0996437072753906]",0,7],-1.4069938659667969,False,allenai/OLMo-7B,step10000-tokens44B,False
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.2382373809814453,"[6, 9]",True,"[-8.421157836914062, -5.942523002624512, -7.244743347167969, -7.520782470703125, -9.423279762268066, -9.859911918640137, -0.07592582702636719, -10.382089614868164]",6,6 9],-0.07592582702636719,True,allenai/OLMo-7B,step10000-tokens44B,False
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"6 2]
[6 4] [1",-5.7889862060546875,"[6, 2]",False,"[-4.775413513183594, -6.425518035888672, -5.852136611938477, -6.278430938720703, -4.687320709228516, -6.889678955078125, -7.831951141357422, -6.424768447875977]",4,7 6],-4.687320709228516,False,allenai/OLMo-7B,step10000-tokens44B,False
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"2 0]
[3 0] [2",-4.976951599121094,"[2, 0]",False,"[-4.1871490478515625, -3.400777816772461, -4.891069412231445, -5.088512420654297, -1.8237724304199219, -5.238697052001953, -7.821313858032227, -2.1995277404785156]",4,2 0],-1.8237724304199219,False,allenai/OLMo-7B,step10000-tokens44B,False
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"0 3]
[0 4] [8",-5.039585113525391,"[0, 3]",False,"[-7.2584381103515625, -5.121210098266602, -5.494913101196289, -3.097156524658203, -3.2711715698242188, -7.99620246887207, -5.649869918823242, -4.77027702331543]",3,9 3],-3.097156524658203,False,allenai/OLMo-7B,step10000-tokens44B,False
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"5 6]
[7 3] [5",-5.564516067504883,"[5, 6]",False,"[-3.9912586212158203, -5.922033309936523, -4.865007400512695, -4.019083023071289, -5.455104827880859, -4.912071228027344, -4.440179824829102, -6.078166961669922]",0,6 9],-3.9912586212158203,False,allenai/OLMo-7B,step10000-tokens44B,False
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 3]
[5 3] [4",-5.896900177001953,"[2, 3]",False,"[-4.97813606262207, -3.8106861114501953, -6.370791435241699, -6.380119323730469, -7.53533935546875, -2.2382335662841797, -7.3843183517456055, -4.100250244140625]",5,4 2],-2.2382335662841797,False,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 6]
[5 4 9]",-2.8691673278808594,"[1, 8, 6]",False,"[-7.582542419433594, -4.995702743530273, -10.253955841064453, -4.520601272583008, -6.538715362548828, -3.177267074584961, -7.467973709106445, -11.536273956298828]",5,1 8 8],-3.177267074584961,True,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 3]
[3 2 3]",-3.6829967498779297,"[6, 9, 3]",False,"[-6.049049377441406, -8.44575309753418, -10.686723709106445, -8.819404602050781, -8.778301239013672, -5.00941276550293, -10.26472282409668, -6.980783462524414]",5,6 9 0],-5.00941276550293,True,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0]
[6 6 5] [",-3.9170188903808594,"[0, 0]",False,"[-9.889318466186523, -3.6616897583007812, -3.0791873931884766, -11.490994453430176, -11.636436462402344, -9.760856628417969, -6.788902282714844, -10.844176292419434]",2,0 0 6],-3.0791873931884766,False,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 3 4]
[9 3 8]",-7.910564422607422,"[5, 3, 4]",False,"[-7.381877899169922, -7.135517120361328, -8.337560653686523, -8.11009407043457, -6.492849349975586, -6.683053970336914, -6.5250701904296875, -6.67213249206543]",4,5 1 9],-6.492849349975586,False,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 7]
[7 2 1] [",-7.284173965454102,"[8, 7]",False,"[-10.335721969604492, -9.590280532836914, -7.113958358764648, -4.998891830444336, -10.98112678527832, -6.503948211669922, -6.731555938720703, -6.69953727722168]",3,8 7 0],-4.998891830444336,True,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 1 6]
[1 2 5]",-5.990337371826172,"[5, 1, 6]",False,"[-11.277177810668945, -8.257490158081055, -4.412809371948242, -9.35352897644043, -4.691411972045898, -6.354509353637695, -5.186372756958008, -10.344398498535156]",2,5 2 5],-4.412809371948242,False,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"5 3 6]
[3 9 4]",-5.920419692993164,"[5, 3, 6]",False,"[-4.588481903076172, -7.3859100341796875, -7.445035934448242, -11.176202774047852, -5.772012710571289, -8.660661697387695, -6.607210159301758, -10.411905288696289]",0,5 3 8],-4.588481903076172,False,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"8 3 6]
[8 3 6]",-3.7442245483398438,"[8, 3, 6]",False,"[-6.391868591308594, -8.15865707397461, -9.413166046142578, -7.281328201293945, -5.374347686767578, -8.909013748168945, -6.986352920532227, -9.756162643432617]",4,8 3 4],-5.374347686767578,False,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 5]
[8 5 7] [",-7.721118927001953,"[8, 5]",False,"[-7.287439346313477, -7.89893913269043, -7.325065612792969, -4.8076019287109375, -7.395105361938477, -6.791553497314453, -5.754556655883789, -8.613548278808594]",3,6 5 2],-4.8076019287109375,False,allenai/OLMo-7B,step10000-tokens44B,False
three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"7 5 5]
[8 4 6]",-2.299915313720703,"[7, 5, 5]",False,"[-6.648113250732422, -9.995771408081055, -8.056520462036133, -9.099142074584961, -8.259635925292969, -0.8188667297363281, -5.825078964233398, -10.412092208862305]",5,7 5 5],-0.8188667297363281,False,allenai/OLMo-7B,step10000-tokens44B,False
c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 4]
[4] [9]",-7.464044570922852,[4 6],False,"[-2.607982635498047, -8.514307022094727, -2.8353023529052734, -9.707881927490234, -2.744274139404297, 0.0, -4.194339752197266, -13.59005355834961]",5,],0.0,False,allenai/OLMo-7B,step10000-tokens44B,False
c1_set_union,0,c1_set_union_0,True,[4],"1]
[6 1] [6]",-5.765657424926758,[1],False,"[-4.837833404541016, -8.429840087890625, -1.6411018371582031, -2.547534942626953, -6.556997299194336, -5.38970947265625, -5.933311462402344, -11.86799430847168]",2,1],-1.6411018371582031,False,allenai/OLMo-7B,step10000-tokens44B,False
c2_set_union,0,c2_set_union_0,True,[9],"6 9]
[6] [6 9",-5.352777481079102,[6 9],False,"[-2.311695098876953, 0.0, -4.529926300048828, -6.510684013366699, -3.568695068359375, -6.555625915527344, -3.0208606719970703, -4.020820617675781]",1,],0.0,False,allenai/OLMo-7B,step10000-tokens44B,False
AND,0,AND_0,True,[4],"4 5]
[1 4] [6",-3.3337936401367188,[4 5],False,"[-7.273246765136719, -5.352306365966797, -14.69676399230957, -1.701517105102539, -3.861299514770508, -4.9064178466796875, -5.120828628540039, -4.757074356079102]",3,4 5],-1.701517105102539,False,allenai/OLMo-7B,step10000-tokens44B,False
XOR,0,XOR_0,True,[4 3],"1 3]
[3 1] [1",-5.675922393798828,[1 3],False,"[-13.376869201660156, -5.51502799987793, -3.3527870178222656, -5.399606704711914, -2.2271060943603516, -4.262041091918945, -4.101779937744141, -7.604825973510742]",4,1 3],-2.2271060943603516,False,allenai/OLMo-7B,step10000-tokens44B,False
c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"3 5]
[6] [2]",-4.730756759643555,[3 5],False,"[0.0, -10.554369926452637, -3.4997291564941406, -4.42310905456543, -4.559720993041992, -9.050403594970703, -14.338604927062988, -9.127518653869629]",0,],0.0,False,allenai/OLMo-7B,step10000-tokens44B,False
c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],"5 6]
[1] [5 1",-6.500034332275391,[5 6],False,"[-3.9635791778564453, -3.593778610229492, -4.908056259155273, -10.617471694946289, -5.900428771972656, -4.025421142578125, -5.3018646240234375, -8.707475662231445]",1,6],-3.593778610229492,False,allenai/OLMo-7B,step10000-tokens44B,False
c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"3]
[0 9] [9]",-5.957319259643555,[3],False,"[-4.441152572631836, -3.346982955932617, -2.472940444946289, -3.3285980224609375, -6.127325057983398, -2.8926544189453125, -10.959346771240234, 0.0]",7,],0.0,False,allenai/OLMo-7B,step10000-tokens44B,False
XOR_permuted,0,XOR_permuted_0,True,[4 0],"4 8]
[0 8] [8",-4.253175735473633,[4 8],False,"[-15.893938064575195, -1.6451549530029297, -4.246175765991211, -10.659021377563477, -5.380943298339844, -3.738992691040039, 0.0, -11.0234375]",6,],0.0,False,allenai/OLMo-7B,step10000-tokens44B,False
AND_permuted,0,AND_permuted_0,True,[],"3]
[2] [9] [",-4.244068145751953,[3],False,"[-6.964458465576172, -5.607217788696289, -17.33108139038086, -17.560604095458984, 0.0, -11.223715782165527, -1.5892448425292969, -6.901233673095703]",4,],0.0,True,allenai/OLMo-7B,step10000-tokens44B,False
