problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct
row_constant,0,row_constant_0,False,[3],"3]
[5] [5] [",-1.7066783905029297,[3],True,"[-6.037736892700195, -5.678773880004883, -4.63275146484375, -0.08667373657226562, -4.329921722412109, -4.645036697387695, -3.987581253051758, -5.366701126098633]",3,3],-0.08667373657226562,True,allenai/OLMo-7B,step151000-tokens668B,False
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.31475257873535156,[6],True,"[-5.172616958618164, -5.07945442199707, -5.303157806396484, -4.904142379760742, -5.534341812133789, -3.8574180603027344, -0.09165382385253906, -3.890705108642578]",6,6],-0.09165382385253906,True,allenai/OLMo-7B,step151000-tokens668B,False
dist3_diag1,0,dist3_diag1_0,False,[2],"7]
[6] [7] [",-2.4693851470947266,[7],False,"[-1.5640583038330078, -2.5948657989501953, -2.9862403869628906, -3.332529067993164, -3.7019996643066406, -2.881967544555664, -3.997364044189453, -2.729095458984375]",0,2],-1.5640583038330078,True,allenai/OLMo-7B,step151000-tokens668B,False
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[6] [1] [",-2.40679931640625,[9],True,"[-3.9705352783203125, -3.598979949951172, -3.7482852935791016, -2.767131805419922, -3.1964797973632812, -0.3681049346923828, -3.8153553009033203, -3.7774906158447266]",5,9],-0.3681049346923828,True,allenai/OLMo-7B,step151000-tokens668B,False
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-1.196695327758789,[4],True,"[-1.9006519317626953, -3.6524505615234375, -3.752685546875, -2.7151641845703125, -0.5064544677734375, -6.255866050720215, -5.25715446472168, -7.086657524108887]",4,4],-0.5064544677734375,True,allenai/OLMo-7B,step151000-tokens668B,False
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.8815536499023438,[8],True,"[-3.3532066345214844, -3.6727752685546875, -4.578145980834961, -2.888082504272461, -3.972217559814453, -3.122457504272461, -0.3615379333496094, -3.169229507446289]",6,8],-0.3615379333496094,True,allenai/OLMo-7B,step151000-tokens668B,False
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.2037334442138672,"[6, 9]",True,"[-7.75262451171875, -6.389848709106445, -6.746179580688477, -7.694917678833008, -9.235599517822266, -8.697731018066406, -0.08435440063476562, -8.255624771118164]",6,6 9],-0.08435440063476562,True,allenai/OLMo-7B,step151000-tokens668B,False
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"4 2]
[4 1] [5",-5.707670211791992,"[4, 2]",False,"[-1.8135223388671875, -8.350109100341797, -5.400575637817383, -4.819246292114258, -7.035724639892578, -6.680768966674805, -7.866754531860352, -7.655778884887695]",0,1 2],-1.8135223388671875,True,allenai/OLMo-7B,step151000-tokens668B,False
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 1] [1",-2.6248035430908203,"[1, 0]",True,"[-4.89154052734375, -5.038272857666016, -7.009696960449219, -8.223304748535156, -5.752626419067383, -6.911537170410156, -10.472330093383789, -0.22275161743164062]",7,1 0],-0.22275161743164062,True,allenai/OLMo-7B,step151000-tokens668B,False
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"0 1]
[0 3] [8",-6.281396865844727,"[0, 1]",False,"[-6.343832015991211, -5.106729507446289, -2.7787227630615234, -4.307315826416016, -3.838348388671875, -6.029693603515625, -4.643043518066406, -4.955774307250977]",2,9 1],-2.7787227630615234,True,allenai/OLMo-7B,step151000-tokens668B,False
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"7 6]
[3 9] [7",-7.739816665649414,"[7, 6]",False,"[-4.587291717529297, -4.095226287841797, -4.519775390625, -5.230184555053711, -3.8627243041992188, -4.721858978271484, -3.730283737182617, -5.062248229980469]",6,3 5],-3.730283737182617,False,allenai/OLMo-7B,step151000-tokens668B,False
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1] [2",-0.4607391357421875,"[2, 0]",True,"[-0.1428203582763672, -6.928167343139648, -9.762001037597656, -6.747953414916992, -8.962296485900879, -7.334774017333984, -11.42414665222168, -6.0008544921875]",0,2 0],-0.1428203582763672,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 9]",-1.3799800872802734,"[1, 8, 8]",True,"[-8.849355697631836, -5.438364028930664, -11.621175765991211, -5.758745193481445, -10.85311508178711, -0.20189666748046875, -8.577779769897461, -12.013374328613281]",5,1 8 8],-0.20189666748046875,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 0]
[3 2 0]",-3.257192611694336,"[6, 9, 0]",True,"[-8.631147384643555, -9.333301544189453, -11.619586944580078, -6.784242630004883, -9.63969612121582, -1.293294906616211, -11.413883209228516, -10.116863250732422]",5,6 9 0],-1.293294906616211,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 1]
[6 6 3]",-2.5575599670410156,"[0, 0, 1]",True,"[-11.289876937866211, -1.2856159210205078, -2.91070556640625, -13.458955764770508, -13.735405921936035, -11.597576141357422, -9.009506225585938, -13.096321105957031]",1,0 0 1],-1.2856159210205078,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 7 3]
[9 7 3]",-7.459632873535156,"[5, 7, 3]",False,"[-7.097894668579102, -6.854074478149414, -8.295080184936523, -6.497671127319336, -5.760313034057617, -4.54865837097168, -6.469568252563477, -3.9640026092529297]",7,5 1 7],-3.9640026092529297,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 1 0]
[7 2 0]",-5.336860656738281,"[8, 1, 0]",False,"[-9.166080474853516, -7.526823043823242, -7.259006500244141, -3.246278762817383, -8.743576049804688, -6.795927047729492, -7.7651824951171875, -8.687942504882812]",3,8 7 0],-3.246278762817383,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 0 7]
[1 3 5]",-2.6659679412841797,"[5, 0, 7]",True,"[-13.58201789855957, -0.7012195587158203, -6.687883377075195, -4.027082443237305, -5.400959014892578, -8.4158935546875, -7.474281311035156, -14.220369338989258]",1,5 0 7],-0.7012195587158203,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 6]
[0 1 6]",-4.422346115112305,"[0, 1, 6]",True,"[-7.731391906738281, -5.928266525268555, -9.248235702514648, -7.319757461547852, -1.6177635192871094, -7.2508392333984375, -6.901691436767578, -7.527803421020508]",4,0 1 6],-1.6177635192871094,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"9 5 8]
[6 9 4]",-5.638151168823242,"[9, 5, 8]",False,"[-6.117530822753906, -7.434638977050781, -9.24976921081543, -4.518754959106445, -5.19764518737793, -7.7689056396484375, -6.337360382080078, -7.095699310302734]",3,5 4 8],-4.518754959106445,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 2 7]
[7 3 8]",-4.299797058105469,"[8, 2, 7]",False,"[-4.164276123046875, -7.321588516235352, -7.430644989013672, -5.553699493408203, -7.80000114440918, -6.45416259765625, -4.535400390625, -8.04226303100586]",0,8 1 2],-4.164276123046875,True,allenai/OLMo-7B,step151000-tokens668B,False
three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 5 3]
[6 6 4]",-2.2037429809570312,"[5, 5, 3]",False,"[-3.895803451538086, -7.065275192260742, -3.191987991333008, -6.460527420043945, -2.834287643432617, -4.734086990356445, -10.118509292602539, -6.428680419921875]",4,5 7 3],-2.834287643432617,True,allenai/OLMo-7B,step151000-tokens668B,False
c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 1]
[6 6] [6",-6.77379035949707,[1 6],False,"[-6.947656631469727, -5.66667366027832, -4.039037704467773, -8.717479705810547, -3.355134963989258, 0.0, -2.0988101959228516, -11.60977554321289]",5,],0.0,False,allenai/OLMo-7B,step151000-tokens668B,False
c1_set_union,0,c1_set_union_0,True,[4],"4]
[6 1] [6]",-4.881242752075195,[4],True,"[-4.84190559387207, -6.107782363891602, -2.401796340942383, -1.2322578430175781, -5.3027191162109375, -4.302175521850586, -5.457433700561523, -6.736507415771484]",3,4],-1.2322578430175781,True,allenai/OLMo-7B,step151000-tokens668B,False
c2_set_union,0,c2_set_union_0,True,[9],"6 9 4] [4 4]
[",-6.361970901489258,[4 6 9],False,"[-4.512416839599609, 0.0, -1.6672687530517578, -5.826507568359375, -5.100488662719727, -5.077436447143555, -3.4484004974365234, -4.848545074462891]",1,],0.0,False,allenai/OLMo-7B,step151000-tokens668B,False
AND,0,AND_0,True,[4],"4]
[1 4] [6 4",-3.998353958129883,[4],True,"[-9.73483657836914, -6.004447937011719, -15.165054321289062, -2.9767684936523438, -9.29220199584961, -0.9440631866455078, -3.4086685180664062, -7.114969253540039]",5,4],-0.9440631866455078,True,allenai/OLMo-7B,step151000-tokens668B,False
XOR,0,XOR_0,True,[4 3],"6 6]
[6 6] [6",-5.798944473266602,[6 6],False,"[-20.13930892944336, -9.598051071166992, -10.490467071533203, -10.239618301391602, -4.572357177734375, -2.584531784057617, -4.101291656494141, -13.023058891296387]",5,6 1],-2.584531784057617,False,allenai/OLMo-7B,step151000-tokens668B,False
c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"2 6]
[2 6] [2",-7.3813629150390625,[2 6],False,"[0.0, -10.498055458068848, -2.9256019592285156, -3.895895004272461, -4.139471054077148, -10.37277603149414, -13.19216537475586, -7.6749267578125]",0,],0.0,False,allenai/OLMo-7B,step151000-tokens668B,False
