problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct
row_constant,0,row_constant_0,False,[3],"3]
[5] [5] [",-1.592031478881836,[3],True,"[-6.576591491699219, -5.733209609985352, -4.882293701171875, -0.0877532958984375, -4.402681350708008, -4.767635345458984, -4.066411972045898, -5.01274299621582]",3,3],-0.0877532958984375,True,allenai/OLMo-7B,step391000-tokens1730B,False
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.5880451202392578,[6],True,"[-4.630483627319336, -5.196443557739258, -4.932531356811523, -4.601648330688477, -4.733438491821289, -3.3177223205566406, -0.14854049682617188, -3.7436180114746094]",6,6],-0.14854049682617188,True,allenai/OLMo-7B,step391000-tokens1730B,False
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.4409866333007812,[2],True,"[-0.749053955078125, -2.588592529296875, -2.6980819702148438, -2.882080078125, -4.418632507324219, -3.6933460235595703, -2.403076171875, -3.460834503173828]",0,2],-0.749053955078125,True,allenai/OLMo-7B,step391000-tokens1730B,False
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-1.8761959075927734,[9],True,"[-4.37384033203125, -4.668041229248047, -3.634946823120117, -4.629312515258789, -4.476009368896484, -0.18013954162597656, -3.8860549926757812, -4.242319107055664]",5,9],-0.18013954162597656,True,allenai/OLMo-7B,step391000-tokens1730B,False
prog_size1,0,prog_size1_0,False,[4],"0]
[3] [0] [",-1.6153602600097656,[0],False,"[-3.140644073486328, -6.374407768249512, -5.771066665649414, -5.553924560546875, -0.8577671051025391, -7.104515075683594, -6.325118064880371, -7.666077613830566]",4,4],-0.8577671051025391,True,allenai/OLMo-7B,step391000-tokens1730B,False
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-1.2184371948242188,[8],True,"[-2.1256675720214844, -2.2242584228515625, -3.8639488220214844, -3.317516326904297, -3.438566207885742, -3.8448925018310547, -0.6980628967285156, -3.782899856567383]",6,8],-0.6980628967285156,True,allenai/OLMo-7B,step391000-tokens1730B,False
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.47737693786621094,"[6, 9]",True,"[-9.110292434692383, -6.254920959472656, -7.271387100219727, -6.964845657348633, -9.540502548217773, -9.94450569152832, -0.11988639831542969, -8.349716186523438]",6,6 9],-0.11988639831542969,True,allenai/OLMo-7B,step391000-tokens1730B,False
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2] [6 6]
[1",-5.015169143676758,"[1, 2]",True,"[-0.6313343048095703, -8.984870910644531, -7.308616638183594, -6.056760787963867, -8.174396514892578, -8.591348648071289, -8.801275253295898, -8.46159553527832]",0,1 2],-0.6313343048095703,True,allenai/OLMo-7B,step391000-tokens1730B,False
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0] [0 0]
[1",-2.121356964111328,"[1, 0]",True,"[-7.782745361328125, -7.610626220703125, -10.384805679321289, -9.938674926757812, -8.739850997924805, -6.631319046020508, -13.055975914001465, -0.03782463073730469]",7,1 0],-0.03782463073730469,True,allenai/OLMo-7B,step391000-tokens1730B,False
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"1 2]
[1 3] [8",-4.730878829956055,"[1, 2]",False,"[-7.053428649902344, -5.601036071777344, -1.70379638671875, -3.654468536376953, -3.179841995239258, -7.883014678955078, -4.938421249389648, -5.107908248901367]",2,9 1],-1.70379638671875,True,allenai/OLMo-7B,step391000-tokens1730B,False
