problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[2] [2] [",-2.04669189453125,[3],True,"[-6.802952766418457, -6.025721549987793, -5.149868011474609, -0.08647727966308594, -4.110435485839844, -6.046421051025391, -3.681417465209961, -5.268840789794922]",3,3],-0.08647727966308594,True,EleutherAI/pythia-6.9b-deduped,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.35778045654296875,[6],True,"[-6.381109237670898, -6.188488006591797, -6.522614479064941, -5.428606033325195, -5.830472946166992, -4.77906608581543, -0.04406547546386719, -4.387117385864258]",6,6],-0.04406547546386719,True,EleutherAI/pythia-6.9b-deduped,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.3774471282958984,[2],True,"[-0.9051380157470703, -2.6389007568359375, -2.864459991455078, -3.8872909545898438, -3.522005081176758, -3.1081790924072266, -3.950502395629883, -3.0566959381103516]",0,2],-0.9051380157470703,True,EleutherAI/pythia-6.9b-deduped,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-1.7380294799804688,[9],True,"[-5.55311393737793, -5.466033935546875, -5.270664215087891, -4.324516296386719, -3.893016815185547, -0.11306571960449219, -4.901365280151367, -4.536249160766602]",5,9],-0.11306571960449219,True,EleutherAI/pythia-6.9b-deduped,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.7488269805908203,[4],True,"[-3.227771759033203, -5.640995025634766, -5.976423263549805, -2.8549766540527344, -0.18956756591796875, -7.996404647827148, -6.624767303466797, -9.368538856506348]",4,4],-0.18956756591796875,True,EleutherAI/pythia-6.9b-deduped,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.7543296813964844,[8],True,"[-4.425739288330078, -4.213872909545898, -6.323724746704102, -4.036182403564453, -6.059757232666016, -4.3247222900390625, -0.1470470428466797, -3.0937881469726562]",6,8],-0.1470470428466797,True,EleutherAI/pythia-6.9b-deduped,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.4652385711669922,"[6, 9]",True,"[-8.859100341796875, -5.803562164306641, -7.812685012817383, -7.690742492675781, -10.431377410888672, -8.616300582885742, -0.04752540588378906, -10.463970184326172]",6,6 9],-0.04752540588378906,True,EleutherAI/pythia-6.9b-deduped,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[6 6] [1",-3.3840866088867188,"[1, 2]",True,"[-0.5034885406494141, -9.766281127929688, -6.914087295532227, -5.881940841674805, -7.992881774902344, -8.421907424926758, -9.81805419921875, -9.300888061523438]",0,1 2],-0.5034885406494141,True,EleutherAI/pythia-6.9b-deduped,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 1] [1",-3.010265350341797,"[1, 0]",True,"[-9.45809555053711, -8.489075660705566, -9.799152374267578, -12.076786994934082, -5.8175506591796875, -6.734932899475098, -12.4572114944458, -0.06877899169921875]",7,1 0],-0.06877899169921875,True,EleutherAI/pythia-6.9b-deduped,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[8 2] [9",-4.354833602905273,"[9, 1]",True,"[-8.584716796875, -7.174833297729492, -1.4442100524902344, -3.788106918334961, -3.2024917602539062, -8.544219970703125, -5.736379623413086, -6.802482604980469]",2,9 1],-1.4442100524902344,True,EleutherAI/pythia-6.9b-deduped,
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"6 6]
[6 6] [3",-4.025613784790039,"[6, 6]",False,"[-3.6637744903564453, -5.763036727905273, -8.28226089477539, -6.481950759887695, -2.0812149047851562, -8.377450942993164, -7.244722366333008, -6.792051315307617]",4,1 6],-2.0812149047851562,True,EleutherAI/pythia-6.9b-deduped,
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1] [2",-0.8294486999511719,"[2, 0]",True,"[-0.10400199890136719, -10.692964553833008, -12.790996551513672, -9.153512001037598, -10.944547653198242, -10.65734577178955, -13.737995147705078, -5.752412796020508]",0,2 0],-0.10400199890136719,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 9]",-3.008892059326172,"[1, 8, 8]",True,"[-10.111270904541016, -6.601868629455566, -12.673078536987305, -5.406593322753906, -11.525772094726562, -0.09803581237792969, -10.372062683105469, -11.212333679199219]",5,1 8 8],-0.09803581237792969,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 0]
[3 2 9]",-2.4202003479003906,"[6, 9, 0]",True,"[-10.329559326171875, -11.231786727905273, -9.460441589355469, -8.473628997802734, -11.419633865356445, -0.6810684204101562, -11.997774124145508, -11.60987663269043]",5,6 9 0],-0.6810684204101562,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 1]
[6 6 3]",-0.9232177734375,"[0, 0, 1]",True,"[-11.15969181060791, -0.09502601623535156, -7.396421432495117, -12.151963233947754, -14.139355659484863, -10.435575485229492, -9.824689865112305, -13.911603927612305]",1,0 0 1],-0.09502601623535156,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 1 7]
[9 1 4]",-5.223590850830078,"[5, 1, 7]",True,"[-8.281005859375, -8.902799606323242, -9.282630920410156, -7.790693283081055, -3.9904842376708984, -7.4501953125, -6.091606140136719, -2.197805404663086]",7,5 1 7],-2.197805404663086,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 8 0]
[7 2 0]",-4.846303939819336,"[8, 8, 0]",False,"[-8.101259231567383, -10.071359634399414, -8.080768585205078, -4.843471527099609, -8.771268844604492, -9.072988510131836, -9.069892883300781, -8.028945922851562]",3,8 7 0],-4.843471527099609,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 1 7]
[1 1 6]",-3.5824127197265625,"[5, 1, 7]",False,"[-15.737646102905273, -1.6743202209472656, -7.131341934204102, -2.5287818908691406, -11.712015151977539, -10.822425842285156, -8.947893142700195, -15.190701484680176]",1,5 0 7],-1.6743202209472656,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 6]
[3 9 8]",-2.5593128204345703,"[0, 1, 6]",True,"[-7.776214599609375, -7.0379180908203125, -11.062494277954102, -7.674449920654297, -0.7121391296386719, -6.173181533813477, -8.326837539672852, -7.5060272216796875]",4,0 1 6],-0.7121391296386719,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"5 4 2]
[8 3 6]",-3.8849973678588867,"[5, 4, 2]",False,"[-8.73685073852539, -7.396183013916016, -8.172168731689453, -3.2820377349853516, -6.618284225463867, -6.21173095703125, -7.529197692871094, -6.289155960083008]",3,5 4 8],-3.2820377349853516,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 4 7]
[7 3 7]",-5.816074371337891,"[8, 4, 7]",False,"[-4.559406280517578, -7.39335823059082, -7.256145477294922, -5.761249542236328, -6.897176742553711, -7.711885452270508, -5.403099060058594, -7.508903503417969]",0,8 1 2],-4.559406280517578,True,EleutherAI/pythia-6.9b-deduped,
three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 7 4]
[6 6 4]",-2.132719039916992,"[5, 7, 4]",False,"[-4.619230270385742, -6.651865005493164, -1.9338321685791016, -5.175266265869141, -2.244762420654297, -8.979818344116211, -8.782205581665039, -5.657754898071289]",2,5 7 4],-1.9338321685791016,False,EleutherAI/pythia-6.9b-deduped,
c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 1]
[4 9] [6",-6.003728866577148,[1 6],False,"[-3.8742408752441406, -4.121583938598633, -3.5562057495117188, -6.338563919067383, -4.737911224365234, 0.0, -2.5123634338378906, -5.58294677734375]",5,],0.0,False,EleutherAI/pythia-6.9b-deduped,
c1_set_union,0,c1_set_union_0,True,[4],"4]
[6 5] [6]",-3.2711353302001953,[4],True,"[-10.64699935913086, -8.733016967773438, -4.116077423095703, -0.06286811828613281, -7.063039779663086, -9.903749465942383, -11.250310897827148, -12.166105270385742]",3,4],-0.06286811828613281,True,EleutherAI/pythia-6.9b-deduped,
c2_set_union,0,c2_set_union_0,True,[9],"9]
[6] [6 9 4",-4.181983947753906,[9],True,"[-3.4981555938720703, 0.0, -0.9117412567138672, -4.439218521118164, -5.529787063598633, -5.856170654296875, -2.518831253051758, -7.077264785766602]",1,],0.0,False,EleutherAI/pythia-6.9b-deduped,
AND,0,AND_0,True,[4],"4]
[1 4] [6 4",-1.8310527801513672,[4],True,"[-13.13077163696289, -11.14021110534668, -17.507553100585938, -8.628684997558594, -12.647787094116211, -0.030038833618164062, -7.028861999511719, -12.452101707458496]",5,4],-0.030038833618164062,True,EleutherAI/pythia-6.9b-deduped,
XOR,0,XOR_0,True,[4 3],"1 1]
[1 1] [1",-5.362321853637695,[1 1],False,"[-19.835311889648438, -8.987859725952148, -8.400725364685059, -9.447413444519043, -3.31365966796875, -3.1687183380126953, -4.549526214599609, -15.477225303649902]",5,6 1],-3.1687183380126953,False,EleutherAI/pythia-6.9b-deduped,
c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"3]
[2] [2] [",-7.917118072509766,[3],False,"[0.0, -9.806419372558594, -4.466436386108398, -2.7381439208984375, -4.405948638916016, -11.387029647827148, -12.407909393310547, -9.16203498840332]",0,],0.0,False,EleutherAI/pythia-6.9b-deduped,
c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],"6 1] [1 5]
[1",-5.824651718139648,[1 6],False,"[-3.462301254272461, -1.6232872009277344, -1.853292465209961, -9.025289535522461, -6.381601333618164, -6.50084114074707, -6.112201690673828, -10.419290542602539]",1,6],-1.6232872009277344,False,EleutherAI/pythia-6.9b-deduped,
c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"0]
[9 0] [9]",-4.792850494384766,[0],True,"[-5.552860260009766, -3.707456588745117, -3.805601119995117, -0.6578121185302734, -4.571620941162109, -2.819997787475586, -8.586259841918945, 0.0]",7,],0.0,False,EleutherAI/pythia-6.9b-deduped,
XOR_permuted,0,XOR_permuted_0,True,[4 0],"4 6]
[6 4] [4",-2.526012420654297,[4 6],False,"[-19.100257873535156, -2.774982452392578, -10.835905075073242, -20.28294563293457, -1.7462844848632812, -3.9354724884033203, 0.0, -16.585615158081055]",6,],0.0,False,EleutherAI/pythia-6.9b-deduped,
AND_permuted,0,AND_permuted_0,True,[],"3] [9]
[2] [",-3.8705711364746094,[3],False,"[-6.733001708984375, -5.382518768310547, -18.225200653076172, -15.067140579223633, 0.0, -11.0122652053833, -0.8982143402099609, -5.728948593139648]",4,],0.0,True,EleutherAI/pythia-6.9b-deduped,
row_constant,1,row_constant_1,False,[4],"4]
[1] [1] [",-2.1924381256103516,[4],True,"[-4.841421127319336, -4.44078254699707, -5.809233665466309, -4.316446304321289, -5.557579040527344, -0.12610626220703125, -4.091712951660156, -3.2645931243896484]",5,4],-0.12610626220703125,True,EleutherAI/pythia-6.9b-deduped,
col_constant,1,col_constant_1,False,[9],"9]
[6] [0] [",-0.42120361328125,[9],True,"[-0.09298133850097656, -5.707738876342773, -4.713443756103516, -5.628636360168457, -4.424427032470703, -5.47036075592041, -4.962034225463867, -5.613008499145508]",0,9],-0.09298133850097656,True,EleutherAI/pythia-6.9b-deduped,
