problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[5] [5] [",-0.7339744567871094,[3],True,"[-8.306139945983887, -7.601570129394531, -6.66839599609375, -0.028194427490234375, -5.752412796020508, -7.0049896240234375, -4.230508804321289, -6.476926803588867]",3,3],-0.028194427490234375,True,EleutherAI/pythia-2.8b-deduped,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.36365509033203125,[6],True,"[-5.609302520751953, -6.31328010559082, -6.0828399658203125, -6.3118896484375, -5.949287414550781, -5.066017150878906, -0.03865814208984375, -4.487646102905273]",6,6],-0.03865814208984375,True,EleutherAI/pythia-2.8b-deduped,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.6071090698242188,[2],True,"[-0.6964378356933594, -2.9930553436279297, -3.0883350372314453, -3.379709243774414, -1.9076042175292969, -3.809419631958008, -4.050596237182617, -2.792797088623047]",0,2],-0.6964378356933594,True,EleutherAI/pythia-2.8b-deduped,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-2.3416519165039062,[9],True,"[-5.061534881591797, -5.117918014526367, -4.805334091186523, -3.382719039916992, -2.172496795654297, -0.2612133026123047, -4.657604217529297, -4.355030059814453]",5,9],-0.2612133026123047,True,EleutherAI/pythia-2.8b-deduped,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.7761917114257812,[4],True,"[-3.5452747344970703, -4.187734603881836, -5.029729843139648, -2.7256908416748047, -0.2319164276123047, -7.514594078063965, -6.797262191772461, -9.285122871398926]",4,4],-0.2319164276123047,True,EleutherAI/pythia-2.8b-deduped,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.7226619720458984,[8],True,"[-3.4290037155151367, -3.2090892791748047, -5.129110336303711, -4.012591361999512, -4.16550350189209, -3.707127571105957, -0.33609962463378906, -2.628328323364258]",6,8],-0.33609962463378906,True,EleutherAI/pythia-2.8b-deduped,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.30794525146484375,"[6, 9]",True,"[-10.535256385803223, -6.169334411621094, -9.0618257522583, -7.715402603149414, -10.27999496459961, -11.645609855651855, -0.06085014343261719, -9.82802677154541]",6,6 9],-0.06085014343261719,True,EleutherAI/pythia-2.8b-deduped,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[1 1] [5",-4.476772308349609,"[1, 2]",True,"[-0.7523193359375, -8.515116691589355, -7.005510330200195, -5.028480529785156, -7.465265274047852, -7.706966400146484, -8.007411003112793, -8.503361701965332]",0,1 2],-0.7523193359375,True,EleutherAI/pythia-2.8b-deduped,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 1] [1",-3.175037384033203,"[1, 0]",True,"[-6.371852874755859, -3.794076919555664, -8.112659454345703, -8.205635070800781, -3.579477310180664, -6.373941421508789, -10.100688934326172, -0.2376537322998047]",7,1 0],-0.2376537322998047,True,EleutherAI/pythia-2.8b-deduped,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 2]
[8 2] [9",-3.5468502044677734,"[9, 2]",False,"[-6.680316925048828, -8.810588836669922, -1.5063495635986328, -4.744781494140625, -4.944461822509766, -9.289705276489258, -7.142736434936523, -7.976924896240234]",2,9 1],-1.5063495635986328,True,EleutherAI/pythia-2.8b-deduped,
