problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[5] [5] [",-2.792935371398926,[3],True,"[-6.063627243041992, -5.603376388549805, -5.870901107788086, -0.15549468994140625, -4.257299423217773, -5.250825881958008, -4.202573776245117, -4.724742889404297]",3,3],-0.15549468994140625,True,meta-llama/Llama-2-70b-hf,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-2.4367923736572266,[6],True,"[-4.130327224731445, -4.3451385498046875, -4.278154373168945, -3.446043014526367, -4.311662673950195, -3.9197769165039062, -0.3467140197753906, -3.147907257080078]",6,6],-0.3467140197753906,True,meta-llama/Llama-2-70b-hf,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[2] [6] [",-4.050680160522461,[2],True,"[-0.281829833984375, -3.205167770385742, -3.174131393432617, -3.859010696411133, -4.857891082763672, -5.591335296630859, -5.723421096801758, -5.248828887939453]",0,2],-0.281829833984375,True,meta-llama/Llama-2-70b-hf,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [1] [",-3.073974609375,[9],True,"[-5.840415954589844, -6.540393829345703, -6.3861541748046875, -6.234096527099609, -5.326135635375977, -0.045505523681640625, -6.58306884765625, -6.590766906738281]",5,9],-0.045505523681640625,True,meta-llama/Llama-2-70b-hf,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.5955324172973633,[4],True,"[-4.282186508178711, -7.018840789794922, -6.137250900268555, -6.588001251220703, -0.06094551086425781, -8.00469970703125, -7.564329147338867, -8.659528732299805]",4,4],-0.06094551086425781,True,meta-llama/Llama-2-70b-hf,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-1.147200584411621,[8],True,"[-4.07542610168457, -4.056877136230469, -5.974985122680664, -5.6444854736328125, -5.246576309204102, -6.406831741333008, -0.13009071350097656, -5.599885940551758]",6,8],-0.13009071350097656,True,meta-llama/Llama-2-70b-hf,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6]",-2.2214460372924805,"[6, 9]",True,"[-7.263988494873047, -4.76603889465332, -6.328264236450195, -5.052915573120117, -7.050228118896484, -8.038690567016602, -0.7186775207519531, -6.836757659912109]",6,6 9],-0.7186775207519531,True,meta-llama/Llama-2-70b-hf,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[6 6]",-2.986591339111328,"[1, 2]",True,"[-0.6833877563476562, -8.175251007080078, -6.632390975952148, -5.566196441650391, -8.634124755859375, -7.875797271728516, -7.962926864624023, -8.584701538085938]",0,1 2],-0.6833877563476562,True,meta-llama/Llama-2-70b-hf,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
\end{code}",-2.493448257446289,"[1, 0]",True,"[-6.27018928527832, -5.060768127441406, -8.556207656860352, -8.528106689453125, -5.760707855224609, -6.058248519897461, -10.025644302368164, -0.19462203979492188]",7,1 0],-0.19462203979492188,True,meta-llama/Llama-2-70b-hf,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[4 0]",-5.485803604125977,"[9, 1]",True,"[-9.73021125793457, -9.319314956665039, -0.5688858032226562, -6.271114349365234, -5.7396697998046875, -8.90821647644043, -8.583503723144531, -9.318260192871094]",2,9 1],-0.5688858032226562,True,meta-llama/Llama-2-70b-hf,
