problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct
row_constant,0,row_constant_0,False,[3],"3]
[5] [5] [",-1.8487091064453125,[3],True,"[-7.582134246826172, -6.64310359954834, -6.359766006469727, -0.028850555419921875, -5.539054870605469, -5.873815536499023, -5.205135345458984, -6.300426483154297]",3,3],-0.028850555419921875,True,allenai/OLMo-7B,step541000-tokens2393B,False
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.3808631896972656,[6],True,"[-6.0219268798828125, -6.323863983154297, -6.2017364501953125, -5.993156433105469, -5.81804084777832, -4.685798645019531, -0.038311004638671875, -5.081027984619141]",6,6],-0.038311004638671875,True,allenai/OLMo-7B,step541000-tokens2393B,False
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-1.509429931640625,[2],True,"[-0.3526935577392578, -2.8800315856933594, -3.276470184326172, -3.436513900756836, -4.799213409423828, -4.020893096923828, -4.097118377685547, -4.064374923706055]",0,2],-0.3526935577392578,True,allenai/OLMo-7B,step541000-tokens2393B,False
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-2.011831283569336,[9],True,"[-4.609859466552734, -5.237367630004883, -4.6026153564453125, -4.09642219543457, -3.841085433959961, -0.11421394348144531, -4.950328826904297, -4.80506706237793]",5,9],-0.11421394348144531,True,allenai/OLMo-7B,step541000-tokens2393B,False
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.8970508575439453,[4],True,"[-2.9803619384765625, -5.836921691894531, -4.919703483581543, -5.062839508056641, -0.49152374267578125, -6.521157264709473, -6.027008056640625, -6.975583076477051]",4,4],-0.49152374267578125,True,allenai/OLMo-7B,step541000-tokens2393B,False
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-1.2002582550048828,[8],True,"[-1.8450603485107422, -2.253448486328125, -4.298449516296387, -3.4760494232177734, -4.456672668457031, -4.312387466430664, -0.6102371215820312, -4.189968109130859]",6,8],-0.6102371215820312,True,allenai/OLMo-7B,step541000-tokens2393B,False
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.5840835571289062,"[6, 9]",True,"[-8.816932678222656, -5.376060485839844, -7.30616569519043, -6.14630126953125, -11.118852615356445, -10.23646354675293, -0.16051864624023438, -9.328912734985352]",6,6 9],-0.16051864624023438,True,allenai/OLMo-7B,step541000-tokens2393B,False
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],1 2] [5 2] [6 2,-2.856790542602539,"[1, 2]",True,"[-0.7433853149414062, -8.86080551147461, -7.794637680053711, -6.711765289306641, -8.842411041259766, -8.315231323242188, -8.325384140014648, -8.425161361694336]",0,1 2],-0.7433853149414062,True,allenai/OLMo-7B,step541000-tokens2393B,False
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 8] [1",-3.163541793823242,"[1, 0]",True,"[-7.873649597167969, -6.634807586669922, -8.504180908203125, -8.2777099609375, -6.8264312744140625, -6.976894378662109, -12.469550132751465, -0.047977447509765625]",7,1 0],-0.047977447509765625,True,allenai/OLMo-7B,step541000-tokens2393B,False
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[9 1] [0",-4.112222671508789,"[9, 1]",True,"[-6.682682037353516, -6.503688812255859, -1.3857975006103516, -4.230260848999023, -3.7607765197753906, -8.01760482788086, -5.131364822387695, -5.762134552001953]",2,9 1],-1.3857975006103516,True,allenai/OLMo-7B,step541000-tokens2393B,False
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"9 6]
[3 6] [9",-5.405065536499023,"[9, 6]",False,"[-3.7512149810791016, -4.293355941772461, -7.084774017333984, -4.679559707641602, -3.8279781341552734, -6.030878067016602, -3.94561767578125, -5.209123611450195]",0,6 9],-3.7512149810791016,False,allenai/OLMo-7B,step541000-tokens2393B,False
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1] [2",-0.27564430236816406,"[2, 0]",True,"[-0.10892105102539062, -8.980956077575684, -10.359298706054688, -9.479711532592773, -10.696276664733887, -8.074926376342773, -12.85302448272705, -7.633362770080566]",0,2 0],-0.10892105102539062,True,allenai/OLMo-7B,step541000-tokens2393B,False
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 5 1]",-1.916280746459961,"[1, 8, 8]",True,"[-9.481206893920898, -4.914066314697266, -12.708734512329102, -8.99351692199707, -11.432981491088867, -0.09510612487792969, -8.382816314697266, -12.231904983520508]",5,1 8 8],-0.09510612487792969,True,allenai/OLMo-7B,step541000-tokens2393B,False
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 0]
[3 2 4]",-2.7526016235351562,"[6, 9, 0]",True,"[-11.017646789550781, -11.522350311279297, -9.353713989257812, -8.907064437866211, -11.710222244262695, -0.6560897827148438, -11.236042022705078, -11.097476959228516]",5,6 9 0],-0.6560897827148438,True,allenai/OLMo-7B,step541000-tokens2393B,False
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 1]
[6 6 4]",-3.374164581298828,"[0, 0, 1]",True,"[-11.46316146850586, -0.6850681304931641, -4.374431610107422, -12.064416885375977, -13.575782775878906, -10.778043746948242, -9.507633209228516, -11.421276092529297]",1,0 0 1],-0.6850681304931641,True,allenai/OLMo-7B,step541000-tokens2393B,False
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 1 7]
[9 7 4]",-4.873296737670898,"[5, 1, 7]",True,"[-9.772819519042969, -8.308303833007812, -8.913812637329102, -7.229154586791992, -4.353353500366211, -4.408027648925781, -7.459014892578125, -1.9735908508300781]",7,5 1 7],-1.9735908508300781,True,allenai/OLMo-7B,step541000-tokens2393B,False
