problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[2] [2] [",-1.6005768775939941,[3],True,"[-7.272272109985352, -6.264068603515625, -5.3961639404296875, -0.0608062744140625, -4.2924652099609375, -5.527976989746094, -4.455188751220703, -5.254974365234375]",3,3],-0.0608062744140625,True,google/gemma-7b,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.5540571212768555,[6],True,"[-4.8055267333984375, -5.11700439453125, -5.174896240234375, -4.42584228515625, -5.3124542236328125, -4.3680572509765625, -0.09007930755615234, -3.9849395751953125]",6,6],-0.09007930755615234,True,google/gemma-7b,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-1.379302978515625,[2],True,"[-0.249114990234375, -3.6529579162597656, -3.5738449096679688, -4.1126556396484375, -5.167570114135742, -4.084178924560547, -4.929782867431641, -3.808281898498535]",0,2],-0.249114990234375,True,google/gemma-7b,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [1] [",-2.083667755126953,[9],True,"[-5.2053985595703125, -5.6280670166015625, -4.98956298828125, -5.14654541015625, -5.786857604980469, -0.03945159912109375, -6.1311492919921875, -6.013671875]",5,9],-0.03945159912109375,True,google/gemma-7b,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.39951133728027344,[4],True,"[-3.3802757263183594, -6.019397735595703, -4.8568115234375, -5.630588531494141, -0.07597732543945312, -6.897514343261719, -6.5823516845703125, -7.565330505371094]",4,4],-0.07597732543945312,True,google/gemma-7b,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-1.0332164764404297,[8],True,"[-4.772679328918457, -4.281929016113281, -5.454578399658203, -5.19835090637207, -5.472568511962891, -6.068777084350586, -0.07037925720214844, -5.463911056518555]",6,8],-0.07037925720214844,True,google/gemma-7b,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6]",-0.8357734680175781,"[6, 9]",True,"[-10.209712982177734, -7.217315673828125, -9.818077087402344, -6.980991363525391, -10.459067344665527, -10.474395751953125, -0.02100372314453125, -10.680596351623535]",6,6 9],-0.02100372314453125,True,google/gemma-7b,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[1 0]",-2.559816360473633,"[1, 2]",True,"[-0.0428619384765625, -11.983779907226562, -11.58966064453125, -8.221092224121094, -13.011962890625, -11.30057144165039, -11.644268035888672, -12.370895385742188]",0,1 2],-0.0428619384765625,True,google/gemma-7b,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 1]",-3.5704803466796875,"[1, 0]",True,"[-7.746730804443359, -4.898956298828125, -9.001226425170898, -11.447654724121094, -4.029289245605469, -8.223892211914062, -13.679803848266602, -0.07933807373046875]",7,1 0],-0.07933807373046875,True,google/gemma-7b,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[9 1]",-2.4146499633789062,"[9, 1]",True,"[-10.646644592285156, -11.314017295837402, -0.024078369140625, -10.150146484375, -9.75408935546875, -12.937860488891602, -10.509355545043945, -10.98177719116211]",2,9 1],-0.024078369140625,True,google/gemma-7b,
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"6 7]
[3 7]",-3.4056243896484375,"[6, 7]",False,"[-5.323692321777344, -7.877937316894531, -7.835426330566406, -6.605133056640625, -3.736541748046875, -9.512832641601562, -7.209190368652344, -6.867084503173828]",4,1 6],-3.736541748046875,True,google/gemma-7b,
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1]",-1.3467178344726562,"[2, 0]",True,"[-0.278533935546875, -7.658855438232422, -8.331611633300781, -8.345420837402344, -9.031730651855469, -4.321113586425781, -9.450614929199219, -6.906581878662109]",0,2 0],-0.278533935546875,True,google/gemma-7b,
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 ",-0.6441030502319336,"[1, 8, 8]",True,"[-11.878225326538086, -7.083759307861328, -14.50811767578125, -7.539614677429199, -14.019248962402344, -0.01683330535888672, -9.840103149414062, -11.677642822265625]",5,1 8 8],-0.01683330535888672,True,google/gemma-7b,
