problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[2] [2] [",-1.99859619140625,[3],True,"[-6.484251976013184, -5.593496322631836, -5.740570068359375, -0.06899642944335938, -4.970968246459961, -5.6426286697387695, -4.247407913208008, -5.92803955078125]",3,3],-0.06899642944335938,True,allenai/OLMo-1B,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.31337738037109375,[6],True,"[-5.024890899658203, -6.031518936157227, -5.626178741455078, -5.763816833496094, -6.036750793457031, -3.895875930786133, -0.06568717956542969, -4.364265441894531]",6,6],-0.06568717956542969,True,allenai/OLMo-1B,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.8058128356933594,[2],True,"[-0.8115921020507812, -2.9498672485351562, -2.7357864379882812, -2.615753173828125, -2.2904605865478516, -4.004743576049805, -4.838981628417969, -3.4451942443847656]",0,2],-0.8115921020507812,True,allenai/OLMo-1B,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-2.3680648803710938,[9],True,"[-3.724489212036133, -3.5161666870117188, -4.705354690551758, -2.996767044067383, -3.0196456909179688, -0.32499122619628906, -4.109493255615234, -3.8777599334716797]",5,9],-0.32499122619628906,True,allenai/OLMo-1B,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-1.6269168853759766,[4],True,"[-2.5506858825683594, -5.367155075073242, -4.745525360107422, -4.777862548828125, -0.1792316436767578, -6.964128494262695, -6.009369850158691, -8.02562427520752]",4,4],-0.1792316436767578,True,allenai/OLMo-1B,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-1.7207679748535156,[8],True,"[-2.1982574462890625, -3.690990447998047, -5.143153190612793, -3.848287582397461, -2.934671401977539, -3.704061508178711, -0.53387451171875, -3.8603134155273438]",6,8],-0.53387451171875,True,allenai/OLMo-1B,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.2809009552001953,"[6, 9]",True,"[-9.149803161621094, -5.88585090637207, -7.241115570068359, -8.771258354187012, -9.292215347290039, -10.207860946655273, -0.05379676818847656, -8.905210494995117]",6,6 9],-0.05379676818847656,True,allenai/OLMo-1B,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"7 2]
[7 2] [6",-5.08251953125,"[7, 2]",False,"[-2.0679378509521484, -7.5632476806640625, -4.539592742919922, -6.236307144165039, -5.913196563720703, -7.906858444213867, -8.538265228271484, -7.389095306396484]",0,1 2],-2.0679378509521484,True,allenai/OLMo-1B,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 0] [1",-2.942211151123047,"[1, 0]",True,"[-7.657083511352539, -7.081377029418945, -7.740015029907227, -10.551719665527344, -5.396755218505859, -7.399709701538086, -12.35802173614502, -0.08515357971191406]",7,1 0],-0.08515357971191406,True,allenai/OLMo-1B,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[9 3] [8",-5.335847854614258,"[9, 1]",True,"[-6.437507629394531, -6.081903457641602, -1.951650619506836, -4.024267196655273, -3.570098876953125, -6.551919937133789, -5.579769134521484, -6.0090484619140625]",2,9 1],-1.951650619506836,True,allenai/OLMo-1B,
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"2 6]
[2 6] [1",-5.193626403808594,"[2, 6]",False,"[-4.193338394165039, -5.315710067749023, -4.538747787475586, -4.391563415527344, -3.4134349822998047, -5.242183685302734, -4.821592330932617, -4.622711181640625]",4,1 6],-3.4134349822998047,True,allenai/OLMo-1B,
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[2 0] [1",-0.9953212738037109,"[2, 0]",True,"[-0.44283485412597656, -9.639955520629883, -11.756173133850098, -8.707237243652344, -11.620256423950195, -10.145462989807129, -10.184842109680176, -6.064658164978027]",0,2 0],-0.44283485412597656,True,allenai/OLMo-1B,
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 9]",-1.550649642944336,"[1, 8, 8]",True,"[-8.360530853271484, -5.546719551086426, -9.67625617980957, -5.649833679199219, -11.676515579223633, -0.27555084228515625, -8.79080581665039, -11.846833229064941]",5,1 8 8],-0.27555084228515625,True,allenai/OLMo-1B,
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 0]
[3 2 3]",-4.131626129150391,"[6, 9, 0]",True,"[-7.441719055175781, -8.44558334350586, -7.686252593994141, -6.252168655395508, -8.729875564575195, -2.0896053314208984, -10.218582153320312, -8.269449234008789]",5,6 9 0],-2.0896053314208984,True,allenai/OLMo-1B,
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 2]
[6 6 4]",-3.29302978515625,"[0, 0, 2]",False,"[-10.604822158813477, -1.9549598693847656, -2.7141475677490234, -13.083953857421875, -12.713174819946289, -11.399978637695312, -8.619367599487305, -12.234554290771484]",1,0 0 1],-1.9549598693847656,True,allenai/OLMo-1B,
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 7 1]
[9 7 8]",-6.631616592407227,"[5, 7, 1]",False,"[-7.230201721191406, -7.009511947631836, -7.809591293334961, -6.377178192138672, -5.628700256347656, -4.269451141357422, -6.543331146240234, -3.378145217895508]",7,5 1 7],-3.378145217895508,True,allenai/OLMo-1B,
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 8 1]
[8 2 0]",-5.224025726318359,"[8, 8, 1]",False,"[-9.527505874633789, -6.975927352905273, -5.889656066894531, -3.714313507080078, -8.488670349121094, -5.961954116821289, -6.739871978759766, -6.892633438110352]",3,8 7 0],-3.714313507080078,True,allenai/OLMo-1B,
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 2 3]
[1 3 4]",-5.070682525634766,"[5, 2, 3]",False,"[-12.288633346557617, -2.9760780334472656, -4.335596084594727, -5.436220169067383, -8.867719650268555, -5.980533599853516, -5.477090835571289, -12.62252426147461]",1,5 0 7],-2.9760780334472656,True,allenai/OLMo-1B,
