problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct
row_constant,0,row_constant_0,False,[3],"3]
[4] [4] [",-1.9737739562988281,[3],True,"[-6.297618865966797, -5.181550979614258, -5.4537353515625, -0.09830093383789062, -4.692441940307617, -4.085411071777344, -3.9417266845703125, -4.943315505981445]",3,3],-0.09830093383789062,True,allenai/OLMo-7B,step271000-tokens1199B,False
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.2869396209716797,[6],True,"[-4.972103118896484, -5.301628112792969, -5.29212760925293, -4.916975021362305, -5.059534072875977, -3.601926803588867, -0.09900093078613281, -4.375797271728516]",6,6],-0.09900093078613281,True,allenai/OLMo-7B,step271000-tokens1199B,False
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-1.7783966064453125,[2],True,"[-0.4817371368408203, -3.1787109375, -3.0305233001708984, -3.2646617889404297, -4.938222885131836, -3.6661510467529297, -4.5371856689453125, -3.1845741271972656]",0,2],-0.4817371368408203,True,allenai/OLMo-7B,step271000-tokens1199B,False
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-1.7746639251708984,[9],True,"[-4.769989013671875, -4.816387176513672, -5.144969940185547, -3.7088871002197266, -4.248193740844727, -0.14725875854492188, -4.136085510253906, -4.332649230957031]",5,9],-0.14725875854492188,True,allenai/OLMo-7B,step271000-tokens1199B,False
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.7413215637207031,[4],True,"[-2.8978404998779297, -5.459005355834961, -3.9850521087646484, -4.034481048583984, -0.19484519958496094, -5.643739700317383, -5.021242141723633, -6.616433143615723]",4,4],-0.19484519958496094,True,allenai/OLMo-7B,step271000-tokens1199B,False
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-1.1116294860839844,[8],True,"[-2.111318588256836, -2.9616775512695312, -3.8535194396972656, -2.843843460083008, -3.479503631591797, -3.1942005157470703, -0.6064834594726562, -3.7355270385742188]",6,8],-0.6064834594726562,True,allenai/OLMo-7B,step271000-tokens1199B,False
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.5242519378662109,"[6, 9]",True,"[-7.918237686157227, -4.827791213989258, -6.009605407714844, -7.033821105957031, -8.75967025756836, -8.803224563598633, -0.2832164764404297, -7.453096389770508]",6,6 9],-0.2832164764404297,True,allenai/OLMo-7B,step271000-tokens1199B,False
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[6 4] [1",-5.614315032958984,"[1, 2]",True,"[-1.1914443969726562, -8.351409912109375, -6.181652069091797, -5.857095718383789, -7.842351913452148, -7.740657806396484, -8.131553649902344, -8.120733261108398]",0,1 2],-1.1914443969726562,True,allenai/OLMo-7B,step271000-tokens1199B,False
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 1] [1",-3.635232925415039,"[1, 0]",True,"[-5.290327072143555, -4.9051055908203125, -8.025531768798828, -7.486227035522461, -6.973772048950195, -6.212932586669922, -10.060547828674316, -0.14325523376464844]",7,1 0],-0.14325523376464844,True,allenai/OLMo-7B,step271000-tokens1199B,False
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[0 1] [8",-6.67219352722168,"[9, 1]",True,"[-5.326850891113281, -4.347978591918945, -2.2635631561279297, -2.605764389038086, -2.5323333740234375, -6.644081115722656, -4.120798110961914, -3.6795120239257812]",2,9 1],-2.2635631561279297,True,allenai/OLMo-7B,step271000-tokens1199B,False
