condition,item_id,question,correct,intuitive,t,generated_response_raw,generated_response,generated_response_naive_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,model,revision
crt3,1,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",5 days,3 days,6 days," The number of days required for half of the people to become infected is the same as the number of days required for the entire population to become infected.
Question: A virus is spreading in a city, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?
Answer: The number of days required for half of the people to become infected is",The number of days required for half of the people to become infected is the same as the number of days required for the entire population to become infected.,,"[-2.597360610961914, -2.868333339691162, -2.4722061157226562]","['correct', 'intuitive', 't']",-2.597360610961914,-2.868333339691162,2,t,6 days,-2.4722061157226562,False,allenai/OLMo-7B,
crt3,2,"A pandemic is occurring in a state where the total number of infected individuals doubles daily. If it takes 10 days for the entire state's population to become infected, how many days would it take for half of the state's population to be infected?",9 days,5 days,10 days," The total number of infected individuals doubles daily.
Question: A pandemic is occurring in a state where the total number of infected individuals doubles daily. If it takes 10 days for the entire state's population to become infected, how many days would it take for half of the state's population to be infected?
Question: A pandemic is occurring in a state where the total number of infected individuals doubles daily. If it takes 10 days for the entire state's population to become infected, how many days would",The total number of infected individuals doubles daily.,,"[-2.9478907585144043, -2.392399311065674, -1.9240455627441406]","['correct', 'intuitive', 't']",-2.9478907585144043,-2.392399311065674,2,t,10 days,-1.9240455627441406,False,allenai/OLMo-7B,
crt3,3,"People are escaping from war. Each day, the total count of refugees doubles. If it takes 22 days for the entire population to evacuate, how long would it take for half of the population to do so?",21 days,11 days,22 days," The total population is 100,000.
Question: A man is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at a speed of 60 km/h. He is driving at","The total population is 100,000.",,"[-2.9116616249084473, -3.0028276443481445, -1.6608343124389648]","['correct', 'intuitive', 't']",-2.9116616249084473,-3.0028276443481445,2,t,22 days,-1.6608343124389648,False,allenai/OLMo-7B,
crt3,4,"A farmer is plowing a field. Each hour, the total plowed area doubles. If it takes 10 hours for the entire field to be plowed, how long would it take for half of the field to be plowed?",9 hours,5 hours,10 hours," The farmer plows the field in 10 hours.
Question: A farmer is plowing a field. Each hour, the total plowed area doubles. If it takes 10 hours for the entire field to be plowed, how long would it take for half of the field to be plowed?
Question: A farmer is plowing a field. Each hour, the total plowed area doubles. If it takes 10 hours for the entire field to be plowed, how long would it take",The farmer plows the field in 10 hours.,t,"[-2.889150619506836, -1.8203983306884766, -1.400496006011963]","['correct', 'intuitive', 't']",-2.889150619506836,-1.8203983306884766,2,t,10 hours,-1.400496006011963,False,allenai/OLMo-7B,
crt3,5,"The apples are dropping from an apple tree, with the total count of fallen apples doubling each day. If it requires 16 days for all the apples to drop, how many days would it take for half the apples to fall?",15 days,8 days,16 days," The apples are dropping from an apple tree, with the total count of fallen apples doubling each day. If it requires 16 days for all the apples to drop, how many days would it take for half the apples to fall?
Question: A man is walking along a straight road. He walks for 1 km and then turns right and walks for 1 km. He then turns left and walks for 1 km. He then turns right and walks for 1 km. He then turns left and walks for 1","The apples are dropping from an apple tree, with the total count of fallen apples doubling each day.",,"[-3.088862895965576, -2.4853920936584473, -1.7669548988342285]","['correct', 'intuitive', 't']",-3.088862895965576,-2.4853920936584473,2,t,16 days,-1.7669548988342285,False,allenai/OLMo-7B,
crt3,6,"Fish are migrating and each day, the total distance they cover doubles. If it takes the fish 18 days to reach their destination, how many days would it take for them to cover half the distance?",17 days,9 days,18 days," The fish will cover half the distance in 18 days.
Question: A man is walking at a speed of 4 km/hr. If he walks for 2 hours, he covers a distance of 8 km. What is the man’s speed in km/hr?
Answer: The man’s speed in km/hr is 4 km/hr.
Question: A man walks at a speed of 4 km/hr. If he walks for 2 hours, he covers a distance of 8",The fish will cover half the distance in 18 days.,t,"[-3.299830913543701, -2.8480896949768066, -1.9626374244689941]","['correct', 'intuitive', 't']",-3.299830913543701,-2.8480896949768066,2,t,18 days,-1.9626374244689941,False,allenai/OLMo-7B,
crt3,7,"A tree branch is falling, and with each passing second, the total distance it covered doubles. If it takes 6 seconds for the branch to reach the ground, how long would it take for it to cover one-half of the total distance?",5 seconds,3 seconds,6 seconds," The branch will cover half the distance in 6 seconds.
Question: A car is traveling at a speed of 60 miles per hour. How long will it take to travel a distance of 100 miles?
Answer: The car will travel 100 miles in 1 hour.
Question: A car is traveling at a speed of 60 miles per hour. How long will it take to travel a distance of 200 miles?
Answer: The car will travel 200 miles in 2 hours.
Question: A car",The branch will cover half the distance in 6 seconds.,t,"[-3.234118938446045, -2.9717254638671875, -1.8243217468261719]","['correct', 'intuitive', 't']",-3.234118938446045,-2.9717254638671875,2,t,6 seconds,-1.8243217468261719,False,allenai/OLMo-7B,
crt3,8,"A fly is traveling from point A to point B. With each passing hour, the total distance it covered doubles. If the fly reaches point B in 12 hours, how long does it take for the fly to cover half of the distance?",11 hours,6 hours,12 hours," The fly covers half of the distance in 6 hours.
Question: A man is traveling from point A to point B. With each passing hour, the total distance he covers doubles. If the man reaches point B in 12 hours, how long does it take for the man to cover half of the distance?
Answer: The man covers half of the distance in 6 hours.
Question: A man is traveling from point A to point B. With each passing hour, the total distance he covers",The fly covers half of the distance in 6 hours.,intuitive,"[-4.101926326751709, -2.301647663116455, -1.4410619735717773]","['correct', 'intuitive', 't']",-4.101926326751709,-2.301647663116455,2,t,12 hours,-1.4410619735717773,False,allenai/OLMo-7B,
crt3,9,"A new concrete pavement is drying. The overall area of dried concrete doubles each day. If it requires 4 days for the entire pavement to dry completely, how many days does it take for half the pavement to become dry?",3 days,2 days,4 days," The area of the pavement doubles each day.
Question: A new concrete pavement is drying. The overall area of dried concrete doubles each day. If it requires 4 days for the entire pavement to dry completely, how many days does it take for half the pavement to become dry?
Question: A new concrete pavement is drying. The overall area of dried concrete doubles each day. If it requires 4 days for the entire pavement to dry completely, how many days does it take for half the pavement to",The area of the pavement doubles each day.,,"[-2.7905588150024414, -2.6823740005493164, -2.457003116607666]","['correct', 'intuitive', 't']",-2.7905588150024414,-2.6823740005493164,2,t,4 days,-2.457003116607666,False,allenai/OLMo-7B,
crt3,10,"There is a freezer filled with food, and the total volume of the frozen food doubles every hour. If it takes 16 hours for all the food to become frozen, how long would it take to freeze half of the food?",15 hours,8 hours,16 hours," The total volume of the food doubles every hour.
Question: A tank is filled with water at a rate of 1.5 gallons per minute. If the tank is emptied in 10 minutes, how long will it take to fill the tank if the rate of filling is doubled?
Answer: The tank is emptied in 10 minutes.
Question: A tank is filled with water at a rate of 1.5 gallons per minute. If the tank is emptied in 10 minutes, how",The total volume of the food doubles every hour.,,"[-3.4481201171875, -2.141399383544922, -1.373457431793213]","['correct', 'intuitive', 't']",-3.4481201171875,-2.141399383544922,2,t,16 hours,-1.373457431793213,False,allenai/OLMo-7B,
