model,revision,model_family,training_step,model_n_params,problem_type,problem_ind,problem_id,perm_invariant,correct_answer,response,response_sum_logprob,response_correct,eval_method,pretty_eval_method
OLMo 7B,step31000-tokens137B,OLMo,31000,7,row_constant,0,row_constant_0,False,[3],"3]
[1] [1] [",-2.4419498443603516,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,row_constant,0,row_constant_0,False,[3],3],-0.0523128509521484,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.3987712860107422,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,col_constant,0,col_constant_0,False,[6],6],-0.1659564971923828,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[2] [5] [",-3.259061813354492,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag1,0,dist3_diag1_0,False,[2],2],-0.8843765258789062,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag2,0,dist3_diag2_0,False,[9],"1]
[1] [9] [",-3.1544876098632812,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,dist3_diag2,0,dist3_diag2_0,False,[9],1],-1.0387802124023438,False,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-1.4337100982666016,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size1,0,prog_size1_0,False,[4],4],-0.5483055114746094,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-2.4167442321777344,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,prog_size2,0,prog_size2_0,False,[8],8],-1.047464370727539,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.2724151611328125,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb0,0,two_rule_comb0_0,False,[6 9],6 9],-0.1518764495849609,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"7 2]
[6 3] [7",-5.557399749755859,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb1,0,two_rule_comb1_0,False,[1 2],1 2],-1.7405681610107422,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 0] [0",-5.344245910644531,True,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb2,0,two_rule_comb2_0,False,[1 0],1 0],-0.6541061401367188,True,mc,Forced choice
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"0 1]
[8 2] [9",-5.35371208190918,False,generated,Production
OLMo 7B,step31000-tokens137B,OLMo,31000,7,two_rule_comb3,0,two_rule_comb3_0,False,[9 1],9 1],-3.0627384185791016,True,mc,Forced choice
