condition,model,model_family,model_n_params,item_id,question,response,response_label,response_correct,eval_method,pretty_eval_method
crt1,Llama-2 7B,Llama-2,7.0,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$100.00,more,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$40,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.40,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$10.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$10,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$10.00,more,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$2,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$2.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$3,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,The wallet costs $9.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$4,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$20.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1,correct_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,The flower box costs $4.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$1,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.20,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$2.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$3,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,11,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,The body lotion costs $14.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,11,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,$4,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,12,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,$20.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,12,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,$20,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,13,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,20 cents.,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,13,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,$0.20,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,14,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,$10.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,14,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,$10,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,15,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,$20.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,15,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,$20,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,16,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,$1.00,correct,True,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,16,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,$1,correct_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,17,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,$12.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,17,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,$1,correct_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,18,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,$0.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,18,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,$0.20,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,19,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,The pear costs $1.,correct,True,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,19,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,$2,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,20,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,The flower box costs $12.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,20,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,$4.00,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,21,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,$100.00,more,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,21,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,$30,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,22,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,$0.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,22,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,$0.40,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,23,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,$0.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,23,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,$0.40,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,24,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,$40.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,24,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,$40,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,25,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,10 cents.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,25,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,$0.40,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,26,A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,$4.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,26,A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,$4,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,27,A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,$14.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,27,A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,$4.00,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,28,A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,$10.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,28,A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,$10,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,29,A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,$0.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,29,A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,$0.10,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,30,A hat and a coffee table together cost $1.20. The hat costs $1 more than the coffee table. How much does the coffee table cost?,$0.00,correct,True,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,30,A hat and a coffee table together cost $1.20. The hat costs $1 more than the coffee table. How much does the coffee table cost?,$0.20,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,31,A pencil and a keyboard together cost $14. The pencil costs $10 more than the keyboard. How much does the keyboard cost?,$4.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,31,A pencil and a keyboard together cost $14. The pencil costs $10 more than the keyboard. How much does the keyboard cost?,$4,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,32,A bag and a coffee table together cost $53. The bag costs $50 more than the coffee table. How much does the coffee table cost?,$3.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,32,A bag and a coffee table together cost $53. The bag costs $50 more than the coffee table. How much does the coffee table cost?,$3,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,33,A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50 more than the laundry detergent. How much does the laundry detergent cost?,$2.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,33,A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50 more than the laundry detergent. How much does the laundry detergent cost?,$1,correct_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,34,A perfume and a bottle of ouzo together cost $120. The perfume costs $100 more than the bottle of ouzo. How much does the bottle of ouzo cost?,$10.00,correct,True,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,34,A perfume and a bottle of ouzo together cost $120. The perfume costs $100 more than the bottle of ouzo. How much does the bottle of ouzo cost?,$20,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,35,A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,$10.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,35,A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,$10,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,36,A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,$2.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,36,A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,$3,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,37,A rice cooker and a sculpture together cost $130. The rice cooker costs $100 more than the sculpture. How much does the sculpture cost?,$30.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,37,A rice cooker and a sculpture together cost $130. The rice cooker costs $100 more than the sculpture. How much does the sculpture cost?,$30,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,38,A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10 more than the toy. How much does the toy cost?,The toy costs $2.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,38,A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10 more than the toy. How much does the toy cost?,$3,intuitive_alt,True,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,39,A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5 more than the bottle of ouzo. How much does the bottle of ouzo cost?,$1.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,39,A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5 more than the bottle of ouzo. How much does the bottle of ouzo cost?,$0.20,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,40,A set of crayons and a wallet together cost $5.20. The set of crayons costs $5 more than the wallet. How much does the wallet cost?,The wallet costs $1.,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,40,A set of crayons and a wallet together cost $5.20. The set of crayons costs $5 more than the wallet. How much does the wallet cost?,$0.20,intuitive,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,41,A rug and a sculpture together cost $54. The rug costs $50 more than the sculpture. How much does the sculpture cost?,$9.00,,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,41,A rug and a sculpture together cost $54. The rug costs $50 more than the sculpture. How much does the sculpture cost?,$4,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,42,A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100 more than the light bulb. How much does the light bulb cost?,$30.00,intuitive,False,generated,Production
crt1,Llama-2 7B,Llama-2,7.0,42,A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100 more than the light bulb. How much does the light bulb cost?,$30,intuitive_alt,False,mc,Forced choice
crt1,Llama-2 7B,Llama-2,7.0,43,A scarf and a ring together cost $1.20. The scarf costs $1 more than the ring. How much does the ring cost?,$0.00,intuitive,False,generated,Production
