item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision,model_family,model_n_params,dataset,to_drop,good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID
0,Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions,crt3,-87.55156707763672,-89.47625732421875,True,-2.7712268829345703,-2.4236412048339844,-2.844240188598633,-2.4564895629882812,True,False,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
1,Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing,crt3,-97.0041046142578,-99.77653503417967,True,-2.9244461059570312,-2.4649410247802734,-3.02151870727539,-2.563770294189453,True,False,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
2,Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site,crt3,-84.04086303710938,-87.02021789550781,True,-2.4423885345458984,-2.507112503051758,-2.567157745361328,-2.5125064849853516,True,False,True,True,True,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
3,Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand,crt3,-96.72602081298828,-101.04349517822266,True,-2.7709808349609375,-2.420495986938477,-2.8340492248535156,-2.4204559326171875,True,True,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
4,Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information,crt3,-80.27192687988281,-84.61408233642578,True,-2.602876663208008,-2.4025115966796875,-2.742216110229492,-2.408170700073242,True,False,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
5,Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game,crt3,-94.8943862915039,-99.33674621582033,True,-2.739206314086914,-2.396329879760742,-2.627891540527344,-2.4349212646484375,False,False,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
6,Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded,crt3,-93.45972442626952,-96.11859893798828,True,-2.8209762573242188,-2.6673030853271484,-2.9716320037841797,-2.690509796142578,True,False,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
7,Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen,crt3,-96.28067779541016,-98.85385131835938,True,-2.522541046142578,-2.4380054473876953,-2.637502670288086,-2.3577346801757812,True,True,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
8,Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in,crt3,-94.81745147705078,-96.16828918457033,True,-2.604879379272461,-2.4316864013671875,-2.7169437408447266,-2.461395263671875,True,False,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
9,Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools,crt3,-89.79753875732422,-95.2800521850586,True,-2.8226146697998047,-2.702608108520508,-2.9369049072265625,-2.681131362915039,True,True,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
10,Center Embedding,TS 1,grammatical,The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page,The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page,crt3,-127.22808074951172,-115.65129089355467,False,-2.943256378173828,-2.624673843383789,-3.0210399627685547,-2.5015430450439453,True,True,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
11,Center Embedding,TS 2,grammatical,The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago,The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago,crt3,-106.29641723632812,-97.6155242919922,False,-3.023221969604492,-2.598142623901367,-3.1125030517578125,-2.5865554809570312,True,True,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
12,Center Embedding,TS 3,grammatical,The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours,The game that the child who the lawnmower had startled in the yard lasted for hours,crt3,-101.58391571044922,-91.25841522216795,False,-2.9823665618896484,-2.669679641723633,-2.9659595489501953,-2.4897327423095703,False,True,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
13,Center Embedding,TS 4,grammatical,The crime that the gangster who the story had profiled had planned for weeks was quickly solved,The crime that the gangster who the story had profiled was quickly solved,crt3,-92.4406280517578,-79.7987060546875,False,-2.7590503692626953,-2.5060768127441406,-2.7332210540771484,-2.347005844116211,False,True,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
14,Center Embedding,TS 5,grammatical,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,crt3,-108.5437469482422,-108.5437469482422,False,-3.0022926330566406,-2.809396743774414,-3.0022926330566406,-2.809396743774414,False,False,False,True,False,True,Llama-2 7B,,Llama-2,7.0,dgl,False,,,,,,
