model,model_family,model_n_params,problem_type,problem_ind,problem_id,perm_invariant,correct_answer,response,response_sum_logprob,response_correct,eval_method,pretty_eval_method
Llama-2 7B,Llama-2,7.0,row_constant,0,row_constant_0,False,[3],"3]
[4] [4] [",-1.6039714813232422,True,generated,Production
Llama-2 7B,Llama-2,7.0,row_constant,0,row_constant_0,False,[3],3],-0.0431709289550781,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.519373893737793,True,generated,Production
Llama-2 7B,Llama-2,7.0,col_constant,0,col_constant_0,False,[6],6],-0.0545215606689453,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.577342987060547,True,generated,Production
Llama-2 7B,Llama-2,7.0,dist3_diag1,0,dist3_diag1_0,False,[2],2],-0.5228557586669922,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-2.379793167114258,True,generated,Production
Llama-2 7B,Llama-2,7.0,dist3_diag2,0,dist3_diag2_0,False,[9],9],-0.1731185913085937,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.3429489135742187,True,generated,Production
Llama-2 7B,Llama-2,7.0,prog_size1,0,prog_size1_0,False,[4],4],-0.0132827758789062,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.6654214859008789,True,generated,Production
Llama-2 7B,Llama-2,7.0,prog_size2,0,prog_size2_0,False,[8],8],-0.0955276489257812,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6]",-0.4284219741821289,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb0,0,two_rule_comb0_0,False,[6 9],6 9],-0.0436229705810546,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[5 0]",-4.878942489624023,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb1,0,two_rule_comb1_0,False,[1 2],1 2],-0.6424198150634766,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
\end{code}",-2.1057662963867188,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb2,0,two_rule_comb2_0,False,[1 0],1 0],-0.0823097229003906,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[0 2]",-3.8670654296875,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb3,0,two_rule_comb3_0,False,[9 1],9 1],-0.6697235107421875,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"1 9]
[3 6]",-7.549304962158203,False,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb4,0,two_rule_comb4_0,False,[1 6],1 6],-3.1871109008789062,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1]",-0.7081050872802734,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb5,0,two_rule_comb5_0,False,[2 0],2 0],-0.1232776641845703,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 ",-1.3330984115600586,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],1 8 8],-0.1957740783691406,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 0]
[3 ",-0.7097330093383789,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],6 9 0],-0.3025169372558594,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 1]
[6 ",-0.9742155075073242,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],0 0 1],-0.1690235137939453,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 5 6]
[9 ",-4.454996109008789,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],5 1 7],-3.3672847747802734,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 7 2]
[7 ",-3.2820510864257812,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],8 7 0],-2.5995349884033203,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 3 7]
[1 ",-3.5775203704833984,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],5 3 5],-4.198036193847656,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 6]
[0 ",-2.7503881454467773,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],0 1 6],-1.1197395324707031,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"8 3 0]
[8 ",-4.623526573181152,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],5 4 8],-3.935718536376953,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 4 1]
[7 ",-5.6501264572143555,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],8 1 2],-3.9548072814941406,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 6 3]
[6 ",-2.9723167419433594,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],5 7 3],-3.445589065551758,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 4 1 9]
[",-0.8553142547607422,True,generated,Production
Llama-2 7B,Llama-2,7.0,c3_set_union,0,c3_set_union_0,True,[6 4 1 9],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c1_set_union,0,c1_set_union_0,True,[4],"4]
[1 6] [1",-5.122384071350098,True,generated,Production
Llama-2 7B,Llama-2,7.0,c1_set_union,0,c1_set_union_0,True,[4],4],-0.02813720703125,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c2_set_union,0,c2_set_union_0,True,[9],"6 9 4] [4]
",-3.770217895507813,False,generated,Production
Llama-2 7B,Llama-2,7.0,c2_set_union,0,c2_set_union_0,True,[9],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,AND,0,AND_0,True,[4],"4]
[1 5 3]",-4.52680778503418,True,generated,Production
Llama-2 7B,Llama-2,7.0,AND,0,AND_0,True,[4],4],-0.613189697265625,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,XOR,0,XOR_0,True,[4 3],"3 4]
[3 6]",-6.318231582641602,True,generated,Production
Llama-2 7B,Llama-2,7.0,XOR,0,XOR_0,True,[4 3],1 3],-2.4960994720458984,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"6 5]
[4] [5",-8.664196968078613,False,generated,Production
Llama-2 7B,Llama-2,7.0,c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],"5] [5 6]
[1",-7.604824066162109,True,generated,Production
Llama-2 7B,Llama-2,7.0,c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],5],-2.4940662384033203,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"0]
[3 5] [5",-4.751945495605469,True,generated,Production
Llama-2 7B,Llama-2,7.0,c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,XOR_permuted,0,XOR_permuted_0,True,[4 0],"0 4]
[4 8]",-3.6022777557373047,True,generated,Production
Llama-2 7B,Llama-2,7.0,XOR_permuted,0,XOR_permuted_0,True,[4 0],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,AND_permuted,0,AND_permuted_0,True,[],"9 7] [7]
[2",-6.424660682678223,False,generated,Production
Llama-2 7B,Llama-2,7.0,AND_permuted,0,AND_permuted_0,True,[],],0.0,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,row_constant,1,row_constant_1,False,[4],"4]
[1] [1] [",-2.8258352279663086,True,generated,Production
Llama-2 7B,Llama-2,7.0,row_constant,1,row_constant_1,False,[4],4],-0.0813179016113281,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,col_constant,1,col_constant_1,False,[9],"9]
[6] [0] [",-0.387852668762207,True,generated,Production
Llama-2 7B,Llama-2,7.0,col_constant,1,col_constant_1,False,[9],9],-0.0618915557861328,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,dist3_diag1,1,dist3_diag1_1,False,[4],"4]
[4] [8] [",-2.5024986267089844,True,generated,Production
Llama-2 7B,Llama-2,7.0,dist3_diag1,1,dist3_diag1_1,False,[4],4],-0.0729312896728515,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,dist3_diag2,1,dist3_diag2_1,False,[5],"5]
[5] [6] [",-2.306769371032715,True,generated,Production
Llama-2 7B,Llama-2,7.0,dist3_diag2,1,dist3_diag2_1,False,[5],5],-0.1190567016601562,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,prog_size1,1,prog_size1_1,False,[5],"5]
[4] [5] [",-0.4297618865966797,True,generated,Production
Llama-2 7B,Llama-2,7.0,prog_size1,1,prog_size1_1,False,[5],5],-0.01055908203125,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,prog_size2,1,prog_size2_1,False,[9],"9]
[7] [9] [",-0.9320669174194336,True,generated,Production
Llama-2 7B,Llama-2,7.0,prog_size2,1,prog_size2_1,False,[9],9],-0.1733627319335937,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb0,1,two_rule_comb0_1,False,[7 0],"7 0]
[5 9]",-2.1944894790649414,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb0,1,two_rule_comb0_1,False,[7 0],7 0],-0.0406417846679687,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb1,1,two_rule_comb1_1,False,[8 9],"9 9]
[7 7]",-5.537949562072754,False,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb1,1,two_rule_comb1_1,False,[8 9],7 9],-2.8318309783935547,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb2,1,two_rule_comb2_1,False,[0 7],"0 7]
[4 6]",-3.698354721069336,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb2,1,two_rule_comb2_1,False,[0 7],0 7],-0.9303150177001952,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb3,1,two_rule_comb3_1,False,[9 0],"9 0]
[5 9]",-2.080845832824707,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb3,1,two_rule_comb3_1,False,[9 0],9 0],-0.1775245666503906,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb4,1,two_rule_comb4_1,False,[5 7],"5 1]
[4 4]",-2.719965934753418,False,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb4,1,two_rule_comb4_1,False,[5 7],5 7],-3.680582046508789,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,two_rule_comb5,1,two_rule_comb5_1,False,[4 4],"4 4]
[3 5]",-0.628758430480957,True,generated,Production
Llama-2 7B,Llama-2,7.0,two_rule_comb5,1,two_rule_comb5_1,False,[4 4],4 4],-0.0281810760498046,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb0,1,three_rule_comb0_1,False,[3 0 0],"3 0 0]
[1 ",-2.9437875747680664,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb0,1,three_rule_comb0_1,False,[3 0 0],3 0 0],-0.0952720642089843,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb1,1,three_rule_comb1_1,False,[8 9 9],"4 3 9]
[5 ",-6.655396461486816,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb1,1,three_rule_comb1_1,False,[8 9 9],4 3 8],-5.182844161987305,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb2,1,three_rule_comb2_1,False,[1 1 9],"1 1 9]
[5 ",-1.0707387924194336,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb2,1,three_rule_comb2_1,False,[1 1 9],1 1 9],-0.174957275390625,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb3,1,three_rule_comb3_1,False,[2 1 2],"2 1 2]
[2 ",-4.584712982177734,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb3,1,three_rule_comb3_1,False,[2 1 2],2 1 2],-2.668262481689453,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb4,1,three_rule_comb4_1,False,[7 9 4],"7 6 4]
[8 ",-1.992788314819336,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb4,1,three_rule_comb4_1,False,[7 9 4],7 9 4],-3.361682891845703,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb5,1,three_rule_comb5_1,False,[3 3 1],"3 3 2]
[5 ",-3.284198760986328,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb5,1,three_rule_comb5_1,False,[3 3 1],3 3 1],-4.653017044067383,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb6,1,three_rule_comb6_1,False,[7 1 9],"7 1 9]
[1 ",-1.397565841674805,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb6,1,three_rule_comb6_1,False,[7 1 9],7 1 9],-0.1005630493164062,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb7,1,three_rule_comb7_1,False,[3 1 8],"3 1 8]
[0 ",-2.3909597396850586,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb7,1,three_rule_comb7_1,False,[3 1 8],3 1 8],-0.9530239105224608,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb8,1,three_rule_comb8_1,False,[5 5 5],"5 4 2]
[4 ",-2.7969284057617188,False,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb8,1,three_rule_comb8_1,False,[5 5 5],1 9 1],-1.7105350494384766,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,three_rule_comb9,1,three_rule_comb9_1,False,[8 9 0],"8 9 0]
[7 ",-0.9412260055541992,True,generated,Production
Llama-2 7B,Llama-2,7.0,three_rule_comb9,1,three_rule_comb9_1,False,[8 9 0],8 9 0],-0.2142505645751953,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c3_set_union,1,c3_set_union_1,True,[5 7 4 1],"5 7 4 1]
[",-1.026611328125,True,generated,Production
Llama-2 7B,Llama-2,7.0,c3_set_union,1,c3_set_union_1,True,[5 7 4 1],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c1_set_union,1,c1_set_union_1,True,[4],"4]
[2 5] [2",-3.829224586486816,True,generated,Production
Llama-2 7B,Llama-2,7.0,c1_set_union,1,c1_set_union_1,True,[4],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c2_set_union,1,c2_set_union_1,True,[8],2 3 8 9 7],-6.155065536499023,False,generated,Production
Llama-2 7B,Llama-2,7.0,c2_set_union,1,c2_set_union_1,True,[8],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,AND,1,AND_1,True,[1],"1]
[4 1] [7",-3.484712600708008,True,generated,Production
Llama-2 7B,Llama-2,7.0,AND,1,AND_1,True,[1],],0.0,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,XOR,1,XOR_1,True,[9 8],"7 2]
[9 2]",-4.796135902404785,False,generated,Production
Llama-2 7B,Llama-2,7.0,XOR,1,XOR_1,True,[9 8],7 2],-2.4912586212158203,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c3_set_union_permuted,1,c3_set_union_permuted_1,True,[1 6 7 5],"5 7]
[2 7]",-7.507834434509277,False,generated,Production
Llama-2 7B,Llama-2,7.0,c3_set_union_permuted,1,c3_set_union_permuted_1,True,[1 6 7 5],5 1],-3.381929397583008,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c2_set_union_permuted,1,c2_set_union_permuted_1,True,[5],"6 5] [6 5]
",-5.794729232788086,False,generated,Production
Llama-2 7B,Llama-2,7.0,c2_set_union_permuted,1,c2_set_union_permuted_1,True,[5],6],-2.4184494018554688,False,mc,Forced choice
Llama-2 7B,Llama-2,7.0,c1_set_union_permuted,1,c1_set_union_permuted_1,True,[4],"4]
[2 3] [2",-3.3204450607299805,True,generated,Production
Llama-2 7B,Llama-2,7.0,c1_set_union_permuted,1,c1_set_union_permuted_1,True,[4],4],-0.2311458587646484,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,XOR_permuted,1,XOR_permuted_1,True,[8 4],"4 5]
[8 2]",-6.366909027099609,False,generated,Production
Llama-2 7B,Llama-2,7.0,XOR_permuted,1,XOR_permuted_1,True,[8 4],8 4],-2.837078094482422,True,mc,Forced choice
Llama-2 7B,Llama-2,7.0,AND_permuted,1,AND_permuted_1,True,[],"2]
[9 3] [6",-6.915068626403809,False,generated,Production
Llama-2 7B,Llama-2,7.0,AND_permuted,1,AND_permuted_1,True,[],],0.0,True,mc,Forced choice
