condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100,"The pear costs $130 and the fridge costs $30.
Explanation: The pear costs $100 more than the fridge.
The pear costs $130.
The fridge costs $30.
Question: A pear and a fridge together cost $140. The fridge costs $100 more than the pear. How much does the pear cost?
Answer: The pear",The pear costs $130 and the fridge costs $30.,,,"[-1.2482019662857056, -0.9650859832763672, -1.3224214315414429, -1.2526847124099731, -1.2182502746582031, -0.5898215174674988, -1.309600830078125, -1.12945556640625]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.248201966,-0.9650859833,5,intuitive_alt,$40,-0.5898215175,FALSE,-1.218250275,-0.5898215175,FALSE,meta-llama/Llama-2-13b-hf,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1,"10 cents.
Question: A man and his son are driving to a football game. The man is driving 25 mph faster than the speed of his son’s bicycle. The bicycle travels 15 miles in the same time it takes the car to travel 60 miles. How fast is the man driving?
Answer: 20 mph.
Question: There are three boys in a family. Each boy has a sister",10 cents.,,,"[-0.9127006530761719, -0.42216187715530396, -1.0024452209472656, -1.0850791931152344, -0.9127006530761719, -0.42216187715530396, -1.0024452209472656, -1.577199935913086]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.9127006531,-0.4221618772,1,intuitive,$0.40,-0.4221618772,FALSE,-0.9127006531,-0.4221618772,FALSE,meta-llama/Llama-2-13b-hf,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100,"$5.
The boat costs $100 more than the potato.
The boat costs $100 more than the potato. 100 + X = 110 X = 110 – 100 X = 10 X = $10
The potato costs $10.
The potato costs $10. The boat costs $100 more than the potato. 100 + X",$5.00,correct,correct,"[-1.157004952430725, -0.9349613189697266, -1.1511337757110596, -1.118611454963684, -1.4702949523925781, -0.756707489490509, -1.137138843536377, -1.0864505767822266]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.157004952,-0.934961319,5,intuitive_alt,$10,-0.7567074895,FALSE,-1.470294952,-0.7567074895,FALSE,meta-llama/Llama-2-13b-hf,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10,"$2.
The pan costs $2, because the light bulb costs $10 more than the pan.
Therefore, the light bulb costs $12 – $2 = $10.
The light bulb costs $10 more than the pan.
Therefore, the pan costs $10 – $2 = $8.
The light bulb costs $10 more than the pan. The pan costs $2.",$2.00,intuitive,intuitive,"[-1.1250813007354736, -1.0316505432128906, -1.334499478340149, -1.3710613250732422, -1.3345413208007812, -0.8462600708007812, -1.6547298431396484, -1.6625423431396484]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.125081301,-1.031650543,5,intuitive_alt,$2,-0.8462600708,FALSE,-1.334541321,-0.8462600708,FALSE,meta-llama/Llama-2-13b-hf,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"The chair costs $10 more than the coat.
The chair costs $10 more than the coat.
The chair costs $10 more than the coat. The coat costs $3.
The coat costs $3.
The coat costs $3. The chair costs $13 - $3 = $10.
The chair costs $10 more than the coat. The coat costs $3. The chair costs $13 - $3 = $10",The chair costs $10 more than the coat.,more_alt,intuitive,"[-1.0640809535980225, -1.1869564056396484, -1.5844799280166626, -1.4072448015213013, -1.0640809535980225, -1.3313064575195312, -2.0180623531341553, -1.687333106994629]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.064080954,-1.186956406,0,correct,$1.50,-1.064080954,TRUE,-1.064080954,-1.331306458,FALSE,meta-llama/Llama-2-13b-hf,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50,"$4.
The correct answer is $4.
The tube of toothpaste costs $50 more than the wallet.
Let the price of the wallet be x.
Then, 50 + x = 54.
Therefore, the price of the wallet is $4.
Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than",$4.00,intuitive,intuitive,"[-1.2771167755126953, -0.9321964383125305, -1.4606609344482422, -1.4956111907958984, -1.8570947647094727, -1.0563135147094727, -1.8668256998062134, -1.9605756998062134]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.277116776,-0.9321964383,1,intuitive,$4.00,-0.9321964383,FALSE,-1.857094765,-1.056313515,FALSE,meta-llama/Llama-2-13b-hf,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50,"The coffee table costs $52, so the mixing bowl costs $32.
Question: A man's shirt and a woman's shirt together cost $60. The woman's shirt costs $5 more than the man's shirt. How much does the man's shirt cost?
Answer: The woman's shirt costs $5 more than the man's shirt, so the man's shirt costs $3","The coffee table costs $52, so the mixing bowl costs $32.",total_cost_alt,,"[-1.754939079284668, -1.440619707107544, -1.6159778833389282, -1.7047878503799438, -1.5273756980895996, -1.5898756980895996, -2.0583505630493164, -2.1833505630493164]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.754939079,-1.440619707,1,intuitive,$2.00,-1.440619707,FALSE,-1.527375698,-1.589875698,FALSE,meta-llama/Llama-2-13b-hf,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50,"The microwave oven costs $50 more than the flower box. So the flower box costs $1 less than the microwave oven. So the flower box costs $49.
Question: A car costs $19,800. A van costs $3,400 more than the car. How much does the van cost?
Answer: The van costs $3,400 more than the car. So the car costs $16",The microwave oven costs $50 more than the flower box.,more_alt,,"[-1.385956048965454, -1.2213013172149658, -1.6050173044204712, -1.6216707229614258, -1.385956048965454, -1.3563933372497559, -2.0139081478118896, -2.1545331478118896]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.385956049,-1.221301317,1,intuitive,$1.00,-1.221301317,FALSE,-1.385956049,-1.356393337,FALSE,meta-llama/Llama-2-13b-hf,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1,"The helmet costs 50 cents.
Question: A man bought a camera and a pair of shoes. The shoes cost $2 more than the camera. The total cost was $16. How much did the camera cost?
Answer: The camera cost $8.
Question: A man bought a camera and a pair of shoes. The shoes cost $2 more than the camera. The total cost was $16. How much did the shoes",The helmet costs 50 cents.,,,"[-0.8732210397720337, -0.5970384478569031, -1.1598352193832397, -1.2359861135482788, -0.8732210397720337, -0.5970384478569031, -1.1598352193832397, -2.022944927215576]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.8732210398,-0.5970384479,1,intuitive,$0.20,-0.5970384479,FALSE,-0.8732210398,-0.5970384479,FALSE,meta-llama/Llama-2-13b-hf,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,The sculpture costs $13. The box of lipstick costs $3.,The sculpture costs $13.,total_cost_alt,total_cost,"[-1.0205628871917725, -1.118444800376892, -1.6203689575195312, -1.3852182626724243, -1.0205628871917725, -1.1641607284545898, -2.108747720718384, -1.7649978399276733]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.020562887,-1.1184448,0,correct,$1.50,-1.020562887,TRUE,-1.020562887,-1.164160728,FALSE,meta-llama/Llama-2-13b-hf,
