condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100," The fridge costs $100 more than the pear.

Question: A pear costs $100 more than a fridge. How much does the fridge cost?
Answer: The pear costs $100 more than the fridge.

Question: A pear costs $100 more than a fridge. How much does the fridge cost?
Answer: The pear costs $100 more than the fridge.

Question: A pear costs $100 more than a fridge. How much does the fridge cost?
",The fridge costs $100 more than the pear.,more_alt,more,"[-2.542515277862549, -2.5759854316711426, -2.049236536026001, -2.33207368850708, -3.051598072052002, -2.9117016792297363, -1.8207950592041016, -1.9278669357299805]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.542515278,-2.575985432,6,total_cost_alt,$140,-1.820795059,FALSE,-3.051598072,-2.911701679,FALSE,EleutherAI/pythia-1b-deduped,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1," The camera costs $1.40.
Question: The camera costs $1.40 more than the potato. How much does the potato cost?
Answer: The potato costs $1.40 more than the camera.
Question: The camera costs $1.40 more than the potato. How much does the potato cost?
Answer: The potato costs $1.40 more than the camera.
Question: The camera costs $1.40 more than the potato. How much does",The camera costs $1.,more_alt,total,"[-1.5627446174621582, -1.4535057544708252, -0.6951227188110352, -1.3546175956726074, -1.5627446174621582, -1.4535057544708252, -0.6951227188110352, -1.0321369171142578]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.562744617,-1.453505754,2,total_cost,$1.40,-0.6951227188,FALSE,-1.562744617,-1.453505754,FALSE,EleutherAI/pythia-1b-deduped,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100," The boat costs $110 more than the potato.

Question: A boat and a potato cost $110. The boat costs $100 more than the potato. How much does the potato cost?
Answer: The boat costs $110 more than the potato.

Question: A boat and a potato cost $110. The boat costs $100 more than the potato. How much does the potato cost?
Answer: The boat costs $110 more than the potato.

Question:",The boat costs $110 more than the potato.,total_cost_alt,total,"[-2.2129082679748535, -2.336749792098999, -1.7447514533996582, -2.1715586185455322, -2.855529308319092, -2.368579864501953, -1.3026952743530273, -1.514571189880371]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.212908268,-2.336749792,6,total_cost_alt,$110,-1.302695274,FALSE,-2.855529308,-2.368579865,FALSE,EleutherAI/pythia-1b-deduped,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10," The pan costs $10 more than the light bulb.

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?
Answer: The pan costs $10 more than the light bulb.

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?
Answer: The pan costs $10 more",The pan costs $10 more than the light bulb.,more_alt,more,"[-1.936568260192871, -1.877631664276123, -1.8614139556884766, -1.9561941623687744, -2.612743854522705, -2.384608268737793, -1.9395732879638672, -1.8173027038574219]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.93656826,-1.877631664,7,more_alt,$10,-1.817302704,FALSE,-2.612743855,-2.384608269,FALSE,EleutherAI/pythia-1b-deduped,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," The coat costs $10 more than the chair.

Question: A chair costs $10 more than a coat. How much does the coat cost?
Answer: The coat costs $10 more than the chair.

Question: A chair costs $10 more than a coat. How much does the coat cost?
Answer: The coat costs $10 more than the chair.

Question: A chair costs $10 more than a coat. How much does the coat cost?
",The coat costs $10 more than the chair.,more_alt,more,"[-2.099915027618408, -2.1894643306732178, -1.72304105758667, -1.9517185688018799, -2.099915027618408, -2.6069493293762207, -1.6253976821899414, -1.6384191513061523]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.099915028,-2.189464331,6,total_cost_alt,$13,-1.625397682,FALSE,-2.099915028,-2.606949329,FALSE,EleutherAI/pythia-1b-deduped,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50," The wallet costs $50 more than the tube of toothpaste.

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: The wallet costs $50 more than the tube of toothpaste.

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the",The wallet costs $50 more than the tube of toothpaste.,more_alt,more,"[-2.1534628868103027, -2.317873954772949, -1.784477949142456, -1.9382505416870117, -3.0165529251098633, -3.0584731101989746, -1.8350505828857422, -1.5471162796020508]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.153462887,-2.317873955,7,more_alt,$50,-1.54711628,FALSE,-3.016552925,-3.05847311,FALSE,EleutherAI/pythia-1b-deduped,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50," The mixing bowl costs $50 more than the coffee table.

Question: A coffee table costs $50 more than a mixing bowl. How much does the mixing bowl cost?
Answer: The mixing bowl costs $50 more than the coffee table.

Question: A coffee table costs $50 more than a mixing bowl. How much does the mixing bowl cost?
Answer: The mixing bowl costs $50 more than the coffee table.

Question: A coffee table costs $50",The mixing bowl costs $50 more than the coffee table.,more_alt,more,"[-2.338160991668701, -2.277308940887451, -2.14030385017395, -2.0832407474517822, -3.434180736541748, -3.3591690063476562, -2.5595927238464355, -2.2354178428649902]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.338160992,-2.277308941,3,more,$50.00,-2.083240747,FALSE,-3.434180737,-3.359169006,FALSE,EleutherAI/pythia-1b-deduped,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50," The flower box costs $50 more than the microwave oven.
Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: The flower box costs $50 more than the microwave oven.
Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer:",The flower box costs $50 more than the microwave oven.,more_alt,more,"[-2.4213831424713135, -2.0150344371795654, -1.9063184261322021, -1.8736746311187744, -2.4213831424713135, -2.8703017234802246, -2.1382908821105957, -1.9823260307312012]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.421383142,-2.015034437,3,more,$50.00,-1.873674631,FALSE,-2.421383142,-2.870301723,FALSE,EleutherAI/pythia-1b-deduped,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1," The helmet costs $1 more than the can of baby food.

Question: A can of baby food costs $1 more than a helmet. How much does the helmet cost?
Answer: The helmet costs $1 more than the can of baby food.

Question: A can of baby food costs $1 more than a helmet. How much does the helmet cost?
Answer: The helmet costs $1 more than the can of baby food.

Question: A can of",The helmet costs $1 more than the can of baby food.,more_alt,more,"[-1.6986980438232422, -1.6112935543060303, -0.9209904670715332, -1.3381576538085938, -1.6986980438232422, -1.6112935543060303, -0.9209904670715332, -1.3182029724121094]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.698698044,-1.611293554,2,total_cost,$1.20,-0.9209904671,FALSE,-1.698698044,-1.611293554,FALSE,EleutherAI/pythia-1b-deduped,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," The box of lipstick costs $10 more than the sculpture.

Question: A box of lipstick costs $10 more than a sculpture. How much does the box of lipstick cost?
Answer: The box of lipstick costs $10 more than the sculpture.

Question: A box of lipstick costs $10 more than a sculpture. How much does the box of lipstick cost?
Answer: The box of lipstick costs $10 more than the sculpture.
",The box of lipstick costs $10 more than the sculpture.,more_alt,more,"[-1.792301893234253, -1.9900977611541748, -1.8632948398590088, -1.8781895637512207, -1.792301893234253, -2.2857818603515625, -1.8767123222351074, -1.563737392425537]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.792301893,-1.990097761,7,more_alt,$10,-1.563737392,FALSE,-1.792301893,-2.28578186,FALSE,EleutherAI/pythia-1b-deduped,
