condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100," The fridge costs $100.

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: The fridge costs $100.

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: The fridge costs $100.

Question",The fridge costs $100.,more_alt,more,"[-1.7033900022506714, -1.7563503980636597, -1.7730947732925415, -1.428207278251648, -1.5736769437789917, -1.597935676574707, -1.8950072526931763, -1.1080455780029297]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.703390002,-1.756350398,7,more_alt,$100,-1.108045578,FALSE,-1.573676944,-1.597935677,FALSE,google/gemma-2b,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1," $0.70

Question: A man has 100 coins in his pocket, all of which are dimes and quarters. If the total value of his change is $12.50, how many dimes does he have?
Answer: 25

Question: A man has 100 coins in his pocket, all of which are dimes and quarters. If the total value of his change is $12.50, how many quarters",$0.00,,,"[-1.1968648433685303, -0.9290664792060852, -1.1744039058685303, -1.1044729948043823, -1.1968648433685303, -0.9290664792060852, -1.1744039058685303, -1.3455684185028076]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.196864843,-0.9290664792,1,intuitive,$0.40,-0.9290664792,FALSE,-1.196864843,-0.9290664792,FALSE,google/gemma-2b,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100," The potato costs $10.

Explanation:
Let the cost of the potato be x.
The cost of the boat is $100 more than the potato.
So, the cost of the boat is x + $100.
The total cost of the boat and the potato is $110.
So, we can write the equation as:
x + (x + $100) = $110
x + x + $",The potato costs $10.,intuitive_alt,intuitive,"[-2.1590161323547363, -1.5824130773544312, -1.6887634992599487, -1.563354730606079, -1.8225020170211792, -1.3363710641860962, -1.8186112642288208, -1.4577432870864868]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.159016132,-1.582413077,5,intuitive_alt,$10,-1.336371064,FALSE,-1.822502017,-1.336371064,FALSE,google/gemma-2b,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10," The pan costs $2.

Question: A car and a truck together cost $120. The car costs $10 more than the truck. How much does the truck cost?
Answer: The truck costs $20.

Question: A car and a truck together cost $120. The car costs $10 more than the truck. How much does the car cost?
Answer: The car costs $30.

Question: A car and a truck",The pan costs $2.,intuitive_alt,intuitive,"[-1.8977810144424438, -1.6850731372833252, -1.7229093313217163, -1.6274758577346802, -2.07070255279541, -1.5498045682907104, -2.049903392791748, -1.6855449676513672]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.897781014,-1.685073137,5,intuitive_alt,$2,-1.549804568,FALSE,-2.070702553,-1.549804568,FALSE,google/gemma-2b,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," The coat costs $

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?
Answer: The coat costs $

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?
Answer: The coat costs $

Question: A chair and a coat together cost $13. The chair costs $",The coat costs $.,,,"[-1.917749047279358, -2.0280375480651855, -2.053766965866089, -1.693167805671692, -1.917749047279358, -2.0419976711273193, -2.686075448989868, -1.7529635429382324]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.917749047,-2.028037548,3,more,$10.00,-1.693167806,FALSE,-1.917749047,-2.041997671,FALSE,google/gemma-2b,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50," The wallet costs $

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: The wallet costs $

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: The wallet costs $

Question: A tube of toothpaste and a wallet",The wallet costs $.,,,"[-2.115247964859009, -2.5546927452087402, -1.8659862279891968, -1.6836448907852173, -1.9095838069915771, -2.9038145542144775, -2.4130914211273193, -1.8113154172897339]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.115247965,-2.554692745,3,more,$50.00,-1.683644891,FALSE,-1.909583807,-2.903814554,FALSE,google/gemma-2b,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50," The mixing bowl costs $12.

Question: A car is worth $12,000. The car depreciates by 10% each year. How much is the car worth after 3 years?
Answer: The car is worth $9,600.

Question: A car is worth $12,000. The car depreciates by 10% each year. How much is the car worth after 4 years?",The mixing bowl costs $12.,,,"[-2.5434508323669434, -2.210259199142456, -1.8025932312011719, -1.8054503202438354, -1.2586164474487305, -1.8048444986343384, -2.2182695865631104, -1.94558846950531]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.543450832,-2.210259199,4,correct_alt,$1,-1.258616447,FALSE,-1.258616447,-1.804844499,TRUE,google/gemma-2b,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50," The flower box costs $

Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: The flower box costs $

Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: The flower box costs $

Question: A microwave",The flower box costs $.,,,"[-2.27636981010437, -2.5960593223571777, -1.9615033864974976, -1.838447093963623, -2.27636981010437, -1.7549855709075928, -2.554020881652832, -1.9765914678573608]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.27636981,-2.596059322,5,intuitive_alt,$1,-1.754985571,FALSE,-2.27636981,-1.754985571,FALSE,google/gemma-2b,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1," The helmet costs $1.

Explanation:
Let the cost of the helmet be x.
Then, the cost of the can of baby food is x + 1.
The total cost of the can of baby food and the helmet is $1.20.
So, we can write the equation as:
x + (x + 1) = 1.20
2x + 1 = 1.20
2x = 1.",The helmet costs $1.,more_alt,more,"[-1.2793500423431396, -1.0175215005874634, -0.9408538937568665, -0.9761970639228821, -1.2793500423431396, -1.0175215005874634, -0.9408538937568665, -1.488245964050293]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.279350042,-1.017521501,2,total_cost,$1.20,-0.9408538938,FALSE,-1.279350042,-1.017521501,FALSE,google/gemma-2b,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," The box of lipstick costs $

Question: A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?
Answer: The box of lipstick costs $

Question: A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?
Answer: The box of lipstick costs $",The box of lipstick costs $.,,,"[-1.615073800086975, -1.6939815282821655, -1.7680104970932007, -1.578504204750061, -1.615073800086975, -1.6927032470703125, -2.335139274597168, -1.8164734840393066]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.6150738,-1.693981528,3,more,$10.00,-1.578504205,FALSE,-1.6150738,-1.692703247,FALSE,google/gemma-2b,
