condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100,"
Let the cost of the fridge be $x$
The cost of the pear is $x+100$
The total cost of the pear and the fridge is $140
$x+x+100=140$
$2x=140-100$
$2x=40$
$x=20$
The cost of the fridge is $20
The cost of the pear is $",,,correct,"[-1.3498039245605469, -1.4312585592269897, -1.680237889289856, -1.5298573970794678, -0.7896931767463684, -1.2995681762695312, -1.6942615509033203, -1.463465690612793]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.349803925,-1.431258559,4,correct_alt,$20,-0.7896931767,FALSE,-0.7896931767,-1.299568176,TRUE,google/gemma-7b,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1,"
Let the cost of the camera be x.
Then, the cost of the potato is x + 1.
According to the question,
x + (x + 1) = 1.40
2x + 1 = 1.40
2x = 1.40 – 1
2x = 0.40
x = 0.40/2
x = 0.20
The cost of",.,,correct,"[-0.5165694952011108, -0.7962738275527954, -1.4561622142791748, -1.481305718421936, -0.5165694952011108, -0.7962738275527954, -1.4561622142791748, -2.5283336639404297]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.5165694952,-0.7962738276,0,correct,$0.20,-0.5165694952,TRUE,-0.5165694952,-0.7962738276,FALSE,google/gemma-7b,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100,"
Let the cost of potato be $x$
The cost of boat is $x+100$
The sum of the cost of boat and potato is $110
$x+x+100=110$
$2x=110-100$
$2x=10$
$x=\frac{10}{2}$
$x=5$
The cost of potato is $5
The",,,correct,"[-1.3222519159317017, -1.287000060081482, -1.6077967882156372, -1.5582962036132812, -1.1263999938964844, -1.1809972524642944, -1.8231391906738281, -1.776611328125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.322251916,-1.28700006,4,correct_alt,$5,-1.126399994,FALSE,-1.126399994,-1.180997252,TRUE,google/gemma-7b,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10,"
Let the cost of the pan be x.
The cost of the light bulb is x + 10.
The total cost of the light bulb and the pan is $12.
x + (x + 10) = 12
2x + 10 = 12
2x = 12 – 10
2x = 2
x = 1
The cost of the pan is $1.

Question:",.,,correct,"[-1.0411208868026733, -1.2342851161956787, -1.7702172994613647, -1.6259492635726929, -1.3597755432128906, -1.4343643188476562, -2.2646381855010986, -2.05127215385437]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.041120887,-1.234285116,0,correct,$1.00,-1.041120887,TRUE,-1.359775543,-1.434364319,FALSE,google/gemma-7b,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"
Let the cost of the coat be x.
Then the cost of the chair is x + 10.
The sum of the cost of the coat and the chair is 13.
x + (x + 10) = 13
2x + 10 = 13
2x = 13 – 10
2x = 3
x = 3/2
x = 1.5
The cost",.,,correct,"[-0.9140793085098267, -1.3978790044784546, -1.8378791809082031, -1.703942894935608, -0.9140793085098267, -1.9819412231445312, -2.304105043411255, -2.1940460205078125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.9140793085,-1.397879004,0,correct,$1.50,-0.9140793085,TRUE,-0.9140793085,-1.981941223,FALSE,google/gemma-7b,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50,"
Let the cost of the wallet be $x$
The cost of the tube of toothpaste is $x+50$
The total cost of the tube of toothpaste and the wallet is $54
$x+x+50=54$
$2x=54-50$
$2x=4$
$x=\frac{4}{2}$
$x=2$
The cost of the wallet is $2
The cost",,,correct,"[-1.518061876296997, -1.588139295578003, -1.7601522207260132, -1.7596111297607422, -1.5425567626953125, -2.146984100341797, -2.325162172317505, -2.3151779174804688]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.518061876,-1.588139296,0,correct,$2.00,-1.518061876,TRUE,-1.542556763,-2.1469841,FALSE,google/gemma-7b,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50,"
Let the cost of the mixing bowl be x.
The cost of the coffee table is x + 50.
The total cost of the coffee table and the mixing bowl is 52.
x + (x + 50) = 52
2x + 50 = 52
2x = 52 – 50
2x = 2
x = 1
The cost of the mixing bowl is $1.",.,,correct,"[-1.9602874517440796, -2.0122756958007812, -2.0628204345703125, -1.9491323232650757, -1.5690422058105469, -2.1265106201171875, -2.726506471633911, -2.7490921020507812]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.960287452,-2.012275696,4,correct_alt,$1,-1.569042206,FALSE,-1.569042206,-2.12651062,TRUE,google/gemma-7b,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50,"
Let the cost of the flower box be $x$
The cost of the microwave oven is $x+50$
The sum of the cost of the microwave oven and the flower box is $51
$x+x+50=51$
$2x=51-50$
$2x=1$
$x=\frac{1}{2}$
The cost of the flower box is $\frac{1}{2}$

",,,correct,"[-2.014935255050659, -1.9696133136749268, -1.8040657043457031, -1.7684402465820312, -2.014935255050659, -1.6851463317871094, -2.3920719623565674, -2.5875957012176514]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.014935255,-1.969613314,5,intuitive_alt,$1,-1.685146332,FALSE,-2.014935255,-1.685146332,FALSE,google/gemma-7b,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1,"
Let the cost of the helmet be x.
Then the cost of the can of baby food is x + 1.
The total cost of the helmet and the can of baby food is $1.20.
x + (x + 1) = 1.20
2x + 1 = 1.20
2x = 1.20 – 1
2x = 0.20
x = 0.",.,,correct,"[-0.8565284609794617, -0.7206882238388062, -1.4442886114120483, -1.402714490890503, -0.8565284609794617, -0.7206882238388062, -1.4442886114120483, -2.4021148681640625]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.856528461,-0.7206882238,1,intuitive,$0.20,-0.7206882238,FALSE,-0.856528461,-0.7206882238,FALSE,google/gemma-7b,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"
Let the cost of the box of lipstick be $x$
The cost of the sculpture is $x+10$
The total cost of the sculpture and the box of lipstick is $13
$x+x+10=13$
$2x=13-10$
$2x=3$
$x=\frac{3}{2}$
$x=1.5$
The cost of the box of lipstick is $",.,,correct,"[-0.7903755307197571, -1.2673637866973877, -1.7317346334457397, -1.6625982522964478, -0.7903755307197571, -1.6898555755615234, -2.1987369060516357, -2.184467315673828]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.7903755307,-1.267363787,0,correct,$1.50,-0.7903755307,TRUE,-0.7903755307,-1.689855576,FALSE,google/gemma-7b,
