condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100,"$10. The pear costs $110.
Question: A man has a 7-foot rope ladder that he uses to get in and out of his attic. He needs to cut 2 feet off of it, so he cuts off 2 feet. But it’s still too long. How long is the ladder now?
Answer: 7 feet. He cut off 2 feet from both ends.
Question: What is the",$10.00,,,"[-1.2786458730697632, -1.4609779119491577, -1.476236343383789, -1.2641116380691528, -1.026611328125, -1.0302963256835938, -1.2478480339050293, -0.8476219177246094]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.278645873,-1.460977912,7,more_alt,$100,-0.8476219177,FALSE,-1.026611328,-1.030296326,FALSE,meta-llama/Llama-2-70b-hf,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1,"The camera costs 90 cents.
Question: A man buys a horse for $60 and sells it for $70. Then he buys it again for $80 and sells it for $90. In the end, how much money did he earn?
Answer: He earned $20.
Question: A man went to a party and drank some of the punch. He then left early. Everyone else at the party",The camera costs 90 cents.,,,"[-0.9980436563491821, -0.5980676412582397, -1.230529546737671, -0.9045408368110657, -0.9980436563491821, -0.5980676412582397, -1.230529546737671, -1.5551695823669434]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.9980436563,-0.5980676413,1,intuitive,$0.40,-0.5980676413,FALSE,-0.9980436563,-0.5980676413,FALSE,meta-llama/Llama-2-70b-hf,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100,"$10. The boat costs $100 more than the potato, so if the potato costs $10, then the boat costs $110.
A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost? riddle (with answer) meme.
A boat and a potato together cost $110. The boat costs $10",$10.00,intuitive,intuitive,"[-1.1746028661727905, -0.980235755443573, -1.4830267429351807, -1.1483862400054932, -1.4205389022827148, -0.6692320704460144, -1.2662816047668457, -0.8548736572265625]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.174602866,-0.9802357554,5,intuitive_alt,$10,-0.6692320704,FALSE,-1.420538902,-0.6692320704,FALSE,meta-llama/Llama-2-70b-hf,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10,"$2.00. The light bulb costs $12.00.
Question: A farmer has 17 sheep. All but 9 die. How many are left?
Answer: 9. All but 9 die.
Question: I am an odd number. Take away a letter and I become even. What number am I?
Answer: Seven. Take away the S and you have even.
Question: What is the next number in this",$2.00,intuitive,intuitive,"[-0.9826889038085938, -0.787118136882782, -1.5851894617080688, -1.3849624395370483, -1.1421480178833008, -0.8062105178833008, -1.7703660726547241, -1.5333868265151978]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.9826889038,-0.7871181369,1,intuitive,$2.00,-0.7871181369,FALSE,-1.142148018,-0.8062105179,FALSE,meta-llama/Llama-2-70b-hf,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"The coat costs $3.
Question: A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?
Answer: The ball costs $0.05.
Question: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?
Answer: 5 minutes.",The coat costs $3.,intuitive_alt,intuitive,"[-1.5616519451141357, -0.8883411288261414, -1.5749717950820923, -1.351101279258728, -1.5616519451141357, -0.9333515167236328, -1.7198772430419922, -1.6026897430419922]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.561651945,-0.8883411288,1,intuitive,$3.00,-0.8883411288,FALSE,-1.561651945,-0.9333515167,FALSE,meta-llama/Llama-2-70b-hf,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50,"$4. The wallet costs $4, and the toothpaste costs $54.
A tube of toothpaste and a wallet together cost $54 Riddle Meme.
A tube of toothpaste and a wallet together cost $54 Riddle
Answer: The wallet costs $4, and the toothpaste costs $54.
A tube of toothpaste and a wallet together cost $54 riddle",$4.00,intuitive,intuitive,"[-1.2023141384124756, -0.8970845937728882, -1.557778239250183, -1.577663540840149, -1.4977173805236816, -0.7242798805236816, -1.7658733129501343, -1.755456566810608]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.202314138,-0.8970845938,5,intuitive_alt,$4,-0.7242798805,FALSE,-1.497717381,-0.7242798805,FALSE,meta-llama/Llama-2-70b-hf,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50,"$2. The coffee table costs $52 - $2 = $50 more than the mixing bowl.
Question: A bus has 15 passengers. At the first stop 3 passengers get off and 15 get on. At the next stop 2 get off and 10 get on. At the third stop 5 get off and 25 get on. How many passengers are on the bus now?
Answer: 22. At the first",$2.00,intuitive,intuitive,"[-1.0492597818374634, -0.8057134747505188, -1.6764521598815918, -1.6147236824035645, -1.4113802909851074, -0.6379427909851074, -1.7956279516220093, -1.7487529516220093]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.049259782,-0.8057134748,5,intuitive_alt,$2,-0.637942791,FALSE,-1.411380291,-0.637942791,FALSE,meta-llama/Llama-2-70b-hf,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50,"$1.00.
Question: A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?
Question: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?
Answer: 5 minutes.
Question: In a lake, there is a patch of",$1.00,intuitive,intuitive,"[-1.4082145690917969, -0.6975120306015015, -1.5317493677139282, -1.3870021104812622, -1.4082145690917969, -0.7666139602661133, -1.5210736989974976, -1.4064903259277344]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.408214569,-0.6975120306,1,intuitive,$1.00,-0.6975120306,FALSE,-1.408214569,-0.7666139603,FALSE,meta-llama/Llama-2-70b-hf,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1,The helmet costs 5 cents and the can of baby food costs $1.05.,The helmet costs 5 cents and the can of baby food costs $1.,more_alt,,"[-0.5379120111465454, -0.6506325006484985, -1.4645401239395142, -1.1533302068710327, -0.5379120111465454, -0.6506325006484985, -1.4645401239395142, -1.9757041931152344]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.5379120111,-0.6506325006,0,correct,$0.10,-0.5379120111,TRUE,-0.5379120111,-0.6506325006,FALSE,meta-llama/Llama-2-70b-hf,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"The box of lipstick costs $3.
Question: A clerk at a butcher shop stands at the cash register all day, ringing up purchases. Suddenly, the door bursts open and a man runs in very excited. “Give me a pound of your best, lean ground beef,” he shouts. “Hurry! I need it to win the election today!”
“Sorry, sir,” the clerk says. “",The box of lipstick costs $3.,intuitive_alt,intuitive,"[-1.3751983642578125, -0.8205288052558899, -1.7399444580078125, -1.4386310577392578, -1.3751983642578125, -0.8948354721069336, -2.021735429763794, -1.7873605489730835]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.375198364,-0.8205288053,1,intuitive,$3.00,-0.8205288053,FALSE,-1.375198364,-0.8948354721,FALSE,meta-llama/Llama-2-70b-hf,
