condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100," $140

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: $140

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: $140

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much",$140.00,total_cost,total_cost,"[-2.4234533309936523, -2.427936315536499, -1.8072104454040527, -2.0742602348327637, -2.3554344177246094, -2.221731662750244, -1.2441482543945312, -1.5539517402648926]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.423453331,-2.427936316,6,total_cost_alt,$140,-1.244148254,FALSE,-2.355434418,-2.221731663,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1," $1.40

Question: A man and a woman are both wearing a hat. The man is wearing a hat that costs $1 more than the woman’s hat. How much does the woman’s hat cost?
Answer: $1.40

Question: A man and a woman are both wearing a hat. The man is wearing a hat that costs $1 more than the woman’s hat. How much does the woman’s hat cost?
Answer:",$1.00,more,total_cost,"[-1.4465551376342773, -1.0178816318511963, -0.6576721668243408, -1.0699985027313232, -1.4465551376342773, -1.0178816318511963, -0.6576721668243408, -0.6035780906677246]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.446555138,-1.017881632,7,more_alt,$1,-0.6035780907,FALSE,-1.446555138,-1.017881632,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100," $110

Question: A man and a woman are both in a car accident. The woman is in the front seat and the man is in the back seat. The woman is injured and the man is not. The woman is taken to the hospital. The man is taken to the hospital. The woman is in the hospital for three days and the man is in the hospital for two days. How many days did the man spend in the hospital?
Answer: Two

Question: A",$110.00,total_cost,total_cost,"[-1.5849764347076416, -1.7711513042449951, -1.6129951477050781, -2.151364803314209, -1.6177301406860352, -1.4390320777893066, -1.049360752105713, -1.7938776016235352]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.584976435,-1.771151304,6,total_cost_alt,$110,-1.049360752,FALSE,-1.617730141,-1.439032078,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10," $12

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?
Answer: $12

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?
Answer: $12

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more",$12.00,total_cost,total_cost,"[-2.0661377906799316, -1.9482851028442383, -1.5844306945800781, -1.6276097297668457, -2.2948360443115234, -1.9584617614746094, -1.1594924926757812, -1.4899053573608398]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.066137791,-1.948285103,6,total_cost_alt,$12,-1.159492493,FALSE,-2.294836044,-1.958461761,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," $13

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?
Answer: $13

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?
Answer: $13

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much",$13.00,total_cost,total_cost,"[-2.049854040145874, -2.2406601905822754, -1.7149088382720947, -1.7929179668426514, -2.049854040145874, -2.169344902038574, -1.4175333976745605, -1.9079718589782715]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.04985404,-2.240660191,6,total_cost_alt,$13,-1.417533398,FALSE,-2.04985404,-2.169344902,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50," $10

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: $10

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: $10

Question: A tube of toothpaste and a wallet together cost",$10.00,,,"[-1.745497703552246, -1.61228609085083, -1.6252076625823975, -1.9589426517486572, -2.017261028289795, -1.7220816612243652, -1.6941490173339844, -1.9745969772338867]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.745497704,-1.612286091,1,intuitive,$4.00,-1.612286091,FALSE,-2.017261028,-1.722081661,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50," $52

Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?
Answer: $52

Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?
Answer: $52

Question: A coffee table and a mixing bowl together cost $52.",$52.00,total_cost,total_cost,"[-1.9477529525756836, -1.9913783073425293, -1.4451439380645752, -1.9258956909179688, -2.3639445304870605, -2.320056438446045, -1.3711309432983398, -2.045804977416992]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.947752953,-1.991378307,6,total_cost_alt,$52,-1.371130943,FALSE,-2.36394453,-2.320056438,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50," $51

Question: A man is walking along a road when he sees a sign that says, “Welcome to the city of X.” He then sees a sign that says, “Welcome to the city of Y.” He then sees a sign that says, “Welcome to the city of Z.” He then sees a sign that says, “Welcome to the city of A.” He then sees a sign that says, “Welcome to the city of B.” He then sees a sign that says",$51.00,total_cost,total_cost,"[-1.5509388446807861, -1.8074476718902588, -1.4690029621124268, -1.826444149017334, -1.5509388446807861, -2.0120368003845215, -1.3301644325256348, -1.696286678314209]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.550938845,-1.807447672,6,total_cost_alt,$51,-1.330164433,FALSE,-1.550938845,-2.0120368,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1," The helmet costs $1.20.

Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?
Answer: The helmet costs $1.20.

Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?
Answer:",The helmet costs $1.,more_alt,total_cost,"[-1.441312551498413, -0.9817264080047607, -0.7166686058044434, -1.2729246616363525, -1.441312551498413, -0.9817264080047607, -0.7166686058044434, -0.9516549110412598]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.441312551,-0.981726408,2,total_cost,$1.20,-0.7166686058,FALSE,-1.441312551,-0.981726408,FALSE,EleutherAI/pythia-6.9b-deduped,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," $5.

Question: A man and his wife are having a fight. The man says, ""I'm going to take my wife to the movies."" The wife says, ""I'm going to take my husband to the movies."" How many movies can they go to?
Answer: Two.

Question: A man and his wife are having a fight. The man says, ""I'm going to take my wife to the movies."" The wife says, ""I'm going",$5.00,,,"[-1.6793038845062256, -1.7321979999542236, -1.8670876026153564, -1.6328377723693848, -1.6793038845062256, -1.613759994506836, -1.9612407684326172, -1.7846646308898926]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.679303885,-1.732198,5,intuitive_alt,$3,-1.613759995,FALSE,-1.679303885,-1.613759995,FALSE,EleutherAI/pythia-6.9b-deduped,
