condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100," $140 - $100 = $40

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: $140 - $100 = $40

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: $140 - $100 = $40

Question: A pear and a",$140 - $100 = $40.,more_alt,intuitive,"[-2.349609375, -2.373046875, -1.99609375, -2.158203125, -2.38671875, -2.20703125, -1.25390625, -1.85546875]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.349609375,-2.373046875,6,total_cost_alt,$140,-1.25390625,FALSE,-2.38671875,-2.20703125,FALSE,EleutherAI/pythia-12b-deduped,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1," $1.40

Question: A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?
Answer: $1.40

Question: A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?
Answer: $1.40

Question: A potato and a camera together cost $1.40.",$1.00,more,total_cost,"[-1.400390625, -0.83984375, -0.791015625, -1.3125, -1.400390625, -0.83984375, -0.791015625, -0.8828125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.400390625,-0.83984375,2,total_cost,$1.40,-0.791015625,FALSE,-1.400390625,-0.83984375,FALSE,EleutherAI/pythia-12b-deduped,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100," $10

Question: A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?
Answer: $10

Question: A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?
Answer: $10

Question: A boat and a potato together cost $110. The boat costs $100 more than the potato. How much",$10.00,intuitive,intuitive,"[-1.8984375, -1.67578125, -2.0234375, -2.09765625, -2.0625, -1.140625, -1.6640625, -2.00390625]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.8984375,-1.67578125,5,intuitive_alt,$10,-1.140625,FALSE,-2.0625,-1.140625,FALSE,EleutherAI/pythia-12b-deduped,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10," $2

Question: A man has $100 in his pocket. He spends $20 on a suit and $30 on a tie. How much does he have left?
Answer: $70

Question: A man has $100 in his pocket. He spends $20 on a suit and $30 on a tie. How much does he have left?
Answer: $60

Question: A man has $100 in his pocket. He spends $20 on a suit",$2.00,intuitive,intuitive,"[-1.85546875, -1.4140625, -1.880859375, -1.951171875, -1.8984375, -1.0234375, -1.44921875, -1.6328125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.85546875,-1.4140625,5,intuitive_alt,$2,-1.0234375,FALSE,-1.8984375,-1.0234375,FALSE,EleutherAI/pythia-12b-deduped,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," $3

Question: A coat costs $10 more than a chair. How much does the chair cost?
Answer: $13

Question: A coat costs $10 more than a chair. How much does the chair cost?
Answer: $13

Question: A coat costs $10 more than a chair. How much does the chair cost?
Answer: $13

Question: A coat costs $10 more than a chair. How much does the chair cost",$3.00,intuitive,intuitive,"[-1.822265625, -1.5, -2.044921875, -2.205078125, -1.822265625, -0.984375, -1.484375, -2.03125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.822265625,-1.5,5,intuitive_alt,$3,-0.984375,FALSE,-1.822265625,-0.984375,FALSE,EleutherAI/pythia-12b-deduped,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50," $54

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: $54

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: $54

Question: A tube of toothpaste and a wallet together cost",$54.00,total_cost,total_cost,"[-2.072265625, -2.0, -1.9453125, -2.06640625, -2.234375, -1.95703125, -1.32421875, -2.03515625]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.072265625,-2,6,total_cost_alt,$54,-1.32421875,FALSE,-2.234375,-1.95703125,FALSE,EleutherAI/pythia-12b-deduped,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50," $2

Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?
Answer: $2

Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?
Answer: $2

Question: A coffee table and a mixing bowl together cost $52.",$2.00,intuitive,intuitive,"[-1.431640625, -1.337890625, -2.10546875, -2.005859375, -1.7421875, -1.3046875, -1.77734375, -2.296875]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.431640625,-1.337890625,5,intuitive_alt,$2,-1.3046875,FALSE,-1.7421875,-1.3046875,FALSE,EleutherAI/pythia-12b-deduped,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50," $51

Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: $51

Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: $51

Question: A microwave oven and a flower box together cost $51.",$51.00,total_cost,total_cost,"[-1.310546875, -1.400390625, -1.693359375, -1.826171875, -1.310546875, -1.453125, -1.3125, -1.83203125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.310546875,-1.400390625,0,correct,$0.50,-1.310546875,TRUE,-1.310546875,-1.453125,FALSE,EleutherAI/pythia-12b-deduped,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1," $0.20

Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?
Answer: $0.20

Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?
Answer: $0.20

Question:",$0.00,,intuitive,"[-1.13671875, -0.50390625, -0.81640625, -1.541015625, -1.13671875, -0.50390625, -0.81640625, -1.0390625]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.13671875,-0.50390625,1,intuitive,$0.20,-0.50390625,FALSE,-1.13671875,-0.50390625,FALSE,EleutherAI/pythia-12b-deduped,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," $3

Question: A box of lipstick costs $3 more than a sculpture. How much does the sculpture cost?
Answer: $10

Question: A box of lipstick costs $3 more than a sculpture. How much does the sculpture cost?
Answer: $10

Question: A box of lipstick costs $3 more than a sculpture. How much does the sculpture cost?
Answer: $10

Question: A box of lipstick costs $",$3.00,intuitive,intuitive,"[-1.921875, -1.828125, -2.05078125, -1.919921875, -1.921875, -1.4375, -1.5859375, -1.8125]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.921875,-1.828125,5,intuitive_alt,$3,-1.4375,FALSE,-1.921875,-1.4375,FALSE,EleutherAI/pythia-12b-deduped,
